good,'G UH D', s, UH
our,'OW R', s, 
matter,'M AW T ǝ R', s, 
with,'W IH DH', s, IH
less,'L EH S', s, 
art,'AA R T', s, AA
this,'DH IH S', s, IH
from,'F R AH M', s, 
to,'T UW', s, UW
it,'IH T', s, IH
be,'B IY', s, IY
very,'V EH R IY', s, IY
so,'S OW', s, 
he,'HH IY', s, IY
does,'D AH Z', s, 
indeed,'IH N D IY D', s, IH IY
but,'B AH T', s, 
look,'L UH K', s, UH
sadly,'S AE D L IY', s, AE IY
the,'DH AH', s, 
poor,'P UH R', s, UH
did,'D IH D', s, IH
he,'HH IY', s, IY
you,'Y UW', s, UW
well,'W EH L', s, 
did,'D IH D', s, IH
you,'Y UW', s, UW
him,'HH IH M', s, IH
to,'T UW', s, UW
i,'AY', s, AY
shall,'SH AE L', s, AE
you,'Y UW', s, UW
and,'AH N D', s, 
for,'F AO R', s, AO
your,'Y AO R', s, AO
part,'P AA R T', s, AA
ophelia,'AH F IY L Y AH', s, IY
i,'AY', s, AY
do,'D OW', s, 
wish,'W IH SH', s, IH
that,'DH AE T', s, AE
your,'Y AO R', s, AO
good,'G UH D', s, UH
be,'B IY', s, IY
the,'DH AH', s, 
of,'AH V', s, 
so,'S OW', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
your,'Y AO R', s, AO
will,'W IH L', s, IH
him,'HH IH M', s, IH
to,'T UW', s, UW
his,'HH IH Z', s, IH
wonted,'W OW N T IH D', s, IH
again,'ǝ ɡ EH N', s, 
to,'T UW', s, UW
both,'B OW TH', s, 
your,'Y AO R', s, AO
my,'M AY', s, AY
dear,'D IY R', s, IY
sit,'S IH T', s, IH
by,'B AY', s, AY
me,'M IY', s, IY
the,'DH AH', s, 
lady,'L EY D IY', s, EY IY
doth,'D AO TH', s, AO
protest,'P R OW T EH S T', s, 
too,'T UW', s, UW
methinks,'M IH TH IH NG K S', s, IH IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
warrant,'W AA r ǝ N T', s, AA
you,'Y UW', s, UW
fear,'F IY R', s, IY
me,'M IY', s, IY
not,'N AA T', s, AA
i,'AY', s, AY
him,'HH IH M', s, IH
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
offended,'AH F EH N D AH D', s, 
you,'Y UW', s, UW
with,'W IH DH', s, IH
an,'AE N', s, AE
whhy,'ʍ ǝ IH', s, IH
you,'Y UW', s, UW
forgot,'F ǝ R G ɒ T', s, 
me,'M IY', s, IY
then,'DH EH N', s, 
set,'S EH T', s, 
to,'T UW', s, UW
you,'Y UW', s, UW
that,'DH AE T', s, AE
can,'K AE N', s, AE
speak,'S P IY K', s, IY
what,'W AH T', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
do,'D OW', s, 
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
not,'N AA T', s, AA
me,'M IY', s, IY
ho,'HH OW', s, 
o,'OW', s, 
me,'M IY', s, IY
what,'W AH T', s, 
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
o,'OW', s, 
what,'W AH T', s, 
a,'AH', s, 
rash,'R AE SH', s, AE
and,'AH N D', s, 
bloody,'B L AH D IY', s, IY
deed,'D IY D', s, IY
is,'IH Z', s, IH
this,'DH IH S', s, IH
as,'AE Z', s, AE
kill,'K IH L', s, IH
a,'AH', s, 
what,'W AH T', s, 
i,'AY', s, AY
that,'DH AE T', s, AE
thou,'DH AW', s, 
wag,'W AE G', s, AE
in,'IH N', s, IH
so,'S OW', s, 
against,'AH G EH N S T', s, 
me,'M IY', s, IY
me,'M IY', s, IY
what,'W AH T', s, 
act,'AE K T', s, AE
that,'DH AE T', s, AE
roars,'R AO R Z', s, AO
so,'S OW', s, 
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
o,'OW', s, 
speak,'S P IY K', s, IY
no,'N OW', s, 
thou,'DH AW', s, 
my,'M AY', s, AY
into,'IH N T UW', s, IH UW
my,'M AY', s, AY
very,'V EH R IY', s, IY
soul,'S OW L', s, 
and,'AH N D', s, 
i,'AY', s, AY
see,'S IY', s, IY
black,'B L AE K', s, AE
and,'AH N D', s, 
spots,'S P AA T S', s, AA
as,'AE Z', s, AE
will,'W IH L', s, IH
not,'N AA T', s, AA
their,'DH EH R', s, 
o,'OW', s, 
speak,'S P IY K', s, IY
to,'T UW', s, UW
me,'M IY', s, IY
no,'N OW', s, 
enter,'e N T ǝ R', s, 
in,'IH N', s, IH
my,'M AY', s, AY
ears,'IY R Z', s, IY
no,'N OW', s, 
sweet,'S W IY T', s, IY
no,'N OW', s, 
alas,'AH L AE S', s, AE
mad,'M AE D', s, AE
alas,'AH L AE S', s, AE
is,'IH Z', s, IH
with,'W IH DH', s, IH
you,'Y UW', s, UW
that,'DH AE T', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
bend,'B EH N D', s, 
your,'Y AO R', s, AO
on,'AA N', s, AA
and,'AH N D', s, 
with,'W IH DH', s, IH
air,'EH R', s, 
do,'D OW', s, 
forth,'F AO R TH', s, AO
at,'AE T', s, AE
your,'Y AO R', s, AO
your,'Y AO R', s, AO
spirits,'S P IH R AH T S', s, IH
wildly,'W AY L D L IY', s, AY IY
peep,'P IY P', s, IY
and,'AH N D', s, 
as,'AE Z', s, AE
the,'DH AH', s, 
in,'IH N', s, IH
alarm,'ǝ L AA R M', s, AA
your,'Y AO R', s, AO
bedded,'B EH D IH D', s, IH
hair,'HH EH R', s, 
in,'IH N', s, IH
start,'S T AA R T', s, AA
up,'AH P', s, 
and,'AH N D', s, 
stand,'S T AE N D', s, AE
an,'AE N', s, AE
end,'EH N D', s, 
o,'OW', s, 
son,'S AO ̃', s, AO
upon,'AH P AA N', s, AA
the,'DH AH', s, 
and,'AH N D', s, 
of,'AH V', s, 
cool,'K UW L', s, UW
do,'D OW', s, 
you,'Y UW', s, UW
look,'L UH K', s, UH
to,'T UW', s, UW
whom,'HH UW M', s, UW
do,'D OW', s, 
you,'Y UW', s, UW
speak,'S P IY K', s, IY
this,'DH IH S', s, IH
at,'AE T', s, AE
all,'AA L', s, AA
yet,'Y EH T', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
is,'IH Z', s, IH
i,'AY', s, AY
see,'S IY', s, IY
no,'N OW', s, 
but,'B AH T', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
very,'V EH R IY', s, IY
of,'AH V', s, 
your,'Y AO R', s, AO
brain,'B r EH N', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
very,'V EH R IY', s, IY
in,'IH N', s, IH
o,'OW', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
cleft,'K L EH F T', s, 
my,'M AY', s, AY
heart,'HH AA R T', s, AA
in,'IH N', s, IH
twain,'T W EY N', s, EY
what,'W AH T', s, 
shall,'SH AE L', s, AE
i,'AY', s, AY
do,'D OW', s, 
be,'B IY', s, IY
thou,'DH AW', s, 
if,'IH F', s, IH
be,'B IY', s, IY
of,'AH V', s, 
breath,'B R EH TH', s, 
and,'AH N D', s, 
breath,'B R EH TH', s, 
of,'AH V', s, 
i,'AY', s, AY
no,'N OW', s, 
to,'T UW', s, UW
what,'W AH T', s, 
thou,'DH AW', s, 
hast,'HH AE S T', s, AE
said,'S EH D', s, 
to,'T UW', s, UW
me,'M IY', s, IY
i,'AY', s, AY
had,'HH AE D', s, AE
forgot,'F ǝ R G ɒ T', s, 
so,'S OW', s, 
concluded,'K AH N K L UW D AH D', s, UW
on,'AA N', s, AA
this,'DH IH S', s, IH
on,'AA N', s, AA
us,'AH S', s, 
a,'AH', s, 
lord,'L AO R D', s, AO
what,'W AH T', s, 
i,'AY', s, AY
seen,'S IY N', s, IY
mad,'M AE D', s, AE
as,'AE Z', s, AE
the,'DH AH', s, 
sea,'S IY', s, IY
and,'AH N D', s, 
when,'ʍ e N', s, 
both,'B OW TH', s, 
contend,'K AH N T EH N D', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
in,'IH N', s, IH
his,'HH IH Z', s, IH
fit,'F IH T', s, IH
behind,'B IH ə IH N D', s, IH IH
the,'DH AH', s, 
stir,'S T ɐ R', s, 
whips,'ʍ IH P S', s, IH
out,'AW T', s, 
his,'HH IH Z', s, IH
rapier,'R EY P IY ER', s, EY IY
cries,'K R AY Z', s, AY
a,'AH', s, 
rat,'R AE T', s, AE
a,'AH', s, 
rat,'R AE T', s, AE
and,'AH N D', s, 
in,'IH N', s, IH
this,'DH IH S', s, IH
brainish,'B r EH N IH SH', s, IH
the,'DH AH', s, 
unseen,'AH N S IY N', s, IY
good,'G UH D', s, UH
old,'OW L D', s, 
man,'M AE N', s, AE
to,'T UW', s, UW
apart,'ǝ P AW R T', s, 
the,'DH AH', s, 
body,'B AA D IY', s, AA IY
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
whom,'HH UW M', s, UW
his,'HH IH Z', s, IH
very,'V EH R IY', s, IY
madness,'M AE D N AH S', s, AE
a,'AH', s, 
of,'AH V', s, 
metals,'M EH T AH L Z', s, 
itself,'IH T S EH L F', s, IH
he,'HH IY', s, IY
weeps,'W IY P S', s, IY
for,'F AO R', s, AO
what,'W AH T', s, 
is,'IH Z', s, IH
i,'AY', s, AY
will,'W IH L', s, IH
not,'N AA T', s, AA
speak,'S P IY K', s, IY
with,'W IH DH', s, IH
what,'W AH T', s, 
she,'SH IY', s, IY
let,'L EH T', s, 
in,'IH N', s, IH
to,'T UW', s, UW
my,'M AY', s, AY
sick,'S IH K', s, IH
soul,'S OW L', s, 
as,'AE Z', s, AE
true,'T R UW', s, UW
natre,'N EY CH ER', s, EY
is,'IH Z', s, IH
each,'IY CH', s, IY
seems,'S IY M Z', s, IY
to,'T UW', s, UW
great,'G r e T', s, 
amiss,'ǝ M IH S', s, IH
so,'S OW', s, 
full,'F UH L', s, UH
of,'AH V', s, 
artless,'AA R T L ǝ S', s, AA
is,'IH Z', s, IH
guilt,'G IH L T', s, IH
it,'IH T', s, IH
itself,'IH T S EH L F', s, IH
in,'IH N', s, IH
to,'T UW', s, UW
be,'B IY', s, IY
spilt,'S P IH L T', s, IH
ophelia,'AH F IY L Y AH', s, IY
alas,'AH L AE S', s, AE
sweet,'S W IY T', s, IY
lady,'L EY D IY', s, EY IY
what,'W AH T', s, 
imports,'IH M P AO R T S', s, IH AO
this,'DH IH S', s, IH
but,'B AH T', s, 
ophelia,'AH F IY L Y AH', s, IY
alas,'AH L AE S', s, AE
look,'L UH K', s, UH
my,'M AY', s, AY
lord,'L AO R D', s, AO
what,'W AH T', s, 
is,'IH Z', s, IH
this,'DH IH S', s, IH
on,'AA N', s, AA
the,'DH AH', s, 
trail,'T r EH L', s, 
o,'OW', s, 
this,'DH IH S', s, IH
is,'IH Z', s, IH
you,'Y UW', s, UW
danish,'D EY N IH SH', s, EY IH
dogs,'D AA G Z', s, AA
good,'G UH D', s, UH
but,'B AH T', s, 
not,'N AA T', s, AA
by,'B AY', s, AY
him,'HH IH M', s, IH
woe,'W OW', s, 
doth,'D AO TH', s, AO
tread,'T R EH D', s, 
upon,'AH P AA N', s, AA
so,'S OW', s, 
fast,'F AW S T', s, 
your,'Y AO R', s, AO
drowned,'D r ǝ UH N IH D', s, UH IH
is,'IH Z', s, IH
a,'AH', s, 
the,'DH AH', s, 
brook,'B R UH K', s, UH
that,'DH AE T', s, AE
his,'HH IH Z', s, IH
in,'IH N', s, IH
the,'DH AH', s, 
stream,'S T R IY M', s, IY
fantastic,'F AE N T AE S T IH K', s, AE AE IH
garlands,'G AA R L ǝ N D Z', s, AA
did,'D IH D', s, IH
she,'SH IY', s, IY
of,'AH V', s, 
daisies,'D EY Z IY Z', s, EY IY
and,'AH N D', s, 
that,'DH AE T', s, AE
a,'AH', s, 
grosser,'G r OW S ǝ R', s, 
but,'B AH T', s, 
our,'OW R', s, 
cold,'K OW L D', s, 
maids,'M EY D Z', s, EY
do,'D OW', s, 
dead,'D EH D', s, 
call,'K AO L', s, AO
them,'DH EH M', s, 
on,'AA N', s, AA
the,'DH AH', s, 
pendant,'P EH N D AH N T', s, 
weeds,'W IY D Z', s, IY
to,'T UW', s, UW
an,'AE N', s, AE
sliver,'S L IH V ǝ R', s, IH
when,'ʍ e N', s, 
down,'D ǝ UH N', s, UH
weedy,'W IY D IY', s, IY IY
and,'AH N D', s, 
fell,'F EH L', s, 
in,'IH N', s, IH
the,'DH AH', s, 
brook,'B R UH K', s, UH
spread,'S P R EH D', s, 
and,'AH N D', s, 
up,'AH P', s, 
she,'SH IY', s, IY
chanted,'CH AE N T IH D', s, AE IH
of,'AH V', s, 
old,'OW L D', s, 
lauds,'L AO D Z', s, AO
as,'AE Z', s, AE
of,'AH V', s, 
distress,'D IH S T R EH S', s, IH
or,'AO R', s, AO
a,'AH', s, 
creatre,'K R IY CH ER', s, IY
and,'AH N D', s, 
unto,'AH N T UW', s, UW
that,'DH AE T', s, AE
but,'B AH T', s, 
it,'IH T', s, IH
not,'N AA T', s, AA
be,'B IY', s, IY
till,'T IH L', s, IH
that,'DH AE T', s, AE
garments,'G AA R M AH N T S', s, AA
heavy,'e V ǝ IH', s, IH
with,'W IH DH', s, IH
their,'DH EH R', s, 
drink,'D R IH NG K', s, IH
the,'DH AH', s, 
poor,'P UH R', s, UH
from,'F R AH M', s, 
to,'T UW', s, UW
mudddy,'M ɤ D ǝ IH', s, IH
death,'D EH TH', s, 
drowned,'D r ǝ UH N IH D', s, UH IH
drowned,'D r ǝ UH N IH D', s, UH IH
sweets,'S W IY T S', s, IY
to,'T UW', s, UW
the,'DH AH', s, 
sweet,'S W IY T', s, IY
i,'AY', s, AY
thou,'DH AW', s, 
been,'B IH N', s, IH
my,'M AY', s, AY
i,'AY', s, AY
to,'T UW', s, UW
sweet,'S W IY T', s, IY
maid,'M EY D', s, EY
and,'AH N D', s, 
not,'N AA T', s, AA
o,'OW', s, 
my,'M AY', s, AY
son,'S AO ̃', s, AO
what,'W AH T', s, 
for,'F AO R', s, AO
of,'AH V', s, 
god,'G AA D', s, AA
forbear,'F ǝ R B EH R', s, 
him,'HH IH M', s, IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
madness,'M AE D N AH S', s, AE
and,'AH N D', s, 
thus,'DH ɤ S', s, 
the,'DH AH', s, 
fit,'F IH T', s, IH
will,'W IH L', s, IH
work,'W AO R K', s, AO
on,'AA N', s, AA
him,'HH IH M', s, IH
as,'AE Z', s, AE
as,'AE Z', s, AE
the,'DH AH', s, 
when,'ʍ e N', s, 
that,'DH AE T', s, AE
golden,'G OW L D ǝ N', s, 
his,'HH IH Z', s, IH
will,'W IH L', s, IH
sit,'S IH T', s, IH
fat,'F AE T', s, AE
and,'AH N D', s, 
of,'AH V', s, 
breath,'B R EH TH', s, 
my,'M AY', s, AY
napkin,'N AE P K IH N', s, AE IH
rub,'r ɤ B', s, 
brows,'B r ə UH Z', s, UH
the,'DH AH', s, 
to,'T UW', s, UW
i,'AY', s, AY
will,'W IH L', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
i,'AY', s, AY
you,'Y UW', s, UW
pardon,'P AA R D ǝ N', s, AA
me,'M IY', s, IY
let,'L EH T', s, 
me,'M IY', s, IY
no,'N OW', s, 
no,'N OW', s, 
the,'DH AH', s, 
drink,'D R IH NG K', s, IH
the,'DH AH', s, 
drink,'D R IH NG K', s, IH
o,'OW', s, 
my,'M AY', s, AY
dear,'D IY R', s, IY
the,'DH AH', s, 
drink,'D R IH NG K', s, IH
the,'DH AH', s, 
drink,'D R IH NG K', s, IH
i,'AY', s, AY
am,'AE M', s, AE
poisoned,'P ǝ IH Z ǝ N D', s, IH
