happiness,'HH AE P IY N AH S',s,'AE IY'
speech,'S P IY CH',s,'IY'
i,'AY',s,'AY'
do,'D OW',s,''
beseech,'B IY S IY CH',s,'IY IY'
your,'Y AO R',s,'AO'
majesty,'M AE JH AH S T IY',s,'AE IY'
let,'L EH T',s,''
him,'HH IH M',s,'IH'
all,'AA L',s,'AA'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
upon,'AH P AA N',s,'AA'
and,'AH N D',s,''
their,'DH EH R',s,''
trash,'T R AE SH',s,'AE'
i,'AY',s,'AY'
think,'TH IH NG K',s,'IH'
we,'W IY',s,'IY'
you,'Y UW',s,'UW'
at,'AE T',s,'AE'
an,'AE N',s,'AE'
inch,'IH N CH',s,'IH'
what,'W AH T',s,''
madam,'M AE D AH M',s,'AE'
you,'Y UW',s,'UW'
the,'DH AH',s,''
and,'AH N D',s,''
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
of,'AH V',s,''
pains,'P EH N Z',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
will,'W IH L',s,'IH'
i,'AY',s,'AY'
doubt,'D ǝ UH T',s,'UH'
it,'IH T',s,'IH'
not,'N AA T',s,'AA'
see,'S IY',s,'IY'
you,'Y UW',s,'UW'
well,'W EH L',s,''
for,'F AO R',s,'AO'
good,'G UH D',s,'UH'
deserts,'D IH Z ɐ R T S',s,'IH'
lord,'L AO R D',s,'AO'
methinks,'M IH TH IH NG K S',s,'IH IH'
you,'Y UW',s,'UW'
well,'W EH L',s,''
a,'AH',s,''
prettty,'P r IH T ǝ IH',s,'IH IH'
plot,'P L AA T',s,'AA'
well,'W EH L',s,''
to,'T UW',s,'UW'
build,'B IH L D',s,'IH'
upon,'AH P AA N',s,'AA'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
see,'S IY',s,'IY'
the,'DH AH',s,''
writ,'R IH T',s,'IH'
what,'W AH T',s,''
we,'W IY',s,'IY'
the,'DH AH',s,''
yet,'Y EH T',s,''
that,'DH AE T',s,'AE'
henry,'HH EH N R IY',s,'IY'
shall,'SH AE L',s,'AE'
but,'B AH T',s,''
him,'HH IH M',s,'IH'
and,'AH N D',s,''
a,'AH',s,''
death,'D EH TH',s,''
whhy,'ʍ ǝ IH',s,'IH'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
te,'T IY',s,'IY'
posse,'P AA S IY',s,'AA IY'
well,'W EH L',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
rest,'R EH S T',s,''
tell,'T EH L',s,''
me,'M IY',s,'IY'
what,'W AH T',s,''
awaits,'AH W EY T S',s,'EY'
the,'DH AH',s,''
of,'AH V',s,''
by,'B AY',s,'AY'
water,'W AA T ǝ R',s,'AA'
shall,'SH AE L',s,'AE'
he,'HH IY',s,'IY'
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
end,'EH N D',s,''
what,'W AH T',s,''
shall,'SH AE L',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
let,'L EH T',s,''
him,'HH IH M',s,'IH'
shun,'SH ɤ N',s,''
shall,'SH AE L',s,'AE'
he,'HH IY',s,'IY'
be,'B IY',s,'IY'
upon,'AH P AA N',s,'AA'
the,'DH AH',s,''
sandy,'S AE N D IY',s,'AE IY'
plains,'P L EY N Z',s,'EY'
than,'DH AE N',s,'AE'
stand,'S T AE N D',s,'AE'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
oracles,'AO R AH K AH L Z',s,'AO'
hardly,'HH AA R D L IY',s,'AA IY'
and,'AH N D',s,''
hardly,'HH AA R D L IY',s,'AA IY'
the,'DH AH',s,''
is,'IH Z',s,'IH'
in,'IH N',s,'IH'
progress,'P r OW G r e S',s,''
towards,'T AH W AO R D Z',s,'AO'
saint,'S EY N T',s,'EY'
albans,'AE L B AE N Z',s,'AE AE'
with,'W IH DH',s,'IH'
him,'HH IH M',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
lovely,'L ɤ V L ǝ IH',s,'IH'
lady,'L EY D IY',s,'EY IY'
goes,'G OW Z',s,''
as,'AE Z',s,'AE'
fast,'F AW S T',s,''
as,'AE Z',s,'AE'
can,'K AE N',s,'AE'
carrry,'K AW r ǝ IH',s,'IH'
them,'DH EH M',s,''
a,'AH',s,''
breakfast,'B R EH K F AH S T',s,''
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
at,'AE T',s,'AE'
your,'Y AO R',s,'AO'
pleasre,'P L EH ZH ER',s,''
my,'M AY',s,'AY'
good,'G UH D',s,'UH'
lord,'L AO R D',s,'AO'
within,'W IH DH IH N',s,'IH IH'
ho,'HH OW',s,''
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
of,'AH V',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
sup,'S AH P',s,''
with,'W IH DH',s,'IH'
me,'M IY',s,'IY'
my,'M AY',s,'AY'
good,'G UH D',s,'UH'
lords,'L AO R D Z',s,'AO'
of,'AH V',s,''
and,'AH N D',s,''
our,'OW R',s,''
supper,'S ɤ P ǝ R',s,''
ended,'EH N D AH D',s,''
me,'M IY',s,'IY'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
to,'T UW',s,'UW'
myself,'M AY S EH L F',s,'AY'
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
of,'AH V',s,''
my,'M AY',s,'AY'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
crown,'K r ǝ UH N',s,'UH'
then,'DH EH N',s,''
thus,'DH ɤ S',s,''
edward,'e D W ǝ R D',s,''
the,'DH AH',s,''
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
had,'HH AE D',s,'AE'
seven,'S EH V AH N',s,''
sons,'S AH N Z',s,''
the,'DH AH',s,''
edward,'e D W ǝ R D',s,''
the,'DH AH',s,''
black,'B L AE K',s,'AE'
of,'AH V',s,''
the,'DH AH',s,''
second,'S EH K AH N D',s,''
of,'AH V',s,''
hatfield,'HH AE T F IY L D',s,'AE IY'
and,'AH N D',s,''
the,'DH AH',s,''
of,'AH V',s,''
to,'T UW',s,'UW'
whom,'HH UW M',s,'UW'
was,'W AA Z',s,'AA'
of,'AH V',s,''
gaunt,'G AO N T',s,'AO'
the,'DH AH',s,''
of,'AH V',s,''
lancaster,'L AW NG K AW S T ǝ R',s,''
the,'DH AH',s,''
fifth,'F IH F T',s,'IH'
was,'W AA Z',s,'AA'
edmund,'EH D M AH N D',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
the,'DH AH',s,''
was,'W AA Z',s,'AA'
thomas,'T AA M AH S',s,'AA'
of,'AH V',s,''
woodstock,'W UH D S T AA K',s,'UH AA'
of,'AH V',s,''
of,'AH V',s,''
was,'W AA Z',s,'AA'
the,'DH AH',s,''
and,'AH N D',s,''
last,'L AE S T',s,'AE'
edward,'e D W ǝ R D',s,''
the,'DH AH',s,''
black,'B L AE K',s,'AE'
died,'D AY D',s,'AY'
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
left,'L EH F T',s,''
behind,'B IH ə IH N D',s,'IH IH'
him,'HH IH M',s,'IH'
his,'HH IH Z',s,'IH'
only,'OW N L IY',s,'IY'
son,'S AO ̃',s,'AO'
who,'HH UW',s,'UW'
after,'AW F T ǝ R',s,''
edward,'e D W ǝ R D',s,''
the,'DH AH',s,''
death,'D EH TH',s,''
as,'AE Z',s,'AE'
till,'T IH L',s,'IH'
henry,'HH EH N R IY',s,'IY'
of,'AH V',s,''
lancaster,'L AW NG K AW S T ǝ R',s,''
the,'DH AH',s,''
eldest,'EH L D AH S T',s,''
son,'S AO ̃',s,'AO'
and,'AH N D',s,''
of,'AH V',s,''
of,'AH V',s,''
gaunt,'G AO N T',s,'AO'
by,'B AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
henry,'HH EH N R IY',s,'IY'
the,'DH AH',s,''
fourth,'F AO R TH',s,'AO'
on,'AA N',s,'AA'
the,'DH AH',s,''
realm,'R EH L M',s,''
deposed,'D IH P OW Z IH D',s,'IH IH'
the,'DH AH',s,''
sent,'S EH N T',s,''
his,'HH IH Z',s,'IH'
poor,'P UH R',s,'UH'
to,'T UW',s,'UW'
from,'F R AH M',s,''
she,'SH IY',s,'IY'
and,'AH N D',s,''
him,'HH IH M',s,'IH'
to,'T UW',s,'UW'
pomfret,'P ɤ M F r IH T',s,'IH'
as,'AE Z',s,'AE'
all,'AA L',s,'AA'
you,'Y UW',s,'UW'
harmless,'HH AA R M L AH S',s,'AA'
was,'W AA Z',s,'AA'
by,'B AY',s,'AY'
and,'AH N D',s,''
not,'N AA T',s,'AA'
by,'B AY',s,'AY'
for,'F AO R',s,'AO'
the,'DH AH',s,''
being,'B IY IH NG',s,'IY IH'
dead,'D EH D',s,''
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
son,'S AO ̃',s,'AO'
the,'DH AH',s,''
son,'S AO ̃',s,'AO'
of,'AH V',s,''
from,'F R AH M',s,''
i,'AY',s,'AY'
claim,'K L EH M',s,''
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
had,'HH AE D',s,'AE'
a,'AH',s,''
who,'HH UW',s,'UW'
edmund,'EH D M AH N D',s,''
mortimer,'M AO R T IH M ǝ R',s,'AO IH'
of,'AH V',s,''
edmund,'EH D M AH N D',s,''
had,'HH AE D',s,'AE'
of,'AH V',s,''
had,'HH AE D',s,'AE'
edmund,'EH D M AH N D',s,''
and,'AH N D',s,''
eleanor,'EH L AH N AO R',s,'AO'
his,'HH IH Z',s,'IH'
eldest,'EH L D AH S T',s,''
my,'M AY',s,'AY'
being,'B IY IH NG',s,'IY IH'
unto,'AH N T UW',s,'UW'
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
of,'AH V',s,''
cambrige,'K EY M B R IH JH',s,'EY IH'
who,'HH UW',s,'UW'
was,'W AA Z',s,'AA'
son,'S AO ̃',s,'AO'
to,'T UW',s,'UW'
edmund,'EH D M AH N D',s,''
edward,'e D W ǝ R D',s,''
the,'DH AH',s,''
fifth,'F IH F T',s,'IH'
son,'S AO ̃',s,'AO'
by,'B AY',s,'AY'
i,'AY',s,'AY'
claim,'K L EH M',s,''
the,'DH AH',s,''
she,'SH IY',s,'IY'
was,'W AA Z',s,'AA'
to,'T UW',s,'UW'
of,'AH V',s,''
who,'HH UW',s,'UW'
was,'W AA Z',s,'AA'
the,'DH AH',s,''
son,'S AO ̃',s,'AO'
of,'AH V',s,''
edmund,'EH D M AH N D',s,''
mortimer,'M AO R T IH M ǝ R',s,'AO IH'
who,'HH UW',s,'UW'
unto,'AH N T UW',s,'UW'
of,'AH V',s,''
so,'S OW',s,''
if,'IH F',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
elder,'e L D ǝ R',s,''
son,'S AO ̃',s,'AO'
the,'DH AH',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
we,'W IY',s,'IY'
thank,'TH AE NG K',s,'AE'
you,'Y UW',s,'UW'
lords,'L AO R D Z',s,'AO'
but,'B AH T',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
not,'N AA T',s,'AA'
your,'Y AO R',s,'AO'
till,'T IH L',s,'IH'
i,'AY',s,'AY'
be,'B IY',s,'IY'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
my,'M AY',s,'AY'
be,'B IY',s,'IY'
with,'W IH DH',s,'IH'
of,'AH V',s,''
the,'DH AH',s,''
of,'AH V',s,''
lancaster,'L AW NG K AW S T ǝ R',s,''
and,'AH N D',s,''
not,'N AA T',s,'AA'
suddenly,'S AH D AH N L IY',s,'IY'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
but,'B AH T',s,''
with,'W IH DH',s,'IH'
and,'AH N D',s,''
silent,'S AY L AH N T',s,'AY'
do,'D OW',s,''
you,'Y UW',s,'UW'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
do,'D OW',s,''
in,'IH N',s,'IH'
wink,'W IH NG K',s,'IH'
at,'AE T',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
at,'AE T',s,'AE'
at,'AE T',s,'AE'
ambition,'AE M B IH SH AH N',s,'AE IH'
at,'AE T',s,'AE'
and,'AH N D',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
of,'AH V',s,''
them,'DH EH M',s,''
till,'T IH L',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
flock,'F L AA K',s,'AA'
that,'DH AE T',s,'AE'
virtuous,'V ER CH UW AH S',s,'UW'
the,'DH AH',s,''
good,'G UH D',s,'UH'
that,'DH AE T',s,'AE'
seek,'S IY K',s,'IY'
and,'AH N D',s,''
in,'IH N',s,'IH'
that,'DH AE T',s,'AE'
shall,'SH AE L',s,'AE'
their,'DH EH R',s,''
if,'IH F',s,'IH'
york,'Y AO R K',s,'AO'
can,'K AE N',s,'AE'
and,'AH N D',s,''
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
do,'D OW',s,''
myself,'M AY S EH L F',s,'AY'
shall,'SH AE L',s,'AE'
to,'T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
greatest,'G r e T ǝ S T',s,''
man,'M AE N',s,'AE'
in,'IH N',s,'IH'
england,'IH NG G L AH N D',s,'IH'
but,'B AH T',s,''
the,'DH AH',s,''
lords,'L AO R D Z',s,'AO'
let,'L EH T',s,''
him,'HH IH M',s,'IH'
it,'IH T',s,'IH'
your,'Y AO R',s,'AO'
majesty,'M AE JH AH S T IY',s,'AE IY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
appointed,'P ǝ IH N T IH D',s,'IH IH'
for,'F AO R',s,'AO'
the,'DH AH',s,''
combat,'K AA M B AE T',s,'AA AE'
and,'AH N D',s,''
ready,'R EH D IY',s,'IY'
the,'DH AH',s,''
and,'AH N D',s,''
defendant,'D IH F EH N D AH N T',s,'IH'
the,'DH AH',s,''
and,'AH N D',s,''
his,'HH IH Z',s,'IH'
enter,'e N T ǝ R',s,''
the,'DH AH',s,''
lists,'L IH S T S',s,'IH'
so,'S OW',s,''
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
behold,'B IH HH OW L D',s,'IH'
the,'DH AH',s,''
i,'AY',s,'AY'
never,'N e V ǝ R',s,''
a,'AH',s,''
or,'AO R',s,'AO'
afraid,'ǝ F r EH D',s,''
to,'T UW',s,'UW'
than,'DH AE N',s,'AE'
is,'IH Z',s,'IH'
the,'DH AH',s,''
the,'DH AH',s,''
servant,'S ɐ R V ǝ N T',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
this,'DH IH S',s,'IH'
begins,'B IH G IH N Z',s,'IH IH'
to,'T UW',s,'UW'
trumpets,'T R AH M P AH T S',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
combatants,'K AH M B AE T AH N T S',s,'AE'
his,'HH IH Z',s,'IH'
thank,'TH AE NG K',s,'AE'
god,'G AA D',s,'AA'
and,'AH N D',s,''
the,'DH AH',s,''
good,'G UH D',s,'UH'
in,'IH N',s,'IH'
and,'AH N D',s,''
did,'D IH D',s,'IH'
he,'HH IY',s,'IY'
not,'N AA T',s,'AA'
in,'IH N',s,'IH'
his,'HH IH Z',s,'IH'
great,'G r e T',s,''
sums,'S ɤ M Z',s,''
of,'AH V',s,''
the,'DH AH',s,''
realm,'R EH L M',s,''
for,'F AO R',s,'AO'
in,'IH N',s,'IH'
and,'AH N D',s,''
never,'N e V ǝ R',s,''
sent,'S EH N T',s,''
it,'IH T',s,'IH'
by,'B AY',s,'AY'
means,'M IY N Z',s,'IY'
whereof,'ʍ EH R ɒ V',s,''
the,'DH AH',s,''
each,'IY CH',s,'IY'
revolted,'r IH V ɒ L T IH D',s,'IH IH'
cold,'K OW L D',s,''
for,'F AO R',s,'AO'
me,'M IY',s,'IY'
for,'F AO R',s,'AO'
i,'AY',s,'AY'
had,'HH AE D',s,'AE'
of,'AH V',s,''
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
for,'F AO R',s,'AO'
fertle,'F ER T AH L',s,''
england,'IH NG G L AH N D',s,'IH'
thus,'DH ɤ S',s,''
my,'M AY',s,'AY'
blossoms,'B L AA S AH M Z',s,'AA'
blasted,'B L AW S T IH D',s,'IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
bud,'B ɤ D',s,''
and,'AH N D',s,''
eat,'IY T',s,'IY'
my,'M AY',s,'AY'
but,'B AH T',s,''
i,'AY',s,'AY'
will,'W IH L',s,'IH'
this,'DH IH S',s,'IH'
gear,'G IY R',s,'IY'
or,'AO R',s,'AO'
sell,'S EH L',s,''
my,'M AY',s,'AY'
for,'F AO R',s,'AO'
a,'AH',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
took,'T UH K',s,'UH'
