f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
w,e,ll;W,EH,L;s; 
a,pp,ea,r;ǝ,P,IY,R;s; IY
u,n,t,o;AH,N,T,UW;s; UW
ou,r;OW,R;s; 
b,u,t;B,AH,T;s; 
t,o;T,UW;s; UW
r,e,c,o,v,e,r;r,IH,K,ɤ,V,ǝ,R;s; IH
o,f;AH,V;s; 
u,s;AH,S;s; 
b,y;B,AY;s; AY
a,n,d;AH,N,D;s; 
t,e,r,m,s;T,ɐ,R,M,Z;s; 
f,o,r,e,s,ai,d;F,AO,R,ˌ,S,e,D;s; AO
l,a,n,d,s;L,AE,N,D,Z;s; AE
s,o;S,OW;s; 
b,y;B,AY;s; AY
h,i,s;HH,IH,Z;s; IH
l,o,s,t;L,AO,S,T;s; AO
a,n,d;AH,N,D;s; 
th,i,s;DH,IH,S;s; IH
i;AY;s; AY
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
m,ai,n;M,EH,N;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
ou,r;OW,R;s; 
w,a,t,ch;W,AA,T,SH;s; AA
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
ch,ie,f;CH,IY,F;s; IY
o,f;AH,V;s; 
th,i,s;DH,IH,S;s; IH
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
l,a,n,d;L,AE,N,D;s; AE
a;AH;s; 
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
m,o,s,t;M,OW,S,T;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
a;AH;s; 
th,e;DH,AH;s; 
f,e,ll;F,EH,L;s; 
th,e;DH,AH;s; 
s,t,oo,d;S,T,UH,D;s; UH
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
d,ea,d;D,EH,D;s; 
d,i,d;D,IH,D;s; IH
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
r,o,m,a,n;r,OW,M,ǝ,N;s; 
s,t,r,ee,t,s;S,T,R,IY,T,S;s; IY
a,s;AE,Z;s; AE
s,t,a,r,s;S,T,AA,R,Z;s; AA
w,i,th;W,IH,DH;s; IH
t,r,ai,n,s;T,R,EY,N,Z;s; EY
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
d,e,w,s;D,Y,UW,Z;s; UW
o,f;AH,V;s; 
b,l,oo,d;B,L,AH,D;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
s,u,n;S,AH,N;s; 
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
m,oi,s,t;M,OY,S,T;s; 
s,t,a,r;S,T,AA,R;s; AA
u,p,o,n;AH,P,AA,N;s; AA
s,t,a,n,d,s;S,T,AE,N,D,Z;s; AE
w,a,s;W,AA,Z;s; AA
s,i,ck;S,IH,K;s; IH
a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
t,o;T,UW;s; UW
w,i,th;W,IH,DH;s; IH
a,n,d;AH,N,D;s; 
e,v,e,n;IY,V,IH,N;s; IY,IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
e,v,e,n,t,s;IH,V,EH,N,T,S;s; IH
a,s;AE,Z;s; AE
s,t,i,ll;S,T,IH,L;s; IH
th,e;DH,AH;s; 
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
o,m,e,n;OW,M,AH,N;s; 
o,n;AA,N;s; AA
h,ea,v,e,n;HH,EH,V,AH,N;s; 
a,n,d;AH,N,D;s; 
d,e,m,o,n,s,t,r,a,t,e,d;D,EH,M,AH,N,S,T,R,EY,T,AH,D;s; EY
u,n,t,o;AH,N,T,UW;s; UW
ou,r;OW,R;s; 
a,n,d;AH,N,D;s; 
c,ou,n,t,r,y,m,e,n;K,AH,N,T,R,IY,M,IH,N;s; IY,IH
b,u,t;B,AH,T;s; 
s,o,f,t;S,AA,F,T;s; AA
b,e,h,o,l,d;B,IH,HH,OW,L,D;s; IH
l,o;L,OW;s; 
i,t;IH,T;s; IH
a,g,ai,n;ǝ,ɡ,EH,N;s; 
c,r,o,ss;K,R,AO,S;s; AO
i,t;IH,T;s; IH
i,t;IH,T;s; IH
b,l,a,s,t;B,L,AW,S,T;s; 
i,ll,u,s,io,n;IH,L,UW,ZH,AH,N;s; IH,UW
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
o,r;AO,R;s; AO
o,f;AH,V;s; 
s,p,ea,k;S,P,IY,K;s; IY
t,o;T,UW;s; UW
m,e;M,IY;s; IY
i,f;IH,F;s; IH
b,e;B,IY;s; IY
g,oo,d;G,UH,D;s; UH
t,o;T,UW;s; UW
b,e;B,IY;s; IY
th,a,t;DH,AE,T;s; AE
t,o;T,UW;s; UW
th,ee;DH,IY;s; IY
d,o;D,OW;s; 
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
s,p,ea,k;S,P,IY,K;s; IY
t,o;T,UW;s; UW
m,e;M,IY;s; IY
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
a,r,t;AA,R,T;s; AA
p,r,i,v,y;P,R,IH,V,IY;s; IH,IY
t,o;T,UW;s; UW
o;OW;s; 
s,p,ea,k;S,P,IY,K;s; IY
o,r;AO,R;s; AO
i,f;IH,F;s; IH
th,ou;DH,AW;s; 
h,a,s,t;HH,AE,S,T;s; AE
i,n;IH,N;s; IH
i,n;IH,N;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
f,o,r;F,AO,R;s; AO
y,ou;Y,UW;s; UW
s,p,i,r,i,t,s;S,P,IH,R,AH,T,S;s; IH
o,f,t;AO,F,T;s; AO
i,n;IH,N;s; IH
d,ea,th;D,EH,TH;s; 
s,p,ea,k;S,P,IY,K;s; IY
o,f;AH,V;s; 
i,t;IH,T;s; IH
a,n,d;AH,N,D;s; 
i,t;IH,T;s; IH
m,a,r,c,e,ll,u,s;M,AA,R,S,EH,L,AH,S;s; AA
d,o;D,OW;s; 
i,f;IH,F;s; IH
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
s,t,a,n,d;S,T,AE,N,D;s; AE
a,n,d;AH,N,D;s; 
th,e,n;DH,EH,N;s; 
i,t;IH,T;s; IH
s,t,a,r,t,e,d;S,T,AA,R,T,AH,D;s; AA
a;AH;s; 
g,ui,l,t,y;G,IH,L,T,IY;s; IH,IY
u,p,o,n;AH,P,AA,N;s; AA
a;AH;s; 
f,ea,r,f,u,l;F,IH,R,F,AH,L;s; IH
s,u,mm,o,n,s;S,AH,M,AH,N,Z;s; 
i;AY;s; AY
th,e;DH,AH;s; 
c,o,ck;K,AA,K;s; AA
th,a,t;DH,AE,T;s; AE
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
t,r,u,m,p,e,t;T,R,AH,M,P,AH,T;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
m,o,r,n;M,AO,R,N;s; AO
d,o,th;D,AO,TH;s; AO
w,i,th;W,IH,DH;s; IH
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
g,o,d;G,AA,D;s; AA
o,f;AH,V;s; 
a,n,d;AH,N,D;s; 
a,t;AE,T;s; AE
h,i,s;HH,IH,Z;s; IH
i,n;IH,N;s; IH
s,ea;S,IY;s; IY
o,r;AO,R;s; AO
i,n;IH,N;s; IH
o,r;AO,R;s; AO
ai,r;EH,R;s; 
e,x,t,r,a,v,a,g,a,n,t;IH,K,S,T,r,AW,V,ǝ,G,ǝ,N;s; IH
a,n,d;AH,N,D;s; 
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
h,ie,s;ǝ,IH,Z;s; IH
t,o;T,UW;s; UW
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
t,r,u,th;T,R,UW,TH;s; UW
h,e,r,ei,n;ˌ,IY,R,IH,N;s; IY,IH
th,i,s;DH,IH,S;s; IH
p,r,e,s,e,n,t;P,r,IH,Z,e,N,T;s; IH
o,b,j,e,c,t;AA,B,JH,EH,K,T;s; AA
s,o;S,OW;s; 
i;AY;s; AY
a,n,d;AH,N,D;s; 
d,o;D,OW;s; 
i,n;IH,N;s; IH
p,a,r,t;P,AA,R,T;s; AA
i,t;IH,T;s; IH
b,u,t;B,AH,T;s; 
l,oo,k;L,UH,K;s; UH
th,e;DH,AH;s; 
m,o,r,n;M,AO,R,N;s; AO
i,n;IH,N;s; IH
r,u,ss,e,t;r,ɤ,S,IH,T;s; IH
c,l,a,d;K,L,AE,D;s; AE
th,e;DH,AH;s; 
d,e,w;D,Y,UW;s; UW
o,f;AH,V;s; 
y,o,n;Y,AA,N;s; AA
b,r,ea,k;B,R,EY,K;s; EY
w,e;W,IY;s; IY
ou,r;OW,R;s; 
w,a,t,ch;W,AA,T,SH;s; AA
u,p;AH,P;s; 
a,n,d;AH,N,D;s; 
b,y;B,AY;s; AY
m,y;M,AY;s; AY
l,e,t;L,EH,T;s; 
u,s;AH,S;s; 
i,m,p,a,r,t;IH,M,P,AA,R,T;s; IH,AA
wh,a,t;W,AH,T;s; 
w,e;W,IY;s; IY
s,ee,n;S,IY,N;s; IY
u,n,t,o;AH,N,T,UW;s; UW
f,o,r;F,AO,R;s; AO
u,p,o,n;AH,P,AA,N;s; AA
m,y;M,AY;s; AY
th,i,s;DH,IH,S;s; IH
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
t,o;T,UW;s; UW
u,s;AH,S;s; 
w,i,ll;W,IH,L;s; IH
s,p,ea,k;S,P,IY,K;s; IY
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
d,o;D,OW;s; 
y,ou;Y,UW;s; UW
c,o,n,s,e,n,t;K,AH,N,S,EH,N,T;s; 
w,e;W,IY;s; IY
sh,a,ll;SH,AE,L;s; AE
a,c,q,uai,n,t;AH,K,W,EY,N,T;s; EY
h,i,m;HH,IH,M;s; IH
w,i,th;W,IH,DH;s; IH
i,t;IH,T;s; IH
a,s;AE,Z;s; AE
n,ee,d,f,u,l;N,IY,D,F,AH,L;s; IY
i,n;IH,N;s; IH
ou,r;OW,R;s; 
ou,r;OW,R;s; 
d,u,t,y;D,UW,T,IY;s; UW,IY
h,ai,l;HH,EY,L;s; EY
t,o;T,UW;s; UW
y,ou,r;Y,AO,R;s; AO
th,e;DH,AH;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
y,ou,r;Y,AO,R;s; AO
p,oo,r;P,UH,R;s; UH
s,e,r,v,a,n,t;S,ɐ,R,V,ǝ,N,T;s; 
a;AH;s; 
d,i,s,p,o,s,i,t,io,n;D,IH,S,P,AH,Z,IH,SH,AH,N;s; IH,IH
g,oo,d;G,UH,D;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
t,o;T,UW;s; UW
s,ee;S,IY;s; IY
y,ou,r;Y,AO,R;s; AO
f,u,n,e,r,a,l;F,Y,UW,N,ER,AH,L;s; UW
i,n,d,ee,d;IH,N,D,IY,D;s; IH,IY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,t;IH,T;s; IH
u,p,o,n;AH,P,AA,N;s; AA
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
h,i,m;HH,IH,M;s; IH
h,e;HH,IY;s; IY
w,a,s;W,AA,Z;s; AA
a;AH;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
i;AY;s; AY
h,i,m;HH,IH,M;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
th,e;DH,AH;s; 
y,ou,r;Y,AO,R;s; AO
s,ea,s,o,n;S,IY,Z,AH,N;s; IY
y,ou,r;Y,AO,R;s; AO
f,o,r;F,AO,R;s; AO
a;AH;s; 
w,i,th;W,IH,DH;s; IH
a,n;AE,N;s; AE
ea,r;IY,R;s; IY
t,i,ll;T,IH,L;s; IH
i;AY;s; AY
d,e,l,i,v,e,r;D,IH,L,IH,V,ǝ,R;s; IH,IH
u,p,o,n;AH,P,AA,N;s; AA
th,e;DH,AH;s; 
w,i,t,n,e,ss;W,IH,T,N,AH,S;s; IH
o,f;AH,V;s; 
g,e,n,t,l,e,m,e,n;JH,EH,N,T,AH,L,M,IH,N;s; IH
th,i,s;DH,IH,S;s; IH
m,a,r,v,e,l;M,AA,R,V,ǝ,L;s; AA
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
h,a,d;HH,AE,D;s; AE
g,e,n,t,l,e,m,e,n;JH,EH,N,T,AH,L,M,IH,N;s; IH
m,a,r,c,e,ll,u,s;M,AA,R,S,EH,L,AH,S;s; AA
a,n,d;AH,N,D;s; 
o,n;AA,N;s; AA
th,ei,r;DH,EH,R;s; 
w,a,t,ch;W,AA,T,SH;s; AA
i,n;IH,N;s; IH
th,e;DH,AH;s; 
d,ea,d;D,EH,D;s; 
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
b,ee,n;B,IH,N;s; IH
th,u,s;DH,ɤ,S;s; 
a;AH;s; 
y,ou,r;Y,AO,R;s; AO
a,t;AE,T;s; AE
a,pp,ea,r,s;ǝ,P,IY,R,Z;s; IY
th,e,m;DH,EH,M;s; 
a,n,d;AH,N,D;s; 
w,i,th;W,IH,DH;s; IH
g,oe,s;G,OW,Z;s; 
a,n,d;AH,N,D;s; 
s,t,a,t,e,l,y;S,T,EH,T,L,ǝ,IH;s; IH
b,y;B,AY;s; AY
th,e,m;DH,EH,M;s; 
h,e;HH,IY;s; IY
b,y;B,AY;s; AY
th,ei,r;DH,EH,R;s; 
a,n,d;AH,N,D;s; 
w,i,th,i,n;W,IH,DH,IH,N;s; IH,IH
h,i,s;HH,IH,Z;s; IH
l,e,n,g,th;L,EH,NG,K,TH;s; 
a,l,m,o,s,t;AA,L,M,OW,S,T;s; AA
t,o;T,UW;s; UW
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
a,c,t;AE,K,T;s; AE
o,f;AH,V;s; 
f,ea,r;F,IY,R;s; IY
s,t,a,n,d;S,T,AE,N,D;s; AE
a,n,d;AH,N,D;s; 
s,p,ea,k;S,P,IY,K;s; IY
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
th,i,s;DH,IH,S;s; IH
t,o;T,UW;s; UW
m,e;M,IY;s; IY
i,n;IH,N;s; IH
d,r,ea,d,f,u,l;D,R,EH,D,F,AH,L;s; 
i,m,p,a,r,t;IH,M,P,AA,R,T;s; IH,AA
d,i,d;D,IH,D;s; IH
a,n,d;AH,N,D;s; 
i;AY;s; AY
w,i,th;W,IH,DH;s; IH
th,e,m;DH,EH,M;s; 
th,e;DH,AH;s; 
k,e,p,t;K,EH,P,T;s; 
th,e;DH,AH;s; 
w,a,t,ch;W,AA,T,SH;s; AA
a,s;AE,Z;s; AE
h,a,d;HH,AE,D;s; AE
b,o,th;B,OW,TH;s; 
i,n;IH,N;s; IH
f,o,r,m;F,AO,R,M;s; AO
o,f;AH,V;s; 
th,e;DH,AH;s; 
ea,ch;IY,CH;s; IY
t,r,ue;T,R,UW;s; UW
a,n,d;AH,N,D;s; 
g,oo,d;G,UH,D;s; UH
th,e;DH,AH;s; 
i;AY;s; AY
y,ou,r;Y,AO,R;s; AO
n,o,t;N,AA,T;s; AA
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
d,i,d;D,IH,D;s; IH
b,u,t;B,AH,T;s; 
i,t;IH,T;s; IH
y,e,t;Y,EH,T;s; 
i,t;IH,T;s; IH
l,i,f,t,e,d;L,IH,F,T,AH,D;s; IH
u,p;AH,P;s; 
i,t,s;IH,T,S;s; IH
a,n,d;AH,N,D;s; 
d,i,d;D,IH,D;s; IH
i,t,s,e,l,f;IH,T,S,EH,L,F;s; IH
t,o;T,UW;s; UW
a,s;AE,Z;s; AE
i,t;IH,T;s; IH
s,p,ea,k;S,P,IY,K;s; IY
b,u,t;B,AH,T;s; 
e,v,e,n;IY,V,IH,N;s; IY,IH
th,e,n;DH,EH,N;s; 
th,e;DH,AH;s; 
c,o,ck;K,AA,K;s; AA
a,n,d;AH,N,D;s; 
a,t;AE,T;s; AE
th,e;DH,AH;s; 
i,t;IH,T;s; IH
i,n;IH,N;s; IH
h,a,te;AW,S,T;s; 
a,n,d;AH,N,D;s; 
f,r,o,m;F,R,AH,M;s; 
ou,r;OW,R;s; 
a,s;AE,Z;s; AE
i;AY;s; AY
d,o;D,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
t,r,ue;T,R,UW;s; UW
a,n,d;AH,N,D;s; 
w,e;W,IY;s; IY
d,i,d;D,IH,D;s; IH
th,i,n,k;TH,IH,NG,K;s; IH
i,t;IH,T;s; IH
wr,i,t;R,IH,T;s; IH
d,o,w,n;D,ǝ,UH,N;s; UH
i,n;IH,N;s; IH
ou,r;OW,R;s; 
d,u,t,y;D,UW,T,IY;s; UW,IY
t,o;T,UW;s; UW
l,e,t;L,EH,T;s; 
y,ou;Y,UW;s; UW
o,f;AH,V;s; 
i,t;IH,T;s; IH
w,e;W,IY;s; IY
d,o;D,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
f,r,o,m;F,R,AH,M;s; 
t,o;T,UW;s; UW
f,oo,t;F,UH,T;s; UH
o;OW;s; 
y,e,s;Y,IH,S;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
h,e;HH,IY;s; IY
h,i,s;HH,IH,Z;s; IH
b,ea,v,e,r;B,IY,V,ə,R;s; IY
u,p;AH,P;s; 
a;AH;s; 
i,n;IH,N;s; IH
th,a,n;DH,AE,N;s; AE
i,n;IH,N;s; IH
a,n,g,e,r;AW,NG,ɡ,ǝ,R;s; 
v,e,r,y;V,EH,R,IY;s; IY
m,o,s,t;M,OW,S,T;s; 
i,t;IH,T;s; IH
y,ou;Y,UW;s; UW
w,i,th;W,IH,DH;s; IH
m,o,d,e,r,te;M,AA,D,ER,AH,T;s; AA
h,a,te;AW,S,T;s; 
t,e,ll;T,EH,L;s; 
a;AH;s; 
n,o,t;N,AA,T;s; AA
wh,e,n;ʍ,e,N;s; 
i;AY;s; AY
i,t;IH,T;s; IH
w,a,s;W,AA,Z;s; AA
a,s;AE,Z;s; AE
i;AY;s; AY
s,ee,n;S,IY,N;s; IY
i,t;IH,T;s; IH
i,n;IH,N;s; IH
h,i,s;HH,IH,Z;s; IH
a;AH;s; 
i;AY;s; AY
w,a,rr,a,n,t;W,AA,r,ǝ,N,T;s; AA
i,t;IH,T;s; IH
w,i,ll;W,IH,L;s; IH
ou,r;OW,R;s; 
d,u,t,y;D,UW,T,IY;s; UW,IY
t,o;T,UW;s; UW
y,ou,r;Y,AO,R;s; AO
i,t;IH,T;s; IH
i,s;IH,Z;s; IH
a;AH;s; 
a,n,d;AH,N,D;s; 
a,n;AE,N;s; AE
ea,g,e,r;IY,G,ǝ,R;s; IY
ai,r;EH,R;s; 
i;AY;s; AY
th,i,n,k;TH,IH,NG,K;s; IH
i,t;IH,T;s; IH
o,f;AH,V;s; 
i,n,d,ee,d;IH,N,D,IY,D;s; IH,IY
i;AY;s; AY
i,t;IH,T;s; IH
n,o,t;N,AA,T;s; AA
i,t;IH,T;s; IH
