wh,e,n;ʍ,e,N;s; 
h,i,s;HH,IH,Z;s; IH
b,a,r,k;B,AA,R,K;s; AA
c,a,nn,o,t;K,AE,N,AA,T;s; AE,AA
b,e;B,IY;s; IY
l,o,s,t;L,AO,S,T;s; AO
y,e,t;Y,EH,T;s; 
i,t;IH,T;s; IH
sh,a,ll;SH,AE,L;s; AE
b,e;B,IY;s; IY
l,oo,k;L,UH,K;s; UH
wh,a,t;W,AH,T;s; 
i;AY;s; AY
i;AY;s; AY
a;AH;s; 
a,s;AE,Z;s; AE
h,e;HH,IY;s; IY
d,i,d;D,IH,D;s; IH
th,e;DH,AH;s; 
i,n;IH,N;s; IH
o,f;AH,V;s; 
th,e;DH,AH;s; 
s,ea;S,IY;s; IY
a,n,d;AH,N,D;s; 
l,a,n,d;L,AE,N,D;s; AE
th,u,s;DH,ɤ,S;s; 
d,o;D,OW;s; 
g,o;G,OW;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
t,o;T,UW;s; UW
a,n,d;AH,N,D;s; 
a,g,ai,n;ǝ,ɡ,EH,N;s; 
t,o;T,UW;s; UW
u,p;AH,P;s; 
th,e;DH,AH;s; 
u,p;AH,P;s; 
a,ll;AA,L;s; AA
h,ai,l;HH,EY,L;s; EY
m,a,c,b,e,th;M,AH,K,B,EH,TH;s; 
h,ai,l;HH,EY,L;s; EY
t,o;T,UW;s; UW
th,ee;DH,IY;s; IY
o,f;AH,V;s; 
g,l,a,m,i,s;G,L,AW,M,IH,S;s; IH
h,ai,l;HH,EY,L;s; EY
l,e,ss,e,r;L,e,S,ǝ,R;s; 
th,a,n;DH,AE,N;s; AE
m,a,c,b,e,th;M,AH,K,B,EH,TH;s; 
a,n,d;AH,N,D;s; 
g,r,ea,t,e,r;G,r,e,T,ǝ,R;s; 
a,n,d;AH,N,D;s; 
m,a,c,b,e,th;M,AH,K,B,EH,TH;s; 
a,ll;AA,L;s; AA
h,ai,l;HH,EY,L;s; EY
wh,h,y;ʍ,ǝ,IH;s; IH
y,ou;Y,UW;s; UW
l,oo,k;L,UH,K;s; UH
h,a,te;AW,S,T;s; 
s,oo,n;S,UW,N;s; UW
b,e;B,IY;s; IY
b,a,ck;B,AE,K;s; AE
a,g,ai,n;ǝ,ɡ,EH,N;s; 
th,e;DH,AH;s; 
b,r,i,n,d,e,d;B,r,IH,N,D,IH,D;s; IH,IH
c,a,t;K,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
th,e;DH,AH;s; 
c,au,l,d,r,o,n;K,AO,L,D,r,ǝ,N;s; AO
g,o;G,OW;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
p,oi,s,o,n,e,d;P,ǝ,IH,Z,ǝ,N,D;s; IH
e,n,t,r,ai,l,s;EH,N,T,R,AH,L,Z;s; 
t,oa,d;T,OW,D;s; 
th,a,t;DH,AE,T;s; AE
u,n,d,e,r;ɤ,N,D,ǝ,R;s; 
c,o,l,d;K,OW,L,D;s; 
a,n,d;AH,N,D;s; 
v,e,n,o,m;V,EH,N,AH,M;s; 
g,o,t;G,AA,T;s; AA
th,ou;DH,AW;s; 
p,o,t;P,AA,T;s; AA
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
c,au,l,d,r,o,n;K,AO,L,D,r,ǝ,N;s; AO
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
c,au,l,d,r,o,n;K,AO,L,D,r,ǝ,N;s; AO
a,n,d;AH,N,D;s; 
a,n,d;AH,N,D;s; 
c,au,l,d,r,o,n;K,AO,L,D,r,ǝ,N;s; AO
a;AH;s; 
d,ee,d;D,IY,D;s; IY
a;AH;s; 
s,p,ea,k;S,P,IY,K;s; IY
i,f;IH,F;s; IH
i,t;IH,T;s; IH
f,r,o,m;F,R,AH,M;s; 
ou,r;OW,R;s; 
o,r;AO,R;s; AO
f,r,o,m;F,R,AH,M;s; 
ou,r;OW,R;s; 
p,ou,r;P,UW,R;s; UW
i,n;IH,N;s; IH
b,l,oo,d;B,L,AH,D;s; 
th,a,t;DH,AE,T;s; AE
h,a,th;HH,AE,TH;s; AE
ea,t,e,n;e,T,ǝ,N;s; 
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
i,n,t,o;IH,N,T,UW;s; IH,UW
th,e;DH,AH;s; 
o,r;AO,R;s; AO
a,n,d;AH,N,D;s; 
h,e;HH,IY;s; IY
h,i,s;HH,IH,Z;s; IH
s,p,ee,ch;S,P,IY,CH;s; IY
b,u,t;B,AH,T;s; 
th,ou;DH,AW;s; 
h,e;HH,IY;s; IY
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
b,e;B,IY;s; IY
c,o,mm,a,n,d,e,d;K,ǝ,M,AW,N,D,IH,D;s; IH
a,n,o,th,e,r;ǝ,N,ɤ,DH,ǝ,R;s; 
p,o,t,e,n,t;P,OW,T,ǝ,N,T;s; 
th,a,n;DH,AE,N;s; AE
th,e;DH,AH;s; 
b,u,t;B,AH,T;s; 
s,p,ea,k;S,P,IY,K;s; IY
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
s,ee,k;S,IY,K;s; IY
t,o;T,UW;s; UW
n,o;N,OW;s; 
h,i,s;HH,IH,Z;s; IH
a,n,d;AH,N,D;s; 
h,i,s;HH,IH,Z;s; IH
h,ea,r,t;HH,AA,R,T;s; AA
s,o;S,OW;s; 
d,e,p,a,r,t;D,IH,P,AA,R,T;s; IH,AA
a,ll;AA,L;s; AA
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
s,o;S,OW;s; 
b,u,t;B,AH,T;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
s,t,a,n,d,s;S,T,AE,N,D,Z;s; AE
m,a,c,b,e,th;M,AH,K,B,EH,TH;s; 
th,u,s;DH,ɤ,S;s; 
w,e;W,IY;s; IY
u,p;AH,P;s; 
h,i,s;HH,IH,Z;s; IH
s,p,r,i,t,e,s;S,P,r,ǝ,IH,T,S;s; IH
a,n,d;AH,N,D;s; 
th,e;DH,AH;s; 
b,e,s,t;B,EH,S,T;s; 
o,f;AH,V;s; 
ou,r;OW,R;s; 
th,e;DH,AH;s; 
ai,r;EH,R;s; 
t,o;T,UW;s; UW
a;AH;s; 
y,ou;Y,UW;s; UW
p,e,r,f,o,r,m;P,ǝ,R,F,AO,R,M;s; AO
y,ou,r;Y,AO,R;s; AO
a,n,t,i,c;AE,N,T,IH,K;s; AE,IH
th,a,t;DH,AE,T;s; AE
th,i,s;DH,IH,S;s; IH
g,r,ea,t;G,r,e,T;s; 
ou,r;OW,R;s; 
d,u,t,ie,s;D,UW,T,IY,Z;s; UW,IY
d,i,d;D,IH,D;s; IH
h,i,s;HH,IH,Z;s; IH
