uncles,'AH NG K AH L Z',s,''
shhrewsbury,'SH r OW Z B ǝ ˌ r ǝ IH',s,'IH'
and,'AH N D',s,''
in,'IH N',s,'IH'
our,'OW R',s,''
coronation,'K AO R AH N EY SH AH N',s,'AO EY'
your,'Y AO R',s,'AO'
stain,'S T EH N',s,''
to,'T UW',s,'UW'
countrymen,'K AH N T R IY M IH N',s,'IY IH'
thou,'DH AW',s,''
doom,'D ɤ M',s,''
be,'B IY',s,'IY'
therefre,'DH EH R F AO R',s,'AO'
thou,'DH AW',s,''
that,'DH AE T',s,'AE'
a,'AH',s,''
we,'W IY',s,'IY'
banish,'B AE N IH SH',s,'AE IH'
thee,'DH IY',s,'IY'
on,'AA N',s,'AA'
pain,'P EH N',s,''
of,'AH V',s,''
death,'D EH TH',s,''
and,'AH N D',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
view,'V Y UW',s,'UW'
the,'DH AH',s,''
sent,'S EH N T',s,''
from,'F R AH M',s,''
our,'OW R',s,''
of,'AH V',s,''
what,'W AH T',s,''
doth,'D AO TH',s,'AO'
my,'M AY',s,'AY'
revolt,'r IH V ɒ L T',s,'IH'
is,'IH Z',s,'IH'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
worst,'W AO R S T',s,'AO'
this,'DH IH S',s,'IH'
doth,'D AO TH',s,'AO'
contain,'K AH N T EY N',s,'EY'
whhy,'ʍ ǝ IH',s,'IH'
then,'DH EH N',s,''
lord,'L AO R D',s,'AO'
talbot,'T AE L B AH T',s,'AE'
shall,'SH AE L',s,'AE'
with,'W IH DH',s,'IH'
him,'HH IH M',s,'IH'
and,'AH N D',s,''
him,'HH IH M',s,'IH'
for,'F AO R',s,'AO'
this,'DH IH S',s,'IH'
you,'Y UW',s,'UW'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
content,'K ǝ N T e N T',s,''
then,'DH EH N',s,''
strength,'S T R EH NG K TH',s,''
and,'AH N D',s,''
unto,'AH N T UW',s,'UW'
him,'HH IH M',s,'IH'
let,'L EH T',s,''
him,'HH IH M',s,'IH'
percve,'P ER S IY V',s,'IY'
ill,'IH L',s,'IH'
we,'W IY',s,'IY'
brook,'B R UH K',s,'UH'
his,'HH IH Z',s,'IH'
treason,'T R IY Z AH N',s,'IY'
and,'AH N D',s,''
what,'W AH T',s,''
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
friends,'F R EH N D Z',s,''
be,'B IY',s,'IY'
lords,'L AO R D Z',s,'AO'
and,'AH N D',s,''
them,'DH EH M',s,''
to,'T UW',s,'UW'
speak,'S P IY K',s,'IY'
gentlemen,'JH EH N T AH L M IH N',s,'IH'
what,'W AH T',s,''
you,'Y UW',s,'UW'
thus,'DH ɤ S',s,''
and,'AH N D',s,''
you,'Y UW',s,'UW'
combat,'K AA M B AE T',s,'AA AE'
or,'AO R',s,'AO'
with,'W IH DH',s,'IH'
whom,'HH UW M',s,'UW'
what,'W AH T',s,''
is,'IH Z',s,'IH'
that,'DH AE T',s,'AE'
whereof,'ʍ EH R ɒ V',s,''
you,'Y UW',s,'UW'
both,'B OW TH',s,''
complain,'K ǝ M P L EH N',s,''
let,'L EH T',s,''
me,'M IY',s,'IY'
and,'AH N D',s,''
then,'DH EH N',s,''
you,'Y UW',s,'UW'
good,'G UH D',s,'UH'
lord,'L AO R D',s,'AO'
what,'W AH T',s,''
madness,'M AE D N AH S',s,'AE'
in,'IH N',s,'IH'
men,'M EH N',s,''
when,'ʍ e N',s,''
for,'F AO R',s,'AO'
so,'S OW',s,''
and,'AH N D',s,''
frivolous,'F R IH V AH L AH S',s,'IH'
a,'AH',s,''
shall,'SH AE L',s,'AE'
arse,'ER AY Z',s,'AY'
good,'G UH D',s,'UH'
cousins,'K AH Z AH N Z',s,''
both,'B OW TH',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
and,'AH N D',s,''
i,'AY',s,'AY'
and,'AH N D',s,''
be,'B IY',s,'IY'
at,'AE T',s,'AE'
you,'Y UW',s,'UW'
that,'DH AE T',s,'AE'
be,'B IY',s,'IY'
combatants,'K AH M B AE T AH N T S',s,'AE'
i,'AY',s,'AY'
you,'Y UW',s,'UW'
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
our,'OW R',s,''
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
and,'AH N D',s,''
the,'DH AH',s,''
and,'AH N D',s,''
you,'Y UW',s,'UW'
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
we,'W IY',s,'IY'
in,'IH N',s,'IH'
a,'AH',s,''
nation,'N EY SH AH N',s,'EY'
if,'IH F',s,'IH'
percve,'P ER S IY V',s,'IY'
dissension,'D IH S EH N SH AH N',s,'IH'
in,'IH N',s,'IH'
our,'OW R',s,''
looks,'L UH K S',s,'UH'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
within,'W IH DH IH N',s,'IH IH'
we,'W IY',s,'IY'
disagree,'D IH S AH G R IY',s,'IH IY'
will,'W IH L',s,'IH'
their,'DH EH R',s,''
be,'B IY',s,'IY'
to,'T UW',s,'UW'
and,'AH N D',s,''
rebel,'R EH B AH L',s,''
besides,'B IH S ə IH D Z',s,'IH IH'
what,'W AH T',s,''
infamy,'IH N F AH M IY',s,'IH IY'
will,'W IH L',s,'IH'
arse,'ER AY Z',s,'AY'
when,'ʍ e N',s,''
princes,'P R IH N S AH Z',s,'IH'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
a,'AH',s,''
a,'AH',s,''
of,'AH V',s,''
no,'N OW',s,''
regard,'r IH G AA R D',s,'IH AA'
peers,'P IY R Z',s,'IY'
and,'AH N D',s,''
chief,'CH IY F',s,'IY'
and,'AH N D',s,''
lost,'L AO S T',s,'AO'
the,'DH AH',s,''
realm,'R EH L M',s,''
of,'AH V',s,''
o,'OW',s,''
think,'TH IH NG K',s,'IH'
upon,'AH P AA N',s,'AA'
the,'DH AH',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
my,'M AY',s,'AY'
tender,'T e N D ǝ R',s,''
years,'Y IH R Z',s,'IH'
and,'AH N D',s,''
let,'L EH T',s,''
us,'AH S',s,''
not,'N AA T',s,'AA'
forgo,'F AO R G OW',s,'AO'
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
a,'AH',s,''
that,'DH AE T',s,'AE'
was,'W AA Z',s,'AA'
with,'W IH DH',s,'IH'
blood,'B L AH D',s,''
let,'L EH T',s,''
me,'M IY',s,'IY'
be,'B IY',s,'IY'
in,'IH N',s,'IH'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
see,'S IY',s,'IY'
no,'N OW',s,''
reason,'r EH Z ǝ N',s,''
if,'IH F',s,'IH'
i,'AY',s,'AY'
wear,'W EH R',s,''
this,'DH IH S',s,'IH'
that,'DH AE T',s,'AE'
therefre,'DH EH R F AO R',s,'AO'
be,'B IY',s,'IY'
i,'AY',s,'AY'
to,'T UW',s,'UW'
than,'DH AE N',s,'AE'
york,'Y AO R K',s,'AO'
both,'B OW TH',s,''
my,'M AY',s,'AY'
and,'AH N D',s,''
i,'AY',s,'AY'
them,'DH EH M',s,''
both,'B OW TH',s,''
as,'AE Z',s,'AE'
well,'W EH L',s,''
upbraid,'ɤ P B r EH D',s,''
me,'M IY',s,'IY'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
crown,'K r ǝ UH N',s,'UH'
forsooth,'F ǝ R S UW TH',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
is,'IH Z',s,'IH'
but,'B AH T',s,''
your,'Y AO R',s,'AO'
better,'B e T ə R',s,''
can,'K AE N',s,'AE'
than,'DH AE N',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
to,'T UW',s,'UW'
instruct,'IH N S T R AH K T',s,'IH'
or,'AO R',s,'AO'
teach,'T IY CH',s,'IY'
and,'AH N D',s,''
therefre,'DH EH R F AO R',s,'AO'
as,'AE Z',s,'AE'
we,'W IY',s,'IY'
in,'IH N',s,'IH'
so,'S OW',s,''
let,'L EH T',s,''
us,'AH S',s,''
still,'S T IH L',s,'IH'
and,'AH N D',s,''
cousin,'K AH Z AH N',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
we,'W IY',s,'IY'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
our,'OW R',s,''
regent,'R IY JH AH N T',s,'IY'
in,'IH N',s,'IH'
parts,'P AA R T S',s,'AA'
of,'AH V',s,''
and,'AH N D',s,''
good,'G UH D',s,'UH'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
your,'Y AO R',s,'AO'
troops,'T R UW P S',s,'UW'
of,'AH V',s,''
with,'W IH DH',s,'IH'
his,'HH IH Z',s,'IH'
bands,'B AE N D Z',s,'AE'
of,'AH V',s,''
foot,'F UH T',s,'UH'
and,'AH N D',s,''
true,'T R UW',s,'UW'
subjects,'S AH B JH IH K T S',s,'IH'
sons,'S AH N Z',s,''
of,'AH V',s,''
your,'Y AO R',s,'AO'
go,'G OW',s,''
and,'AH N D',s,''
digest,'D AY JH EH S T',s,'AY'
your,'Y AO R',s,'AO'
angry,'AE NG G R IY',s,'AE IY'
on,'AA N',s,'AA'
your,'Y AO R',s,'AO'
enemies,'EH N AH M IY Z',s,'IY'
ourself,'AW ER S EH L F',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
and,'AH N D',s,''
the,'DH AH',s,''
rest,'R EH S T',s,''
after,'AW F T ǝ R',s,''
will,'W IH L',s,'IH'
return,'r IH T ɐ R N',s,'IH'
to,'T UW',s,'UW'
from,'F R AH M',s,''
to,'T UW',s,'UW'
england,'IH NG G L AH N D',s,'IH'
i,'AY',s,'AY'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
presented,'P r IH Z e N T IH D',s,'IH IH'
by,'B AY',s,'AY'
your,'Y AO R',s,'AO'
with,'W IH DH',s,'IH'
and,'AH N D',s,''
that,'DH AE T',s,'AE'
you,'Y UW',s,'UW'
the,'DH AH',s,''
from,'F R AH M',s,''
the,'DH AH',s,''
the,'DH AH',s,''
and,'AH N D',s,''
the,'DH AH',s,''
of,'AH V',s,''
armagnac,'AA R M IH ˌ N AW K',s,'AA IH'
doth,'D AO TH',s,'AO'
your,'Y AO R',s,'AO'
affect,'ǝ F e K T',s,''
their,'DH EH R',s,''
marrry,'M AW r ǝ IH',s,'IH'
for,'F AO R',s,'AO'
i,'AY',s,'AY'
it,'IH T',s,'IH'
was,'W AA Z',s,'AA'
both,'B OW TH',s,''
and,'AH N D',s,''
unnatural,'ɤ N N AW T r ǝ L',s,''
that,'DH AE T',s,'AE'
and,'AH N D',s,''
bloody,'B L AH D IY',s,'IY'
of,'AH V',s,''
faith,'F EY TH',s,'EY'
alas,'AH L AE S',s,'AE'
my,'M AY',s,'AY'
years,'Y IH R Z',s,'IH'
and,'AH N D',s,''
is,'IH Z',s,'IH'
my,'M AY',s,'AY'
study,'S T AH D IY',s,'IY'
and,'AH N D',s,''
my,'M AY',s,'AY'
books,'B UH K S',s,'UH'
than,'DH AE N',s,'AE'
wanton,'W AA N T ǝ N',s,'AA'
with,'W IH DH',s,'IH'
a,'AH',s,''
yet,'Y EH T',s,''
call,'K AO L',s,'AO'
and,'AH N D',s,''
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
so,'S OW',s,''
let,'L EH T',s,''
them,'DH EH M',s,''
their,'DH EH R',s,''
every,'e V r ǝ IH',s,'IH'
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
well,'W EH L',s,''
content,'K ǝ N T e N T',s,''
with,'W IH DH',s,'IH'
tends,'T EH N D Z',s,''
to,'T UW',s,'UW'
and,'AH N D',s,''
my,'M AY',s,'AY'
my,'M AY',s,'AY'
lords,'L AO R D Z',s,'AO'
your,'Y AO R',s,'AO'
suits,'SH UW T S',s,'UW'
been,'B IH N',s,'IH'
and,'AH N D',s,''
debated,'D AH B EY T IH D',s,'EY IH'
on,'AA N',s,'AA'
your,'Y AO R',s,'AO'
is,'IH Z',s,'IH'
both,'B OW TH',s,''
good,'G UH D',s,'UH'
and,'AH N D',s,''
and,'AH N D',s,''
therefre,'DH EH R F AO R',s,'AO'
we,'W IY',s,'IY'
to,'T UW',s,'UW'
conditions,'K AH N D IH SH AH N Z',s,'IH'
of,'AH V',s,''
a,'AH',s,''
friendly,'F r e N L ǝ IH',s,'IH'
by,'B AY',s,'AY'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
we,'W IY',s,'IY'
mean,'M IY N',s,'IY'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
transported,'T R AE N S P AO R T AH D',s,'AE AO'
presently,'P R EH Z AH N T L IY',s,'IY'
to,'T UW',s,'UW'
in,'IH N',s,'IH'
and,'AH N D',s,''
proof,'P R UW F',s,'UW'
of,'AH V',s,''
contract,'K ǝ N T r AW K T',s,''
bear,'B EH R',s,''
this,'DH IH S',s,'IH'
plege,'P L EH JH',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
affection,'AH F EH K SH AH N',s,''
and,'AH N D',s,''
so,'S OW',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
see,'S IY',s,'IY'
them,'DH EH M',s,''
guarded,'G AA R D AH D',s,'AA'
and,'AH N D',s,''
safely,'S EH F L ǝ IH',s,'IH'
to,'T UW',s,'UW'
dover,'D OW V ǝ R',s,''
commit,'K AH M IH T',s,'IH'
them,'DH EH M',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
of,'AH V',s,''
the,'DH AH',s,''
sea,'S IY',s,'IY'
your,'Y AO R',s,'AO'
wondrous,'W AH N D R AH S',s,''
of,'AH V',s,''
hath,'HH AE TH',s,'AE'
me,'M IY',s,'IY'
with,'W IH DH',s,'IH'
gifts,'G IH F T S',s,'IH'
do,'D OW',s,''
breed,'B R IY D',s,'IY'
passions,'P AE SH AH N Z',s,'AE'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
heart,'HH AA R T',s,'AA'
and,'AH N D',s,''
as,'AE Z',s,'AE'
of,'AH V',s,''
gusts,'G AH S T S',s,''
the,'DH AH',s,''
hulk,'HH AH L K',s,''
against,'AH G EH N S T',s,''
the,'DH AH',s,''
so,'S OW',s,''
am,'AE M',s,'AE'
i,'AY',s,'AY'
driven,'D R IH V AH N',s,'IH'
by,'B AY',s,'AY'
breath,'B R EH TH',s,''
of,'AH V',s,''
renown,'r IH N ǝ UH N',s,'IH UH'
either,'EH DH ǝ R',s,''
to,'T UW',s,'UW'
suffer,'S ɤ F ǝ R',s,''
or,'AO R',s,'AO'
arrve,'ER AY V',s,'AY'
i,'AY',s,'AY'
of,'AH V',s,''
and,'AH N D',s,''
will,'W IH L',s,'IH'
henry,'HH EH N R IY',s,'IY'
therefre,'DH EH R F AO R',s,'AO'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
consent,'K AH N S EH N T',s,''
that,'DH AE T',s,'AE'
be,'B IY',s,'IY'
it,'IH T',s,'IH'
be,'B IY',s,'IY'
of,'AH V',s,''
your,'Y AO R',s,'AO'
report,'r IH P AO R T',s,'IH AO'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
or,'AO R',s,'AO'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
my,'M AY',s,'AY'
tender,'T e N D ǝ R',s,''
youth,'Y UW TH',s,'UW'
was,'W AA Z',s,'AA'
never,'N e V ǝ R',s,''
yet,'Y EH T',s,''
attaint,'ǝ T EH N T',s,''
with,'W IH DH',s,'IH'
passion,'P AE SH AH N',s,'AE'
of,'AH V',s,''
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
tell,'T EH L',s,''
but,'B AH T',s,''
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
am,'AE M',s,'AE'
i,'AY',s,'AY'
feel,'F IY L',s,'IY'
sharp,'SH AA R P',s,'AA'
dissension,'D IH S EH N SH AH N',s,'IH'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
breast,'B R EH S T',s,''
both,'B OW TH',s,''
of,'AH V',s,''
and,'AH N D',s,''
fear,'F IY R',s,'IY'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
sick,'S IH K',s,'IH'
with,'W IH DH',s,'IH'
of,'AH V',s,''
my,'M AY',s,'AY'
therefre,'DH EH R F AO R',s,'AO'
post,'P OW S T',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
to,'T UW',s,'UW'
agree,'ǝ ɡ r IY',s,'IY'
to,'T UW',s,'UW'
covenants,'K AH V AH N AH N T S',s,''
and,'AH N D',s,''
that,'DH AE T',s,'AE'
lady,'L EY D IY',s,'EY IY'
do,'D OW',s,''
to,'T UW',s,'UW'
to,'T UW',s,'UW'
cross,'K R AO S',s,'AO'
the,'DH AH',s,''
seas,'S IY Z',s,'IY'
to,'T UW',s,'UW'
england,'IH NG G L AH N D',s,'IH'
and,'AH N D',s,''
be,'B IY',s,'IY'
and,'AH N D',s,''
for,'F AO R',s,'AO'
your,'Y AO R',s,'AO'
and,'AH N D',s,''
the,'DH AH',s,''
up,'AH P',s,''
a,'AH',s,''
tenth,'T e N T',s,''
be,'B IY',s,'IY'
i,'AY',s,'AY'
for,'F AO R',s,'AO'
till,'T IH L',s,'IH'
you,'Y UW',s,'UW'
do,'D OW',s,''
return,'r IH T ɐ R N',s,'IH'
i,'AY',s,'AY'
rest,'R EH S T',s,''
with,'W IH DH',s,'IH'
a,'AH',s,''
and,'AH N D',s,''
you,'Y UW',s,'UW'
good,'G UH D',s,'UH'
banish,'B AE N IH SH',s,'AE IH'
all,'AA L',s,'AA'
if,'IH F',s,'IH'
you,'Y UW',s,'UW'
do,'D OW',s,''
me,'M IY',s,'IY'
by,'B AY',s,'AY'
what,'W AH T',s,''
you,'Y UW',s,'UW'
wre,'W ER',s,''
not,'N AA T',s,'AA'
what,'W AH T',s,''
you,'Y UW',s,'UW'
i,'AY',s,'AY'
it,'IH T',s,'IH'
will,'W IH L',s,'IH'
this,'DH IH S',s,'IH'
sudden,'S AH D AH N',s,''
of,'AH V',s,''
my,'M AY',s,'AY'
will,'W IH L',s,'IH'
and,'AH N D',s,''
so,'S OW',s,''
conduct,'K ɒ N D ǝ K T',s,''
me,'M IY',s,'IY'
from,'F R AH M',s,''
company,'K AH M P AH N IY',s,'IY'
i,'AY',s,'AY'
and,'AH N D',s,''
my,'M AY',s,'AY'
grief,'G R IY F',s,'IY'
