captain,'K AE P T AH N', s, AE
war,'W AO R', s, AO
trick,'T R IH K', s, IH
up,'AH P', s, 
with,'W IH DH', s, IH
and,'AH N D', s, 
what,'W AH T', s, 
a,'AH', s, 
beard,'B EH R D', s, 
of,'AH V', s, 
the,'DH AH', s, 
cut,'K ɤ T', s, 
and,'AH N D', s, 
a,'AH', s, 
suit,'SH UW T', s, UW
of,'AH V', s, 
the,'DH AH', s, 
camp,'K AE M P', s, AE
will,'W IH L', s, IH
do,'D OW', s, 
and,'AH N D', s, 
wits,'W IH T S', s, IH
is,'IH Z', s, IH
to,'T UW', s, UW
be,'B IY', s, IY
on,'AA N', s, AA
but,'B AH T', s, 
you,'Y UW', s, UW
must,'M AH S T', s, 
to,'T UW', s, UW
slanders,'S L AO N D ǝ R Z', s, AO
of,'AH V', s, 
the,'DH AH', s, 
or,'AO R', s, AO
you,'Y UW', s, UW
be,'B IY', s, IY
marvelously,'M AA R V AH L AH S L IY', s, AA IY
mistook,'M IH S T UH K', s, IH UH
captain,'K AE P T AH N', s, AE
whhy,'ʍ ǝ IH', s, IH
the,'DH AH', s, 
enemy,'EH N AH M IY', s, IY
is,'IH Z', s, IH
you,'Y UW', s, UW
him,'HH IH M', s, IH
all,'AA L', s, AA
i,'AY', s, AY
will,'W IH L', s, IH
speak,'S P IY K', s, IY
lower,'L OW · ǝ R', s, 
certain,'S ɐ R T ǝ N', s, 
not,'N AA T', s, AA
a,'AH', s, 
left,'L EH F T', s, 
and,'AH N D', s, 
the,'DH AH', s, 
that,'DH AE T', s, AE
ran,'R AE N', s, AE
from,'F R AH M', s, 
the,'DH AH', s, 
this,'DH IH S', s, IH
besides,'B IH S ə IH D Z', s, IH IH
and,'AH N D', s, 
all,'AA L', s, AA
that,'DH AE T', s, AE
was,'W AA Z', s, AA
in,'IH N', s, IH
the,'DH AH', s, 
tent,'T EH N T', s, 
the,'DH AH', s, 
most,'M OW S T', s, 
hath,'HH AE TH', s, AE
every,'e V r ǝ IH', s, IH
to,'T UW', s, UW
cut,'K ɤ T', s, 
his,'HH IH Z', s, IH
o,'OW', s, 
a,'AH', s, 
gallant,'G AE L AH N T', s, AE
alexander,'AE L AH G Z AE N D ER', s, AE AE
the,'DH AH', s, 
great,'G r e T', s, 
i,'AY', s, AY
think,'TH IH NG K', s, IH
alexander,'AE L AH G Z AE N D ER', s, AE AE
the,'DH AH', s, 
great,'G r e T', s, 
was,'W AA Z', s, AA
born,'B AO R N', s, AO
in,'IH N', s, IH
his,'HH IH Z', s, IH
was,'W AA Z', s, AA
of,'AH V', s, 
as,'AE Z', s, AE
i,'AY', s, AY
it,'IH T', s, IH
our,'OW R', s, 
is,'IH Z', s, IH
not,'N AA T', s, AA
him,'HH IH M', s, IH
in,'IH N', s, IH
that,'DH AE T', s, AE
he,'HH IY', s, IY
never,'N e V ǝ R', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
friends,'F R EH N D Z', s, 
falstaff,'F AO L S T AE F', s, AO AE
his,'HH IH Z', s, IH
majesty,'M AE JH AH S T IY', s, AE IY
you,'Y UW', s, UW
villain,'V IH L AH N', s, IH
but,'B AH T', s, 
whhy,'ʍ ǝ IH', s, IH
wear,'W EH R', s, 
you,'Y UW', s, UW
your,'Y AO R', s, AO
leek,'L IY K', s, IY
saint,'S EY N T', s, EY
is,'IH Z', s, IH
past,'P AW S T', s, 
whhy,'ʍ ǝ IH', s, IH
he,'HH IY', s, IY
a,'AH', s, 
captain,'K AE P T AH N', s, AE
you,'Y UW', s, UW
him,'HH IH M', s, IH
go,'G OW', s, 
go,'G OW', s, 
you,'Y UW', s, UW
a,'AH', s, 
knve,'N EY V', s, EY
will,'W IH L', s, IH
you,'Y UW', s, UW
mock,'M AA K', s, AA
at,'AE T', s, AE
an,'AE N', s, AE
ancient,'EY N CH AH N T', s, EY
begun,'B IH G AH N', s, IH
upon,'AH P AA N', s, AA
an,'AE N', s, AE
honorale,'AA N ER AH B AH L', s, AA
respect,'R IH S P EH K T', s, IH
and,'AH N D', s, 
worn,'W AO R N', s, AO
as,'AE Z', s, AE
a,'AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
not,'N AA T', s, AA
in,'IH N', s, IH
your,'Y AO R', s, AO
deeds,'D IY D Z', s, IY
of,'AH V', s, 
your,'Y AO R', s, AO
i,'AY', s, AY
seen,'S IY N', s, IY
you,'Y UW', s, UW
and,'AH N D', s, 
at,'AE T', s, AE
this,'DH IH S', s, IH
gentleman,'JH EH N T AH L M AH N', s, 
or,'AO R', s, AO
you,'Y UW', s, UW
he,'HH IY', s, IY
not,'N AA T', s, AA
speak,'S P IY K', s, IY
english,'IH NG G L IH SH', s, IH IH
in,'IH N', s, IH
the,'DH AH', s, 
garb,'G AA R B', s, AA
he,'HH IY', s, IY
not,'N AA T', s, AA
therefre,'DH EH R F AO R', s, AO
an,'AE N', s, AE
english,'IH NG G L IH SH', s, IH IH
cudgel,'K ɤ D ZH ǝ L', s, 
you,'Y UW', s, UW
it,'IH T', s, IH
and,'AH N D', s, 
let,'L EH T', s, 
a,'AH', s, 
welsh,'W EH L CH', s, 
teach,'T IY CH', s, IY
you,'Y UW', s, UW
a,'AH', s, 
good,'G UH D', s, UH
english,'IH NG G L IH SH', s, IH IH
condition,'K AH N D IH SH AH N', s, IH
you,'Y UW', s, UW
well,'W EH L', s, 
