happiness,'HH AE P IY N AH S', s, AE IY
what,'W AH T', s, 
did,'D IH D', s, IH
my,'M AY', s, AY
henry,'HH EH N R IY', s, IY
spend,'S P EH N D', s, 
his,'HH IH Z', s, IH
youth,'Y UW TH', s, UW
his,'HH IH Z', s, IH
and,'AH N D', s, 
in,'IH N', s, IH
the,'DH AH', s, 
wars,'W AO R Z', s, AO
did,'D IH D', s, IH
he,'HH IY', s, IY
so,'S OW', s, 
loge,'L AA JH', s, AA
in,'IH N', s, IH
open,'OW P ǝ N', s, 
field,'F IY L D', s, IY
in,'IH N', s, IH
cold,'K OW L D', s, 
and,'AH N D', s, 
to,'T UW', s, UW
his,'HH IH Z', s, IH
true,'T R UW', s, UW
and,'AH N D', s, 
did,'D IH D', s, IH
my,'M AY', s, AY
his,'HH IH Z', s, IH
wits,'W IH T S', s, IH
to,'T UW', s, UW
keep,'K IY P', s, IY
by,'B AY', s, AY
what,'W AH T', s, 
henry,'HH EH N R IY', s, IY
got,'G AA T', s, AA
you,'Y UW', s, UW
york,'Y AO R K', s, AO
and,'AH N D', s, 
deep,'D IY P', s, IY
in,'IH N', s, IH
and,'AH N D', s, 
or,'AO R', s, AO
hath,'HH AE TH', s, AE
and,'AH N D', s, 
myself,'M AY S EH L F', s, AY
with,'W IH DH', s, IH
all,'AA L', s, AA
the,'DH AH', s, 
of,'AH V', s, 
the,'DH AH', s, 
realm,'R EH L M', s, 
so,'S OW', s, 
sat,'S AE T', s, AE
in,'IH N', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
to,'T UW', s, UW
and,'AH N D', s, 
fro,'F R OW', s, 
and,'AH N D', s, 
be,'B IY', s, IY
kept,'K EH P T', s, 
in,'IH N', s, IH
we,'AA', s, AA
and,'AH N D', s, 
had,'HH AE D', s, AE
his,'HH IH Z', s, IH
in,'IH N', s, IH
his,'HH IH Z', s, IH
in,'IH N', s, IH
paris,'P EH R IH S', s, IH
in,'IH N', s, IH
of,'AH V', s, 
foes,'F OW Z', s, 
and,'AH N D', s, 
shall,'SH AE L', s, AE
and,'AH N D', s, 
shall,'SH AE L', s, AE
your,'Y AO R', s, AO
deeds,'D IY D Z', s, IY
of,'AH V', s, 
war,'W AO R', s, AO
and,'AH N D', s, 
all,'AA L', s, AA
our,'OW R', s, 
o,'OW', s, 
peers,'P IY R Z', s, IY
of,'AH V', s, 
england,'IH NG G L AH N D', s, IH
is,'IH Z', s, IH
this,'DH IH S', s, IH
fatal,'F EY T AH L', s, EY
this,'DH IH S', s, IH
your,'Y AO R', s, AO
your,'Y AO R', s, AO
from,'F R AH M', s, 
books,'B UH K S', s, UH
of,'AH V', s, 
the,'DH AH', s, 
of,'AH V', s, 
your,'Y AO R', s, AO
renown,'r IH N ǝ UH N', s, IH UH
of,'AH V', s, 
undoing,'ɤ N D UW IH N', s, UW IH
all,'AA L', s, AA
as,'AE Z', s, AE
all,'AA L', s, AA
had,'HH AE D', s, AE
never,'N e V ǝ R', s, 
been,'B IH N', s, IH
we,'W IY', s, IY
will,'W IH L', s, IH
keep,'K IY P', s, IY
it,'IH T', s, IH
if,'IH F', s, IH
we,'W IY', s, IY
can,'K AE N', s, AE
but,'B AH T', s, 
it,'IH T', s, IH
is,'IH Z', s, IH
we,'W IY', s, IY
the,'DH AH', s, 
that,'DH AE T', s, AE
the,'DH AH', s, 
roast,'r OW S T', s, 
hath,'HH AE TH', s, AE
given,'G IH V AH N', s, IH
the,'DH AH', s, 
of,'AH V', s, 
and,'AH N D', s, 
unto,'AH N T UW', s, UW
the,'DH AH', s, 
poor,'P UH R', s, UH
agrees,'ǝ ɡ r IY Z', s, IY
not,'N AA T', s, AA
with,'W IH DH', s, IH
the,'DH AH', s, 
of,'AH V', s, 
his,'HH IH Z', s, IH
a,'AH', s, 
jest,'JH EH S T', s, 
and,'AH N D', s, 
never,'N e V ǝ R', s, 
that,'DH AE T', s, AE
demand,'D IH M AW N D', s, IH
a,'AH', s, 
fifteenth,'F IH F T IY N TH', s, IH IY
for,'F AO R', s, AO
costs,'K AA S T S', s, AA
and,'AH N D', s, 
charges,'CH AA R JH AH Z', s, AA
in,'IH N', s, IH
she,'SH IY', s, IY
in,'IH N', s, IH
and,'AH N D', s, 
starved,'S T AA R V IH D', s, AA IH
in,'IH N', s, IH
my,'M AY', s, AY
lord,'L AO R D', s, AO
of,'AH V', s, 
i,'AY', s, AY
your,'Y AO R', s, AO
not,'N AA T', s, AA
my,'M AY', s, AY
speeches,'S P IY CH AH Z', s, IY
that,'DH AE T', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
but,'B AH T', s, 
my,'M AY', s, AY
that,'DH AE T', s, AE
doth,'D AO TH', s, AO
you,'Y UW', s, UW
will,'W IH L', s, IH
out,'AW T', s, 
in,'IH N', s, IH
i,'AY', s, AY
see,'S IY', s, IY
if,'IH F', s, IH
i,'AY', s, AY
longer,'L ɒ NG G ǝ R', s, 
we,'W IY', s, IY
shall,'SH AE L', s, AE
begin,'B IH G IH N', s, IH IH
our,'OW R', s, 
ancient,'EY N CH AH N T', s, EY
and,'AH N D', s, 
when,'ʍ e N', s, 
i,'AY', s, AY
am,'AE M', s, AE
i,'AY', s, AY
will,'W IH L', s, IH
be,'B IY', s, IY
lost,'L AO S T', s, AO
o,'OW', s, 
nell,'N EH L', s, 
sweet,'S W IY T', s, IY
nell,'N EH L', s, 
if,'IH F', s, IH
thou,'DH AW', s, 
dost,'D AA S T', s, AA
lord,'L AO R D', s, AO
banish,'B AE N IH SH', s, AE IH
the,'DH AH', s, 
canker,'K AW NG K ǝ R', s, 
of,'AH V', s, 
and,'AH N D', s, 
that,'DH AE T', s, AE
when,'ʍ e N', s, 
i,'AY', s, AY
ill,'IH L', s, IH
against,'AH G EH N S T', s, 
my,'M AY', s, AY
and,'AH N D', s, 
virtuous,'V ER CH UW AH S', s, UW
henry,'HH EH N R IY', s, IY
be,'B IY', s, IY
my,'M AY', s, AY
last,'L AE S T', s, AE
in,'IH N', s, IH
this,'DH IH S', s, IH
mortal,'M AO R T AA L', s, AO AA
my,'M AY', s, AY
dreams,'D R IY M Z', s, IY
this,'DH IH S', s, IH
doth,'D AO TH', s, AO
me,'M IY', s, IY
sad,'S AE D', s, AE
this,'DH IH S', s, IH
staff,'S T AE F', s, AE
bage,'B AE JH', s, AE
in,'IH N', s, IH
court,'K AO R T', s, AO
was,'W AA Z', s, AA
in,'IH N', s, IH
whom,'HH UW M', s, UW
i,'AY', s, AY
forgot,'F ǝ R G ɒ T', s, 
but,'B AH T', s, 
as,'AE Z', s, AE
i,'AY', s, AY
think,'TH IH NG K', s, IH
it,'IH T', s, IH
was,'W AA Z', s, AA
by,'B AY', s, AY
cardinal,'K AA R D AH N AH L', s, AA
and,'AH N D', s, 
on,'AA N', s, AA
the,'DH AH', s, 
pieces,'P IY S AH Z', s, IY
of,'AH V', s, 
the,'DH AH', s, 
broken,'B R OW K AH N', s, 
wand,'W AA N D', s, AA
wre,'W ER', s, 
placed,'P L EH S IH D', s, IH
the,'DH AH', s, 
heads,'HH EH D Z', s, 
of,'AH V', s, 
edmund,'EH D M AH N D', s, 
of,'AH V', s, 
and,'AH N D', s, 
de,'D e', s, 
la,'L AA', s, AA
of,'AH V', s, 
this,'DH IH S', s, IH
was,'W AA Z', s, AA
my,'M AY', s, AY
dream,'D R IY M', s, IY
what,'W AH T', s, 
it,'IH T', s, IH
doth,'D AO TH', s, AO
god,'G AA D', s, AA
eleanor,'EH L AH N AO R', s, AO
then,'DH EH N', s, 
must,'M AH S T', s, 
i,'AY', s, AY
outright,'ǝ UH T r ǝ IH T', s, UH IH
eleanor,'EH L AH N AO R', s, AO
art,'AA R T', s, AA
thou,'DH AW', s, 
not,'N AA T', s, AA
second,'S EH K AH N D', s, 
woman,'W UH M AH N', s, UH
in,'IH N', s, IH
the,'DH AH', s, 
realm,'R EH L M', s, 
and,'AH N D', s, 
the,'DH AH', s, 
of,'AH V', s, 
him,'HH IH M', s, IH
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
not,'N AA T', s, AA
pleasre,'P L EH ZH ER', s, 
at,'AE T', s, AE
command,'K ǝ M AW N D', s, 
the,'DH AH', s, 
reach,'R IY CH', s, IY
or,'AO R', s, AO
compass,'K ɤ M P ǝ S', s, 
of,'AH V', s, 
and,'AH N D', s, 
wilt,'W IH L T', s, IH
thou,'DH AW', s, 
still,'S T IH L', s, IH
be,'B IY', s, IY
to,'T UW', s, UW
down,'D ǝ UH N', s, UH
and,'AH N D', s, 
from,'F R AH M', s, 
top,'T AA P', s, AA
of,'AH V', s, 
to,'T UW', s, UW
feet,'F IY T', s, IY
from,'F R AH M', s, 
me,'M IY', s, IY
and,'AH N D', s, 
let,'L EH T', s, 
me,'M IY', s, IY
no,'N OW', s, 
be,'B IY', s, IY
not,'N AA T', s, AA
angry,'AE NG G R IY', s, AE IY
i,'AY', s, AY
am,'AE M', s, AE
again,'ǝ ɡ EH N', s, 
i,'AY', s, AY
nell,'N EH L', s, 
thou,'DH AW', s, 
wilt,'W IH L T', s, IH
with,'W IH DH', s, IH
us,'AH S', s, 
madam,'M AE D AH M', s, AE
the,'DH AH', s, 
is,'IH Z', s, IH
old,'OW L D', s, 
himself,'HH IH M S EH L F', s, IH
to,'T UW', s, UW
his,'HH IH Z', s, IH
no,'N OW', s, 
matters,'M AW T ǝ R Z', s, 
madam,'M AE D AH M', s, AE
i,'AY', s, AY
am,'AE M', s, AE
of,'AH V', s, 
the,'DH AH', s, 
realm,'R EH L M', s, 
and,'AH N D', s, 
at,'AE T', s, AE
his,'HH IH Z', s, IH
pleasre,'P L EH ZH ER', s, 
will,'W IH L', s, IH
resign,'r IH S ǝ IH N', s, IH IH
my,'M AY', s, AY
lords,'L AO R D Z', s, AO
my,'M AY', s, AY
being,'B IY IH NG', s, IY IH
with,'W IH DH', s, IH
the,'DH AH', s, 
i,'AY', s, AY
to,'T UW', s, UW
of,'AH V', s, 
commonwealth,'K AA M AH N W EH L TH', s, AA
affairs,'AH F EH R Z', s, 
as,'AE Z', s, AE
for,'F AO R', s, AO
your,'Y AO R', s, AO
spiteful,'S P ǝ IH T F UH L', s, IH UH
objections,'AH B JH EH K SH AH N Z', s, 
them,'DH EH M', s, 
and,'AH N D', s, 
i,'AY', s, AY
open,'OW P ǝ N', s, 
to,'T UW', s, UW
the,'DH AH', s, 
but,'B AH T', s, 
god,'G AA D', s, AA
in,'IH N', s, IH
so,'S OW', s, 
deal,'D EH L', s, 
with,'W IH DH', s, IH
my,'M AY', s, AY
soul,'S OW L', s, 
as,'AE Z', s, AE
i,'AY', s, AY
in,'IH N', s, IH
duty,'D UW T IY', s, UW IY
my,'M AY', s, AY
and,'AH N D', s, 
country,'K AH N T R IY', s, IY
but,'B AH T', s, 
to,'T UW', s, UW
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
that,'DH AE T', s, AE
we,'W IY', s, IY
in,'IH N', s, IH
i,'AY', s, AY
my,'M AY', s, AY
york,'Y AO R K', s, AO
is,'IH Z', s, IH
man,'M AE N', s, AE
to,'T UW', s, UW
be,'B IY', s, IY
your,'Y AO R', s, AO
regent,'R IY JH AH N T', s, IY
in,'IH N', s, IH
the,'DH AH', s, 
realm,'R EH L M', s, 
of,'AH V', s, 
this,'DH IH S', s, IH
doom,'D ɤ M', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
if,'IH F', s, IH
i,'AY', s, AY
juge,'JH AH JH', s, 
let,'L EH T', s, 
be,'B IY', s, IY
regent,'R IY JH AH N T', s, IY
the,'DH AH', s, 
french,'F R EH N CH', s, 
in,'IH N', s, IH
york,'Y AO R K', s, AO
this,'DH IH S', s, IH
breeds,'B R IY D Z', s, IY
suspicion,'S AH S P IH SH AH N', s, IH
and,'AH N D', s, 
let,'L EH T', s, 
a,'AH', s, 
appointed,'P ǝ IH N T IH D', s, IH IH
them,'DH EH M', s, 
for,'F AO R', s, AO
combat,'K AA M B AE T', s, AA AE
in,'IH N', s, IH
for,'F AO R', s, AO
he,'HH IY', s, IY
hath,'HH AE TH', s, AE
witness,'W IH T N AH S', s, IH
of,'AH V', s, 
his,'HH IH Z', s, IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
the,'DH AH', s, 
and,'AH N D', s, 
this,'DH IH S', s, IH
doom,'D ɤ M', s, 
or,'AO R', s, AO
you,'Y UW', s, UW
must,'M AH S T', s, 
or,'AO R', s, AO
be,'B IY', s, IY
my,'M AY', s, AY
lord,'L AO R D', s, AO
but,'B AH T', s, 
a,'AH', s, 
that,'DH AE T', s, AE
no,'N OW', s, 
than,'DH AE N', s, AE
a,'AH', s, 
bird,'B ɐ R D', s, 
can,'K AE N', s, AE
soar,'S OW R', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
cardinal,'K AA R D AH N AH L', s, AA
think,'TH IH NG K', s, IH
you,'Y UW', s, UW
by,'B AY', s, AY
that,'DH AE T', s, AE
wre,'W ER', s, 
it,'IH T', s, IH
not,'N AA T', s, AA
good,'G UH D', s, UH
your,'Y AO R', s, AO
to,'T UW', s, UW
heaven,'HH EH V AH N', s, 
what,'W AH T', s, 
cardinal,'K AA R D AH N AH L', s, AA
is,'IH Z', s, IH
your,'Y AO R', s, AO
so,'S OW', s, 
hot,'HH AA T', s, AA
good,'G UH D', s, UH
with,'W IH DH', s, IH
can,'K AE N', s, AE
you,'Y UW', s, UW
do,'D OW', s, 
it,'IH T', s, IH
as,'AE Z', s, AE
who,'HH UW', s, UW
my,'M AY', s, AY
lord,'L AO R D', s, AO
whhy,'ʍ ǝ IH', s, IH
england,'IH NG G L AH N D', s, IH
faith,'F EY TH', s, EY
holy,'HH OW L IY', s, IY
wre,'W ER', s, 
to,'T UW', s, UW
that,'DH AE T', s, AE
up,'AH P', s, 
no,'N OW', s, 
for,'F AO R', s, AO
the,'DH AH', s, 
matter,'M AW T ǝ R', s, 
in,'IH N', s, IH
true,'T R UW', s, UW
you,'Y UW', s, UW
advised,'ǝ D V ǝ IH Z D', s, IH
the,'DH AH', s, 
east,'e S T', s, 
of,'AH V', s, 
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
by,'B AY', s, AY
priest,'P R IY S T', s, IY
your,'Y AO R', s, AO
crown,'K r ǝ UH N', s, UH
for,'F AO R', s, AO
this,'DH IH S', s, IH
or,'AO R', s, AO
all,'AA L', s, AA
my,'M AY', s, AY
shall,'SH AE L', s, AE
fail,'F EH L', s, 
what,'W AH T', s, 
means,'M IY N Z', s, IY
this,'DH IH S', s, IH
what,'W AH T', s, 
dost,'D AA S T', s, AA
thou,'DH AW', s, 
proclaim,'P R OW K L EY M', s, EY
stand,'S T AE N D', s, AE
by,'B AY', s, AY
my,'M AY', s, AY
him,'HH IH M', s, IH
near,'N IY R', s, IY
the,'DH AH', s, 
his,'HH IH Z', s, IH
pleasre,'P L EH ZH ER', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
with,'W IH DH', s, IH
him,'HH IH M', s, IH
thou,'DH AW', s, 
been,'B IH N', s, IH
his,'HH IH Z', s, IH
thou,'DH AW', s, 
better,'B e T ə R', s, 
told,'T OW L D', s, 
hast,'HH AE S T', s, AE
thou,'DH AW', s, 
been,'B IH N', s, IH
what,'W AH T', s, 
and,'AH N D', s, 
a,'AH', s, 
tree,'T R IY', s, IY
mass,'M AW S', s, 
thou,'DH AW', s, 
plums,'P L AH M Z', s, 
well,'W EH L', s, 
that,'DH AE T', s, AE
so,'S OW', s, 
a,'AH', s, 
knve,'N EY V', s, EY
but,'B AH T', s, 
yet,'Y EH T', s, 
it,'IH T', s, IH
shall,'SH AE L', s, AE
not,'N AA T', s, AA
seve,'S ER V', s, 
let,'L EH T', s, 
me,'M IY', s, IY
see,'S IY', s, IY
wink,'W IH NG K', s, IH
open,'OW P ǝ N', s, 
them,'DH EH M', s, 
in,'IH N', s, IH
my,'M AY', s, AY
yet,'Y EH T', s, 
thou,'DH AW', s, 
not,'N AA T', s, AA
well,'W EH L', s, 
thou,'DH AW', s, 
me,'M IY', s, IY
so,'S OW', s, 
what,'W AH T', s, 
is,'IH Z', s, IH
this,'DH IH S', s, IH
cloak,'K L OW K', s, 
of,'AH V', s, 
whhy,'ʍ ǝ IH', s, IH
well,'W EH L', s, 
said,'S EH D', s, 
what,'W AH T', s, 
is,'IH Z', s, IH
my,'M AY', s, AY
gown,'G ǝ UH N', s, UH
of,'AH V', s, 
but,'B AH T', s, 
and,'AH N D', s, 
gowns,'G ǝ UH N Z', s, UH
this,'DH IH S', s, IH
a,'AH', s, 
tell,'T EH L', s, 
me,'M IY', s, IY
my,'M AY', s, AY
his,'HH IH Z', s, IH
nor,'N AO R', s, AO
his,'HH IH Z', s, IH
then,'DH EH N', s, 
sit,'S IH T', s, IH
the,'DH AH', s, 
knve,'N EY V', s, EY
in,'IH N', s, IH
if,'IH F', s, IH
thou,'DH AW', s, 
been,'B IH N', s, IH
born,'B AO R N', s, AO
thou,'DH AW', s, 
as,'AE Z', s, AE
well,'W EH L', s, 
all,'AA L', s, AA
our,'OW R', s, 
as,'AE Z', s, AE
thus,'DH ɤ S', s, 
to,'T UW', s, UW
the,'DH AH', s, 
we,'W IY', s, IY
do,'D OW', s, 
wear,'W EH R', s, 
of,'AH V', s, 
but,'B AH T', s, 
suddenly,'S AH D AH N L IY', s, IY
to,'T UW', s, UW
them,'DH EH M', s, 
all,'AA L', s, AA
it,'IH T', s, IH
is,'IH Z', s, IH
lords,'L AO R D Z', s, AO
saint,'S EY N T', s, EY
alban,'AA L B AH N', s, AA
hath,'HH AE TH', s, AE
a,'AH', s, 
and,'AH N D', s, 
you,'Y UW', s, UW
not,'N AA T', s, AA
think,'TH IH NG K', s, IH
his,'HH IH Z', s, IH
to,'T UW', s, UW
be,'B IY', s, IY
great,'G r e T', s, 
that,'DH AE T', s, AE
this,'DH IH S', s, IH
to,'T UW', s, UW
his,'HH IH Z', s, IH
legs,'L EH G Z', s, 
again,'ǝ ɡ EH N', s, 
my,'M AY', s, AY
masters,'M AW S T ǝ R Z', s, 
of,'AH V', s, 
saint,'S EY N T', s, EY
albans,'AE L B AE N Z', s, AE AE
you,'Y UW', s, UW
not,'N AA T', s, AA
beadles,'B IY D AH L Z', s, IY
in,'IH N', s, IH
your,'Y AO R', s, AO
and,'AH N D', s, 
whips,'ʍ IH P S', s, IH
then,'DH EH N', s, 
send,'S EH N D', s, 
for,'F AO R', s, AO
presently,'P R EH Z AH N T L IY', s, IY
me,'M IY', s, IY
a,'AH', s, 
stool,'S T UW L', s, UW
by,'B AY', s, AY
and,'AH N D', s, 
by,'B AY', s, AY
if,'IH F', s, IH
you,'Y UW', s, UW
mean,'M IY N', s, IY
to,'T UW', s, UW
sve,'EH V', s, 
from,'F R AH M', s, 
leap,'L IY P', s, IY
me,'M IY', s, IY
over,'OW V ǝ R', s, 
this,'DH IH S', s, IH
stool,'S T UW L', s, UW
and,'AH N D', s, 
run,'r ɤ N', s, 
well,'W EH L', s, 
we,'W IY', s, IY
must,'M AH S T', s, 
you,'Y UW', s, UW
your,'Y AO R', s, AO
whip,'ʍ IH P', s, IH
him,'HH IH M', s, IH
till,'T IH L', s, IH
he,'HH IY', s, IY
leap,'L IY P', s, IY
over,'OW V ǝ R', s, 
that,'DH AE T', s, AE
stool,'S T UW L', s, UW
the,'DH AH', s, 
knve,'N EY V', s, EY
and,'AH N D', s, 
this,'DH IH S', s, IH
drab,'D R AE B', s, AE
let,'L EH T', s, 
them,'DH EH M', s, 
be,'B IY', s, IY
every,'e V r ǝ IH', s, IH
market,'M AA R K IH T', s, AA IH
till,'T IH L', s, IH
to,'T UW', s, UW
from,'F R AH M', s, 
but,'B AH T', s, 
you,'Y UW', s, UW
than,'DH AE N', s, AE
i,'AY', s, AY
you,'Y UW', s, UW
in,'IH N', s, IH
a,'AH', s, 
my,'M AY', s, AY
lord,'L AO R D', s, AO
to,'T UW', s, UW
to,'T UW', s, UW
my,'M AY', s, AY
heart,'HH AA R T', s, AA
and,'AH N D', s, 
grief,'G R IY F', s, IY
vanquished,'V AW NG K W IH SH T', s, IH
all,'AA L', s, AA
my,'M AY', s, AY
and,'AH N D', s, 
vanquished,'V AW NG K W IH SH T', s, IH
as,'AE Z', s, AE
i,'AY', s, AY
am,'AE M', s, AE
i,'AY', s, AY
yield,'Y IY L D', s, IY
to,'T UW', s, UW
thee,'DH IY', s, IY
or,'AO R', s, AO
to,'T UW', s, UW
the,'DH AH', s, 
groom,'G R UW M', s, UW
madam,'M AE D AH M', s, AE
for,'F AO R', s, AO
myself,'M AY S EH L F', s, AY
to,'T UW', s, UW
heaven,'HH EH V AH N', s, 
i,'AY', s, AY
do,'D OW', s, 
appeal,'ǝ P IY L', s, IY
i,'AY', s, AY
my,'M AY', s, AY
and,'AH N D', s, 
and,'AH N D', s, 
for,'F AO R', s, AO
my,'M AY', s, AY
i,'AY', s, AY
not,'N AA T', s, AA
it,'IH T', s, IH
stands,'S T AE N D Z', s, AE
i,'AY', s, AY
am,'AE M', s, AE
to,'T UW', s, UW
what,'W AH T', s, 
i,'AY', s, AY
she,'SH IY', s, IY
is,'IH Z', s, IH
but,'B AH T', s, 
if,'IH F', s, IH
she,'SH IY', s, IY
forgot,'F ǝ R G ɒ T', s, 
and,'AH N D', s, 
and,'AH N D', s, 
with,'W IH DH', s, IH
as,'AE Z', s, AE
to,'T UW', s, UW
i,'AY', s, AY
banish,'B AE N IH SH', s, AE IH
my,'M AY', s, AY
bed,'B EH D', s, 
and,'AH N D', s, 
company,'K AH M P AH N IY', s, IY
and,'AH N D', s, 
as,'AE Z', s, AE
a,'AH', s, 
to,'T UW', s, UW
and,'AH N D', s, 
that,'DH AE T', s, AE
hath,'HH AE TH', s, AE
eleanor,'EH L AH N AO R', s, AO
the,'DH AH', s, 
thou,'DH AW', s, 
hath,'HH AE TH', s, AE
thee,'DH IY', s, IY
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
justify,'JH AH S T AH F AY', s, AY
whom,'HH UW M', s, UW
the,'DH AH', s, 
full,'F UH L', s, UH
of,'AH V', s, 
tears,'T EH R Z', s, 
my,'M AY', s, AY
heart,'HH AA R T', s, AA
of,'AH V', s, 
grief,'G R IY F', s, IY
this,'DH IH S', s, IH
in,'IH N', s, IH
will,'W IH L', s, IH
with,'W IH DH', s, IH
to,'T UW', s, UW
the,'DH AH', s, 
i,'AY', s, AY
beseech,'B IY S IY CH', s, IY IY
your,'Y AO R', s, AO
majesty,'M AE JH AH S T IY', s, AE IY
me,'M IY', s, IY
to,'T UW', s, UW
go,'G OW', s, 
and,'AH N D', s, 
my,'M AY', s, AY
henry,'HH EH N R IY', s, IY
is,'IH Z', s, IH
my,'M AY', s, AY
staff,'S T AE F', s, AE
as,'AE Z', s, AE
do,'D OW', s, 
i,'AY', s, AY
the,'DH AH', s, 
resign,'r IH S ǝ IH N', s, IH IH
as,'AE Z', s, AE
henry,'HH EH N R IY', s, IY
it,'IH T', s, IH
and,'AH N D', s, 
even,'IY V IH N', s, IY IH
as,'AE Z', s, AE
at,'AE T', s, AE
feet,'F IY T', s, IY
i,'AY', s, AY
it,'IH T', s, IH
as,'AE Z', s, AE
ambitiously,'AE M B IH SH AH S L IY', s, AE IH IY
it,'IH T', s, IH
good,'G UH D', s, UH
when,'ʍ e N', s, 
i,'AY', s, AY
am,'AE M', s, AE
dead,'D EH D', s, 
and,'AH N D', s, 
honorale,'AA N ER AH B AH L', s, AA
attend,'AH T EH N D', s, 
thhrne,'TH r OW N', s, 
thus,'DH ɤ S', s, 
hath,'HH AE TH', s, AE
the,'DH AH', s, 
a,'AH', s, 
and,'AH N D', s, 
after,'AW F T ǝ R', s, 
summer,'S ɤ M ǝ R', s, 
barren,'B AE R AH N', s, AE
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
cold,'K OW L D', s, 
so,'S OW', s, 
and,'AH N D', s, 
as,'AE Z', s, AE
seasons,'S IY Z AH N Z', s, IY
fleet,'F L IY T', s, IY
ten,'T EH N', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
that,'DH AE T', s, AE
was,'W AA Z', s, AA
appointed,'P ǝ IH N T IH D', s, IH IH
me,'M IY', s, IY
to,'T UW', s, UW
watch,'W AA T SH', s, AA
the,'DH AH', s, 
of,'AH V', s, 
my,'M AY', s, AY
duchess,'D AH CH AH S', s, 
she,'SH IY', s, IY
the,'DH AH', s, 
streets,'S T R IY T S', s, IY
to,'T UW', s, UW
tread,'T R EH D', s, 
them,'DH EH M', s, 
with,'W IH DH', s, IH
feet,'F IY T', s, IY
sweet,'S W IY T', s, IY
nell,'N EH L', s, 
ill,'IH L', s, IH
can,'K AE N', s, AE
the,'DH AH', s, 
on,'AA N', s, AA
with,'W IH DH', s, IH
looks,'L UH K S', s, UH
at,'AE T', s, AE
that,'DH AE T', s, AE
did,'D IH D', s, IH
wheels,'ʍ IY L Z', s, IY
when,'ʍ e N', s, 
thou,'DH AW', s, 
in,'IH N', s, IH
the,'DH AH', s, 
streets,'S T R IY T S', s, IY
but,'B AH T', s, 
soft,'S AA F T', s, AA
i,'AY', s, AY
think,'TH IH NG K', s, IH
she,'SH IY', s, IY
and,'AH N D', s, 
my,'M AY', s, AY
to,'T UW', s, UW
see,'S IY', s, IY
no,'N OW', s, 
stir,'S T ɐ R', s, 
not,'N AA T', s, AA
