you,'Y UW',s,'UW'
thou,'DH AW',s,''
art,'AA R T',s,'AA'
so,'S OW',s,''
near,'N IY R',s,'IY'
the,'DH AH',s,''
gulf,'G AH L F',s,''
thou,'DH AW',s,''
needs,'N IY D Z',s,'IY'
must,'M AH S T',s,''
be,'B IY',s,'IY'
besides,'B IH S ə IH D Z',s,'IH IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
desires,'D IH Z ǝ IH R Z',s,'IH IH'
thee,'DH IY',s,'IY'
thou,'DH AW',s,''
wilt,'W IH L T',s,'IH'
followers,'F ɒ L ǝ W ǝ R Z',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
their,'DH EH R',s,''
souls,'S OW L Z',s,''
a,'AH',s,''
and,'AH N D',s,''
a,'AH',s,''
sweet,'S W IY T',s,'IY'
from,'F R AH M',s,''
off,'AO F',s,'AO'
fields,'F IY L D Z',s,'IY'
their,'DH EH R',s,''
poor,'P UH R',s,'UH'
bodies,'B AA D IY Z',s,'AA IY'
must,'M AH S T',s,''
and,'AH N D',s,''
the,'DH AH',s,''
of,'AH V',s,''
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
and,'AH N D',s,''
so,'S OW',s,''
thee,'DH IY',s,'IY'
well,'W EH L',s,''
thou,'DH AW',s,''
never,'N e V ǝ R',s,''
shalt,'SH AE L T',s,'AE'
herald,'HH EH R AH L D',s,''
no,'N OW',s,''
great,'G r e T',s,''
i,'AY',s,'AY'
to,'T UW',s,'UW'
thee,'DH IY',s,'IY'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
we,'W IY',s,'IY'
this,'DH IH S',s,'IH'
bloody,'B L AH D IY',s,'IY'
field,'F IY L D',s,'IY'
to,'T UW',s,'UW'
book,'B UH K',s,'UH'
our,'OW R',s,''
dead,'D EH D',s,''
and,'AH N D',s,''
then,'DH EH N',s,''
to,'T UW',s,'UW'
them,'DH EH M',s,''
to,'T UW',s,'UW'
sort,'S AO R T',s,'AO'
our,'OW R',s,''
nobles,'N OW B AH L Z',s,''
from,'F R AH M',s,''
our,'OW R',s,''
common,'K AA M AH N',s,'AA'
men,'M EH N',s,''
for,'F AO R',s,'AO'
of,'AH V',s,''
our,'OW R',s,''
the,'DH AH',s,''
drowned,'D r ǝ UH N IH D',s,'UH IH'
and,'AH N D',s,''
in,'IH N',s,'IH'
blood,'B L AH D',s,''
so,'S OW',s,''
do,'D OW',s,''
our,'OW R',s,''
vulgar,'V ɤ L G ǝ R',s,''
drench,'D R EH N CH',s,''
their,'DH EH R',s,''
peasant,'P EH Z AH N T',s,''
in,'IH N',s,'IH'
blood,'B L AH D',s,''
of,'AH V',s,''
princes,'P R IH N S AH Z',s,'IH'
and,'AH N D',s,''
the,'DH AH',s,''
steeds,'S T IY D Z',s,'IY'
fret,'F R EH T',s,''
deep,'D IY P',s,'IY'
in,'IH N',s,'IH'
and,'AH N D',s,''
with,'W IH DH',s,'IH'
out,'AW T',s,''
their,'DH EH R',s,''
at,'AE T',s,'AE'
their,'DH EH R',s,''
dead,'D EH D',s,''
masters,'M AW S T ǝ R Z',s,''
them,'DH EH M',s,''
o,'OW',s,''
us,'AH S',s,''
great,'G r e T',s,''
to,'T UW',s,'UW'
view,'V Y UW',s,'UW'
the,'DH AH',s,''
field,'F IY L D',s,'IY'
in,'IH N',s,'IH'
safety,'S EH F T ǝ IH',s,'IH'
and,'AH N D',s,''
of,'AH V',s,''
their,'DH EH R',s,''
dead,'D EH D',s,''
bodies,'B AA D IY Z',s,'AA IY'
the,'DH AH',s,''
is,'IH Z',s,'IH'
yours,'Y UH R Z',s,'UH'
call,'K AO L',s,'AO'
it,'IH T',s,'IH'
