a / an | =
accord / ~s | ǝˈkɔ:ɹd / -z
accord / ~s / ~eth / ~ed | ǝˈkɔ:ɹd / -z / -ǝθ / -ɪd
accordant | ǝˈkɔ:ɹdǝnt
according | ǝˈkɔ:ɹdɪn, -ɪŋ
according as / ~to | ǝˈkɔ:ɹdɪn, -ɪŋ ˌaz / -ˌtʊ, ˌtu:
accordingly | ǝˈkɔ:ɹdɪnˌlǝɪ, -ɪŋ-
accost | =
accost / ~ed | =
account | ǝˈkǝʊnt
account / ~s / ~ed / ~edest | ǝˈkǝʊnt / -s / -ɪd / -ɪdst
accountant | ǝˈkǝʊntǝnt
accoutered | ǝˈku:tǝɹd, -ˈku:st-
acoutrement / ~s | ǝˈku:trǝˌment, -ˈku:st- / -s
accrue | =
accumulate / ~d | ǝˈkju:mǝˌlɛ:t / -ɪd
accumulation | ǝˌkju:mǝˈlɛ:sɪǝn
accursed | m ǝˈkɐ:ɹsɪd, ǝˈkɐ:ɹst
accursed | ǝˈkɐ:ɹst
accusation / ~s | m ˌakjǝˈzɛ:sɪǝn, -ɪˌɒn / -z
accusative | =
accusativ·us / ~o | aˌkju:zǝˈti:vo:
accuse | =
accus·e / ~es / ~eth / ~ing / ~ed | = / = / = / ǝˈkju:z·ɪn, -ɪŋ / m -ɪd, -d
accused | m ǝˈkju:zɪd
accuser / ~’s / ~s | ǝˈkju:zǝɹ / -z
accustomed | ǝˈkɤstǝmd
ace | as
ache / ~s | ɛ:tʃ / m ˈɛ:tʃɪz
ache / ~s | ɛ:k / -s
Acheron | m ˈakǝrɒn, -ˌrɒn
achieve / ~s / ~d | ǝˈtʃi:v, ǝˈtʃɪv / -z / -d
achievement / ~s | ǝˈtʃi:vmǝnt, - tʃɪv- / -s
achiever | ǝˈtʃi:vǝɹ, -tʃɪv-
Achilles / ~s’ | ǝˈkɪli:z
aching | ˈɛ:kɪn, -ɪŋ
Achitophel | ǝˈkɪtǝfǝl
acknow | ǝkˈno:
acknowledge / ~d | =
acknowledgement | =
acknown | ǝkˈno:n
a-cold | ǝˈko:ld
a-coming | ǝˈkɤmɪn, -ɪŋ
aconitum | akǝˈnǝɪtǝm
acordo | ǝˈkɔ:ɹdo:
acorn | ˈɛ:kɔ:ɹn
acquaint / ~s / ~ed | ǝˈkwɛ:nt / -s / -ɪd
acquaintance | ǝˈkwɛ:ntǝns
acquire / ~d | ǝˈkwǝɪɹ / -d
acquisition | ˌakwɪˈzɪsɪǝn
acquit / ~ted | =
acquittance / ~s | =
acre / ~s | ˈɛ:kǝɹ, ˈak- / -z
across | =
act / ~s | =
act / ~s / ~ing / ~ed | = / = / ˈaktɪn, -ɪŋ / =
Actaeon / ~’s | ǝkˈtɛ:ǝn / -z
acting | ˈaktɪn, -ɪŋ
action / ~s | ˈaksɪǝn / -z
action-taking | ˈaksɪǝn-ˌtɛ:kɪn, -ɪŋ
Actium | ˈaksɪǝm, -ǝn
active | =
actively | m ˈaktɪvˌlǝɪ
active-valiant | =
activity | m ǝkˈtɪvɪˌtǝɪ, -vt-
actor / ~’s / ~s | ˈaktǝɹ / -z
actual | ˈaktjʊɑl, ˈaktʃɑl
a-cursing | ǝ-ˈkɐ:ɹsɪn, -ɪŋ
acute | =
acutely | ǝˈkju:tlǝɪ
ad | =
adage | ˈadɑ:ʒ, ˈadɪdʒ
Adallas | ǝˈdɤlǝs
Adam / ~’s | =
adamant | =
a-days | ǝˈdɛ:z
add / ~s / ~ing / ~ed | = / = / ˈadɪn, -ɪŋ / =
adder / ~’s / ~s / ~s’ | ˈadǝɹ / -z
addict / ~ed | =
addiction | ǝˈdɪksɪǝn
addition / ~s | ǝˈdɪsɪǝn / -z
addle | =
address / ~s / ~ing / ~ed | = / = / ǝˈdresɪn, -ɪŋ / =
adhere / ~s | ǝˈdɛ:ɹ, ǝˈdi:ɹ / -z
adieu / ~s | ǝˈdʒu:, -dju:, Caius MW 4.5.82, 5.3.5 adjθ / ǝˈdʒu:z, -dju:z
adjacent | ǝˈdʒɛ:sǝnt
adjoin / ~ed | ǝˈdʒǝɪnd
adjoining to | ǝˈdʒǝɪnɪn ˈtu:, -ɪŋ-, -ˈtʊ
adjourn / ~ed | ǝˈdʒɐ:ɹn / -d, -ˈdʒɔ:-
adjudge / ~d | m ǝˈdʒɤdʒd, -dʒɪd
adjunct | =
administer | ǝdˈmɪnɪstǝɹ
administration | ǝdˌmɪnɪˈstrɛ:sɪǝn
admirable | m ˈadmɪˌrabǝl, -ɪrǝb-
admiral | m ˈadmɪˌrɑl, -ɪrǝl
admiration | ˌadmɪˈrɛ:sɪǝn
admir·e / ~ing / ~ed | ǝdˈmǝɪɹ / -rɪn, -rɪŋ / m -d, -rɪd, ˈadmǝɪɹd
admired | m ǝdˈmǝɪɹd, -rɪd
admirer | ǝdˈmǝɪrǝɹ
admiring | ǝdˈmǝɪɹɪn, -ɪŋ
admiringly | ǝdˈmǝɪrɪnlǝɪ, -ɪŋ-
admission | ǝdˈmɪsɪǝn
admit / ~s / ~ting / ~ted | = / = / ǝdˈmɪtɪn, -ɪŋ / =
admittance | =
admonish / ~ ing | = / ǝdˈmɒnɪʃɪn, -ɪŋ
admonishment / ~s | =
admonition | ˌadmǝˈnɪsɪǝn
ado | =
a-doing | ǝˈdu:ɪn, -ɪŋ
Adonis | ǝˈdo:nɪs
adopt / ~s / ~ed | =
adopted | =
adoptedly | ǝˈdɒptɪdlǝɪ
adoption | ǝˈdɒpsɪǝn
adoptious | m ǝˈdɒpsɪǝs
adoration / ~s | ˌadǝˈrɛ:sɪǝn / -z
ador·e / ~est / ~es / ~eth / ~ing / ~ed | ǝˈdɔ:ɹ / -st / -z / -ǝθ / -rɪn, -rɪŋ / -d
adorer | ǝˈdɔ:rǝɹ
adorn / ~s / ~ed | ǝˈdɔ:ɹn / -z / m -d, -nɪd
adorning / ~s | ǝˈdɔ:ɹnɪnz, -ɪŋz
adornment | ǝˈdɔ:ɹnmǝnt
a-doting S | ǝˈdo:tɪn, -ɪŋ
a-down / ~-a | ǝˈdǝʊn / -ǝ
Adramadio | ˌadrǝˈmɑ:dɪo:, -ˈmad-
Adrian | ˈɛ:drɪǝn
Adriana | ˌadrɪˈɑ:nǝ, -ˈan-
Adriano | ˌadrɪˈɑ:no:, -ˈan-
Adriatic | ɛ:drɪˈatɪk
adsum | ˈadsʊm
a-ducking | ǝˈdɤkɪn, -ɪŋ
adulation | adjǝˈlɛ:sɪǝn, adʒǝ-
adulterate | m ǝˈdɤltrǝt, -tǝr-
adulterate / ~s | ǝˈdɤltrǝts, -tǝr-
adulterer / ~s | ǝˈdɤltrǝɹz, -tǝr-
adulteress | m ǝˈdɤltrǝs, -tǝˌres
adulterous | ǝˈdɤltrǝs, -tǝr-
adulter·y / ~ies | m ǝˈdɤltrǝɪ, -tǝˌrǝɪ / -tǝˌrǝɪz
advance / ~d | ǝdˈvans / m ǝdˈvanst, -sɪd
advanced | m ǝdˈvanst, ˈadvanst
advancement | ǝdˈvansmǝnt
advantage / ~s | ǝdˈvantɪdʒ / -ɪz
advantag·e / ~ing / ~ed | ǝdˈvantɪdʒ / -ɪn, -ɪŋ / -d
advantageable | m ǝdˈvantɪˌdʒabǝl
advantageous | ˌadvǝnˈtɛ:dʒɪǝs
adventure / ~s | ǝˈventǝɹ, ǝdˈv- / -z
adventur·e / ~ing / ~d | ǝˈventǝɹ, ǝdˈv- / -rɪn, -rɪŋ, -ventr- / -d
adventurous | ǝˈventrǝs, ǝdˈv-
adventurously | m ǝˈventrǝsˌlǝɪ, ǝdˈv-
adversar·y / ~ies | m ˈadvǝɹsˌrǝɪ, -ˌsarǝɪ, -sr-, Fluellen H5 3.2.59 ff ˈað- / -z
adverse | m ˈadvǝɹs, ǝdˈvɐ:ɹs
adversely | m ˈadvǝɹsˌlǝɪ
adversit·y / ~y’s / ~ies | m ǝdˈvɐ:ɹsɪˌtǝɪ, -ɪt- / -ɪˌtǝɪz
advertis·e / ~ing / ~ed | m ǝdˈvɐ:ɹtǝɪz / -ɪn, -ɪŋ / -d
advertisement | m ǝdˈvɐ:ɹtǝɪzˌment
advice | ǝdˈvǝɪs
advise / ~s / ~d | ǝdˈvǝɪz, ǝˈv- / -ɪz / m -d, -ɪd
advised | m ǝdˈvǝɪzɪd, -zd, ǝˈv-
advisedly | m ǝdˈvǝɪzɪdˌlǝɪ, ǝˈv-
advising / ~s | ǝdˈvǝɪzɪnz, -ɪŋz, ǝˈv-
advocate | m ˈadvǝˌkɛ:t, -vǝkǝt
advocation | ˌadvǝˈkɛ:sɪǝn
a-dying | ǝˈdǝɪɪn, -ɪŋ
Aeacides | i:ˈasɪdi:z
Aeac·us / ~ida | i:ˈasɪdǝ
Aedile / ~s | ˈi:dǝɪl / -z
Aegles | ˈi:ɡli:z
Aeneas | ǝˈnɛ:ǝs
Aeolus | ˈi:ǝlǝs
aer | ɛ:ɹ
aerial | ˈɛ:rɪǝl
Aesculapius | ˌeskǝˈlɛ:pɪǝs
Aeson | ˈi:sǝn
Aesop | ˈi:sǝp
afar | ǝˈfɑ:ɹ
afeared | ǝˈfi:ɹd, -ˈfɛ:-
a-feasting | ǝˈfestɪn, -ɪŋ
affability | m ˌafǝˈbɪlɪˌtǝɪ, -ɪt-
affable | m ˈafǝˌbɤl, ˈafbǝl
affair / ~s | ǝˈfɛ:ɹ / -z
affaire / ~s | aˈfɛ:ɹ
affect / ~s | ǝˈfeks, -kts
affect / ~s / ~eth / ~ing / ~ed | m ǝˈfekt, ˈafekt / ǝˈfek·s, -ts / -ǝθ / -ɪn, -ɪŋ / -ɪd
affectation / ~s | ˌafekˈtɛ:sɪǝn / -z
affected | =
affectedly | m ǝˈfektɪdˌlǝɪ
affecting | ǝˈfektɪn, -ɪŋ
affection / ~s | m ǝˈfeksɪǝn, -sɪˌɒn / -z
affectionate | m ǝˈfeksɪǝˌnɛ:t
affectionately | m ǝˈfeksɪǝˌnɛ:tlǝɪ
affectioned | ǝˈfeksɪǝnd
affiance / ~d | ǝˈfǝɪǝns / -t
affine / ~d | ǝˈfǝɪnd
affinity | ǝˈfɪnɪtǝɪ
affirm | ǝˈfɐ:ɹm
affirmation | ˈafǝɹˌmɛ:sɪǝn
affirmative / ~s | ǝˈfɐ:ɹmǝtɪvz
afflict / ~s / ~ed | =
afflicted | =
affliction / ~s | ǝˈflɪksɪǝn / m -z, -sɪˌɒnz
afford / ~s / ~eth | ǝˈfɔ:ɹd / -z / -ǝθ
affray | ǝˈfrɛ:
affright / ~s / ~ed | ǝˈfrǝɪt / -s / -ɪd
affrighted | ǝˈfrǝɪtɪd
affront | ǝˈfrɤnt
affront / ~ed | ǝˈfrɤnt / -ɪd
aff·y / ~ied | ǝˈfǝɪ / -d
afield | ǝˈfi:ld
afire | ǝˈfǝɪɹ
afloat | ǝˈflo:t
afoot | =
afore | ǝˈfɔ:ɹ
aforehand | m ǝˈfɔ:ɹˌand, -ˌhand
aforesaid | m ǝˈfɔ:ɹsed
afraid | ǝˈfrɛ:d
afresh | =
Afric | ˈafrɪk
Afric / ~a | ˈafrɪk / =
African | =
afront | ǝˈfrɤnt
after | ˈaftǝɹ, ˈɑ:tǝɹ
after-debt / ~s | ˈaftǝɹ-ˌdets, ˈɑ:tǝɹ-
after-dinner / ~’s | ˈaftǝɹ-ˌdɪnǝɹz, ˈɑ:tǝɹ-
after-enquiry / inquiry | ˈaftǝɹ-ɪŋˌkwǝɪrǝɪ, ˈɑ:tǝɹ-
after-eye | ˈaftǝɹ-ˌǝɪ, ˈɑ:tǝɹ-
after-fleet | ˈaftǝɹ-ˌfli:t, ˈɑ:tǝɹ-
after-hours | ˈaftǝɹ-ˌo:ɹz, ˈɑ:tǝɹ-
after-loss S | ˈaftǝɹ-ˌlɒs, ˈɑ:tǝɹ-
after-love | ˈaftǝɹ-ˌlɤv, ˈɑ:tǝɹ-
after-meeting | ˈaftǝɹ-ˌmi:tɪn, -ɪŋ, ˈɑ:tǝɹ-
afternoon | ˌaftǝɹˈnu:n, ˌɑ:tǝɹ-, -ˈnʊn
after-supper | ˈaftǝɹ-ˌsɤpǝɹ, ˈɑ:tǝɹ-
after-times | ˈaftǝɹ-ˌtǝɪmz, ˈɑ:tǝɹ-
afterward / ~s | m ˈaftǝɹˌwɐ:ɹd, -ɹwǝɹd, ˈɑ:tǝɹ- / -z
again | ǝˈɡɛ:n, ǝˈɡen
against, abbr gainst | ǝˈɡɛ:nst, ǝˈɡenst, abbr ˈɡɛ:nst, ˈɡenst
Agamemnon / ~’s | aɡǝˈmemnǝn / -z
agate | ˈaɡǝt
agate-stone | ˈaɡǝt-ˌsto:n
agaze / ~d | ǝˈɡɛ:zd
age / ~’s / ~s | ɛ:dʒ / ˈɛ:dʒɪz
aged | m ˈɛ:dʒɪd, ɛ:dʒd
aged | m ˈɛ:dʒɪd
Agenor | ǝˈdʒɛ:nǝɹ
agent / ~s | ˈɛ:dʒǝnt / -s
aggravate | m ˌaɡrǝˈvɛ:t
Agincourt | ˈadʒɪnˌkɔ:ɹt
agitation | ˌadʒɪˈtɛ:sɪǝn
aglet-baby | ˈaɡlɪt-ˌbɛ:bǝɪ
agnize | ǝɡˈnǝɪz
ago | ǝˈɡo:
a-going | ǝˈɡo:ɪn, -ɪŋ
agone | ǝˈɡɒn
agony | ˈaɡǝnǝɪ
agree, abbr gree / ~s / ~ing / ~d, abbr greed | ǝˈɡri:, abbr ɡri: / -z / -ɪn, -ɪŋ / -d, abbr ɡri:d
agreement | ǝˈɡri:mǝnt
aggrieved | Fluellen H5 4.7.158 ǝˈgri:ft
Agrippa | ǝˈɡrɪpǝ
aground | ǝˈɡrǝʊnd
a-growing | ǝˈɡro:ɪn, -ɪŋ
ague | ˈɛ:ɡju:
ague / ~’s / ~s | ˈɛ:ɡju: / -z
Aguecheek | ˈɛ:ɡju:ˌtʃi:k
agued | ˈɛ:ɡju:d
agueface | ˈɛ:ɡju:ˌfɛ:s
ague-proof | ˈɛ:ɡju:-ˌprɤf, -ˌpru:f
ah / aha | =
a-hanging | ǝ-ˈaŋɪn, -ɪŋ, -ˈha-
a-height | ǝ-ˈǝɪt, -ˈhǝ-
a-high | ǝ-ˈǝɪ, -ˈhǝ-
a-hold | ǝ-ˈo:ld, -ˈho:-
a-hooting | ǝ-ˈu:tɪn, -ɪŋ, -ˈhu:-
a-horseback | ǝ-ˈɔ:ɹsbak, -ˈhɔ:-
a-hungry / an- | ǝ-ˈɤŋgrǝɪ, -ˈhɤ- / ǝn-
aid / ~s | ɛ:d / -z
aid / ~ing / ~ed | ɛ:d / ˈɛ:d·ɪn, -ɪŋ / -ɪd
aidance | ˈɛ:dǝns
aidant | ˈɛ:dǝnt
aiding | ˈɛ:dɪn, -ɪŋ
aidless | ˈɛ:dlǝs
ail / ~est | ɛ:l / -st
aim / ~s | ɛ:m / -z
aim / ~est / ~s / ~ing / ~ed | ɛ:m / -st / -z / ˈɛ:m·ɪn, -ɪŋ / m -ɪd, ɪ:md
ainsi | ɛ̃ˈsi
aio | ˈǝɪo:
air / ~s | ɛ:ɹ / -z
air | ɛɹ
air / ~ed | ɛ:ɹd
air-braving | ˈɛ:ɹˌbrɛ:vɪn, -ɪŋ
air-drawn | ˈɛ:ɹ-ˌdrɔ:n
airless | ˈɛ:ɹlǝs
airy | ˈɛ:ɹǝɪ
Ajax | m ˈɛ:dʒǝks, ǝˈdʒɛ:ks
a-killing | ǝˈkɪlɪn, -ɪŋ
akin TNK | ǝˈkɪn
alablaster | ˈalǝblastǝɹ
alack, abbr lack | = , abbr lak
alacrity | ǝˈlakrɪtǝɪ
a-land Per | ǝˈland
Alarbus | ǝˈlɑ:ɹbǝs
alarm / ~s | ǝˈlɑ:ɹm / -z
alarum, abbr larum | ǝˈlɑ:rǝm, abbr ˈlɑ:rǝm
alarum, abbr larum / ~s | m ǝˈlɑ:rǝm, -ɑ:ɹm, abbr ˈlɑ:rǝm / -z
alarum / ~ed | ǝˈlɑ:rǝmd
alarum-bell, abbr larum-~ | ǝˈlɑ:rǝm-ˌbel, abbr ˈlɑ:-
alarumed | ǝˈlɑ:rǝmd
alas | =
Alban / ~s | ˈɑ:lbǝn / -z
Albany / ~’s | m ˈɑ:lbǝnǝɪ, -bnǝɪ / ˈɑ:lbnǝɪz
albeit | m ɑlˈbi:t, ˌɑlbi:ˈɪt
Albion / ~’s |  m =, ˈɑlbɪˌɒn / -z
alchemist | ˈɑlchǝmɪst, ˈɒl-
alchemy | ˈɑlchǝmǝɪ, ˈɒl-
Alcibiades | m ˌɑlsɪˈbǝɪdi:z, -ˈbǝɪǝ-
Alcides | ɑlˈsǝɪdi:z
alderliefest | ˈɑldǝɹˌlɪfɪst, ˈɒl-
alder·man / ~man’s / ~men | ˈɑldǝɹˌman, ˈɒl- / -z / m -ˌman, -mǝn
ale / ~s | ɛ:l / -z
Alecto / ~’s | ǝˈlekto:z
alehouse / ~s | ˈɛ:l·ǝʊs, -ˈhǝʊs / -ǝʊzɪz, ˈhǝʊ-
Alençon / ~’s | m ǝˈlensǝn, ˈalnsǝn / -z
Aleppo | ǝˈlepo:
ale-washed | ˈɛ:lˌwɑʃt
ale·wife / ~wives | ˈɛ:lˌwǝɪf / -ˌwǝɪvz
Alexander / ~’s / ~s | ɑlɪkˈsandǝɹ, Curate LLL 5.2.561ff ɑlɪˈsandǝɹ / -z
Alexandria | ɑlɪkˈsandrɪǝ
Alexandrian | ɑlɪkˈsandrɪǝn
Alexas | ǝˈleksǝs
alias | ˈalɪǝs
Alice | Eng ˈalɪs, TS Induction 2.109 als / Fr aˈlis
alien | ˈɛ:lɪǝn
Aliena | ɛ:lɪˈenǝ
alight ~ed | ǝˈlǝɪt / -ɪd
ali·us / ~is | ˈali:i:s
alike | ǝˈlǝɪk
alive | ǝˈlǝɪv
all | ɑ:l, [later] ɔ:l
alla | ˈala
all-abhorred | ˈɑ:l-ǝˌbɒɹɪd
all-admiring | ˈɑ:l-ǝdˌmǝɪrɪn, -ɪŋ
allay / ~s / ~ing / ~ed | ǝˈlɛ: / -z / -ɪn, -ɪŋ / -d
allaying | ǝˈlɛ:ɪn, -ɪŋ
allayment / ~s | ǝˈlɛ:mǝnt / -s
all-binding | ˌɑ:l-ˈbǝɪndɪn, -ɪŋ
all-building | ˌɑ:l-ˈbɪldɪn, -ɪŋ
all-changing | ˌɑ:l-ˈtʃɛ:ndʒɪn, -ɪŋ
all-cheering | ˌɑ:l-ˈtʃi:rɪn, -ɪŋ
all-disgraced | m ˌɑ:l-dɪsˈgrɛ:sɪd
all-dreaded | ˌɑ:l-ˈdredɪd
allegation / ~s | ɑlɛˈɡɛ:sɪǝn / -z
allege / abbr ledges / ~d | = / abbr ˈledʒɪz / m ǝˈledʒɪd
alleged | m ǝˈledʒɪd
allegiance | m ǝˈlɛ:dʒɪǝns, -ɪˌans
allegiant | ǝˈlɛ:dʒɪǝnt
aller
- allons | aˈlɔ̃
- va | va
- vais | vɛ
alley | ˈalǝɪ
all-hail | ˌɑ:l-ˈɛ:l, -ˈhɛ:l
all-hail / ~ed | ˌɑ:l-ˈɛ:ld, -ˈhɛ:-
All-Hallond Eve | ˈɑ:l-ˈɑlǝnd i:v, -ˈhɑ-
All-Hallowmass | ˈɑ:l-ˈɑlǝmas, -ˈhɑ-
All-Hallown | ˈɑ:l-ˈɑlǝn, -ˈhɑ-
all-hating | ˌɑ:l-ˈɛ:tɪn, -ɪŋ, -ˈhɛ:-
all-honoured | ˌɑ:l-ˈɒnǝɹd
alliance | ǝˈlǝɪǝns
allicholy, allycholly [malap melancholy] | ˈaliˌkɒlǝɪ
alligant [malap elegant or eloquent] | m ˈaliˌɡant
alligator | ɑliˈɡɑ:tǝɹ, -tǝ
all-licensed | ˌɑ:l-ˈlǝɪsǝnst
all-noble | ˌɑ:l-ˈno:bǝl
all-obeying | ˈɑ:l-ǝˈbɛ:ɪn, -ɪŋ
allot / ~s / Luc ~ted | =
allotery | ǝˈlɒtrǝɪ, -tǝr-
allow / ~s / ~ing / ~ed | ǝˈlǝʊ, ǝˈlo: / -z / -ɪn, -ɪŋ / -d
allowance | m ǝˈlǝʊǝns, ǝˈlǝʊns, ǝˈlo:-
allowed | ǝˈlǝʊd, ǝˈlo:-
allowing | ǝˈlǝʊɪn, -ɪŋ, ǝˈlo:-
all-praised | m ˌɑ:l-ˈprɛ:zɪd
all-seeing | ˌɑ:l-ˈsi:ɪn, -ɪŋ
all-seer | ˌɑ:l-ˈsi:ɹ
all-shaking | ˌɑ:l-ˈʃɛ:kɪn, -ɪŋ
all-smarting | ˌɑ:l-ˈsmɑ:ɹtɪn, -ɪŋ
All Souls’ Day | ˈɑ:l ˈso:lz ˌdɛ:
all-telling | ˌɑ:l-ˈtelɪn, -ɪŋ
all-thing | ˈɑ:l-ˌθɪŋ
all-unable | ˌɑ:l-ǝnˈɛ:bǝl
allur·e / ~ed | ǝˈlu:ɹ / -d
allurement | ǝˈlu:ɹmǝnt
alluring | ǝˈlu:rɪn, -ɪŋ
allusion | ǝˈlu:zɪǝn
all-watched | m ˌɑ:l-ˈwɑtʃɪd
all-worthy | ˌɑ:l-ˈwɑ:ɹðǝɪ
all·y / ~ies | ǝˈlǝɪ / -z
all·y / ~ied | ǝˈlǝɪd
Almain | ˈalmɛ:n
almanac / ~s | ˈɑ:lmǝnak, ˈɑl-, [later] ˈɔ:l- / -s
almighty | ɑ:lˈmǝɪtǝɪ, [later] ˈɔ:l-
almond | ˈɑ:lmǝnd, [later] ˈɔ:l-
almost | ˈɑ:lmo:st, [later] ˈɔ:l-
alms | =
alms-basket | =
alms-deed | =
alms-drink | =
alms-house / ~s | ˈɑ:mz-ˌǝʊzɪz, -ˌhǝʊ-
almsman, ~’s | =
aloft | =
alone | ǝˈlo:n
along | =
Alonso | ǝˈlɒnzo:
aloof | =, ǝˈlɤf
aloud | ǝˈlǝʊd
alow | ǝˈlo:
alphabet | =
alphabetical | ˌalfǝˈbetɪkɑl
Alphonso | alˈfɒnso:
Alps | =
already | ɑ:lˈredǝɪ, [later] ɔ:l-
also | ˈɑlso:, [later] ˈɒl-
altar / ~s | ˈɑltǝɹ, [later] ˈɒl- / -z
alter / ~s / ~ed | ˈɑltǝɹ, [later] ˈɒl- / -z / -d
