VARNUM ,Varaible NAME,LABEL,TYPE,LENGTH
181,AIANM2,2-PROF/AM-INDIAN-ALK/MALE,Numeric,8
182,AIANM3,3-TECH/AM-INDIAN-ALK/MALE,Numeric,8
183,AIANM4,4-SALE/AM-INDIAN-ALK/MALE,Numeric,8
184,AIANM5,5-CLERICALS/AM-INDIAN-ALK/MALE,Numeric,8
185,AIANM6,6-CRAFT/AM-INDIAN-ALK/MALE,Numeric,8
186,AIANM7,7-OPERT/AM-INDIAN-ALK/MALE,Numeric,8
187,AIANM8,8-LABORS/AM-INDIAN-ALK/MALE,Numeric,8
188,AIANM9,9-Service/AM-INDIAN-ALK/MALE,Numeric,8
189,AIANM10,10-TOTAL/AM-INDIAN-ALK/MALE,Numeric,8
190,AIANM1_2,1.2-Mid OFF AND MGRS/AM-INDIAN-ALK/MALE,Numeric,8
191,AIANF1,1-Senior OFF AND MGRS/AM-INDIAN-ALK/FEMALE,Numeric,8
192,AIANF2,2-PROF/AM-INDIAN-ALK/FEMALE,Numeric,8
193,AIANF3,3-TECH/AM-INDIAN-ALK/FEMALE,Numeric,8
194,AIANF4,4-SALE/AM-INDIAN-ALK/FEMALE,Numeric,8
195,AIANF5,5-CLERICALS/AM-INDIAN-ALK/FEMALE,Numeric,8
196,AIANF6,6-CRAFT/AM-INDIAN-ALK/FEMALE,Numeric,8
197,AIANF7,7-OPER/AM-INDIAN-ALK/FEMALE,Numeric,8
198,AIANF8,8-LABORS/AM-INDIAN-ALK/FEMALE,Numeric,8
199,AIANF9,9-Service/AM-INDIAN-ALK/FEMALE,Numeric,8
200,AIANF10,10-TOTAL/AM-INDIAN-ALK/FEMALE,Numeric,8
201,AIANF1_2,1.2-Mid OFF AND MGRS/AM-INDIAN-ALK/FEMALE,Numeric,8
202,nhopiT1,Hawaiia SENIOR OFF AND MGRS,Numeric,8
203,nhopiT2,Hawaiia PROFESSIONALS,Numeric,8
204,nhopiT3,Hawaiia TECHNICIANS,Numeric,8
205,nhopiT4,Hawaiia SALES WORKERS,Numeric,8
206,nhopiT5,Hawaiia OFFICE AND CLERICALS,Numeric,8
207,nhopiT6,Hawaiia CRAFT WORKERS,Numeric,8
208,nhopiT7,Hawaiia OPERATIVES,Numeric,8
209,nhopiT8,Hawaiia LABORERS,Numeric,8
210,nhopiT9,Hawaiia SERVICE WORKERS,Numeric,8
211,nhopiT10,Hawaiia TOTAL,Numeric,8
212,nhopiT1_2,Hawaiia MID OFF AND MGRS,Numeric,8
213,NHOPIM1,1-Senior OFF AND MGRS/Hawaiia/MALE,Numeric,8
214,NHOPIM2,2-PROF/Hawaiia/MALE,Numeric,8
215,NHOPIM3,3-TECH/Hawaiia/MALE,Numeric,8
216,NHOPIM4,4-SALEH/Hawaiia/MALE,Numeric,8
217,NHOPIM5,5-CLERICALS/Hawaiia/MALE,Numeric,8
218,NHOPIM6,6-CRAFT/Hawaiia/MALE,Numeric,8
219,NHOPIM7,7-OPER/Hawaiia/MALE,Numeric,8
220,NHOPIM8,8-LABORS/Hawaiia/MALE,Numeric,8
221,NHOPIM9,9-Service/Hawaiia/MALE,Numeric,8
222,NHOPIM10,10-TOTAL/Hawaiia/MALE,Numeric,8
223,NHOPIM1_2,1.2-Mid OFF AND MGRS/Hawaiia/MALE,Numeric,8
224,NHOPIF1,1-Senior OFF AND MGRS/Hawaiia/FEMALE,Numeric,8
225,NHOPIF2,2-PROF/Hawaiia/FEMALE,Numeric,8
226,NHOPIF3,3-TECH/Hawaiia/FEMALE,Numeric,8
227,NHOPIF4,4-SALE/Hawaiia/FEMALE,Numeric,8
228,NHOPIF5,5-CLERICALS/Hawaiia/FEMALE,Numeric,8
229,NHOPIF6,6-CRAFT/Hawaiia/FEMALE,Numeric,8
230,NHOPIF7,7-OPER/Hawaiia/FEMALE,Numeric,8
231,NHOPIF8,8-LABORS/Hawaiia/FEMALE,Numeric,8
232,NHOPIF9,9-Service/Hawaiia/FEMALE,Numeric,8
233,NHOPIF10,10-TOTAL/Hawaiia/FEMALE,Numeric,8
234,NHOPIF1_2,1.2-Mid OFF AND MGRS/Hawaiia/FEMALE,Numeric,8
235,tomrT1,Two Race SENIOR OFF AND MGRS,Numeric,8
236,tomrT2,Two Race PROFESSIONALS,Numeric,8
237,tomrT3,Two Race TECHNICIANS,Numeric,8
238,tomrT4,Two Race SALES WORKERS,Numeric,8
239,tomrT5,Two Race OFFICE AND CLERICALS,Numeric,8
240,tomrT6,Two Race CRAFT WORKERS,Numeric,8
241,tomrT7,Two Race OPERATIVES,Numeric,8
242,tomrT8,Two Race LABORERS,Numeric,8
243,tomrT9,Two Race SERVICE WORKERS,Numeric,8
244,tomrT10,Two Race TOTAL,Numeric,8
245,tomrT1_2,Two Race MID OFF AND MGRS,Numeric,8
246,TOMRM1,1-Senior OFF AND MGRS/Two More Races/MALE,Numeric,8
247,TOMRM2,2-PROF/Two Races/MALE,Numeric,8
248,TOMRM3,3-TECH/Two Races/MALE,Numeric,8
249,TOMRM4,4-SALE/Two Races/MALE,Numeric,8
250,TOMRM5,5-CLERICALS/Two Races/MALE,Numeric,8
251,TOMRM6,6-CRAFT/Two Races/MALE,Numeric,8
252,TOMRM7,7-OPER/Two Races/MALE,Numeric,8
253,TOMRM8,8-LABORS/Two Races/MALE,Numeric,8
254,TOMRM9,9-Service/Two Races/MALE,Numeric,8
255,TOMRM10,10-TOTAL/Two Races/MALE,Numeric,8
256,TOMRM1_2,1.2-mid OFF AND MGRS/Two More Races/MALE,Numeric,8
257,TOMRF1,1-Senior OFF AND MGRS/Two More Races/FEMALE,Numeric,8
258,TOMRF2,2-PROF/Two Races/FEMALE,Numeric,8
259,TOMRF3,3-TECH/Two Races/FEMALE,Numeric,8
260,TOMRF4,4-SALE/Two Races/FEMALE,Numeric,8
261,TOMRF5,5-CLERICALS/Two Races/FEMALE,Numeric,8
262,TOMRF6,6-CRAFT/Two Races/FEMALE,Numeric,8
263,TOMRF7,7-OPER/Two Races/FEMALE,Numeric,8
264,TOMRF8,8-LABORS/Two Races/FEMALE,Numeric,8
265,TOMRF9,9-Service/Two Races/FEMALE,Numeric,8
266,TOMRF10,10-TOTAL/Two Races/FEMALE,Numeric,8
267,TOMRF1_2,1.2-mid OFF AND MGRS/Two Races/FEMALE,Numeric,8
268,MinT1,SENIOR OFF AND MGRS (MINORITY),Numeric,8
269,MinT2,PROFESSIONALS (MINORITY),Numeric,8
270,MinT3,TECHNICIANS (MINORITY),Numeric,8
271,MinT4,SALES WORKERS (MINORITY),Numeric,8
272,MinT5,OFFICE AND CLERICALS (MINORITY),Numeric,8
273,MinT6,CRAFT WORKERS (MINORITY),Numeric,8
274,MinT7,OPERATIVES (MINORITY),Numeric,8
275,MinT8,LABORERS (MINORITY),Numeric,8
276,MinT9,SERVICE WORKERS (MINORITY),Numeric,8
277,MinT10,TOTAL (MINORITY),Numeric,8
278,MinT1_2,MID OFF AND MGRS (MINORITY),Numeric,8
279,MinF1,1-Senior OFF AND MGRS/MINORITY/FEMALE (MINORITY),Numeric,8
280,MinF2,2-PROF/MINORITY/FEMALE(MINORITY),Numeric,8
281,MinF3,3-TECH/MINORITY/FEMALE(MINORITY),Numeric,8
282,MinF4,4-SALE/MINORITY/FEMALE(MINORITY),Numeric,8
283,MinF5,5-CLERICALS/MINORITY/FEMALE(MINORITY),Numeric,8
284,MinF6,6-CRAFT/MINORITY/FEMALE(MINORITY),Numeric,8
285,MinF7,7-OPER/MINORITY/FEMALE(MINORITY),Numeric,8
286,MinF8,8-LABORS/MINORITY/FEMALE(MINORITY),Numeric,8
287,MinF9,9-ServiceMINORITY/FEMALE(MINORITY),Numeric,8
288,MinF10,10-TOTAL/MINORITY/FEMALE(MINORITY),Numeric,8
289,MinF1_2,1.2-mid OFF AND MGRS/MINORITY/FEMALE(MINORITY),Numeric,8
290,MinM1,1-Senior OFF AND MGRS/MINORITY/MALE (MINORITY),Numeric,8
291,MinM2,2-PROF/MINORITY/MALE (MINORITY),Numeric,8
292,MinM3,3-TECH/MINORITY/MALE(MINORITY),Numeric,8
293,MinM4,4-SALE/MINORITY/MALE(MINORITY),Numeric,8
294,MinM5,5-CLERICALS/MINORITY/MALE(MINORITY),Numeric,8
295,MinM6,6-CRAFT/MINORITY/MALE(MINORITY),Numeric,8
296,MinM7,7-OPER/MINORITY/MALE(MINORITY),Numeric,8
297,MinM8,8-LABORS/MINORITY/MALE(MINORITY),Numeric,8
298,MinM9,9-Service/TMINORITY/MALE(MINORITY),Numeric,8
299,MinM10,10-TOTAL/MINORITY/MALE(MINORITY),Numeric,8
300,MinM1_2,1.2-mid OFF AND MGRS/MINORITY/MALE(MINORITY),Numeric,8
301,WHMp1,1-Senior OFF AND MGRS/WHITE/MALE (PERCENT),Numeric,8
302,WHMp1_2,1.2-Mid OFF AND MGRS/WHITE/MALE(PERCENT),Numeric,8
303,WHMp2,2-PROF/WHITE/MALE(PERCENT),Numeric,8
304,WHMp3,3-TECH/WHITE/MALE(PERCENT),Numeric,8
305,WHMp4,4-SALE/WHITE/MALE(PERCENT),Numeric,8
306,WHMp5,5-CLERICALS/WHITE/MALE(PERCENT),Numeric,8
307,WHMp6,6-CRAFT/WHITE/MALE(PERCENT),Numeric,8
308,WHMp7,7-OPER/WHITE/MALE(PERCENT),Numeric,8
309,WHMp8,8-LABORS/WHITE/MALE(PERCENT),Numeric,8
310,WHMp9,9-Service/WHITE/MALE(PERCENT),Numeric,8
311,WHMp10,10-TOTAL/WHITE/MALE(PERCENT),Numeric,8
312,BLKMp1,SENIOR BLACK OFF AND MGRS (PERCENT),Numeric,8
313,BLKMp1_2,MID BLACK OFF AND MGRS(PERCENT),Numeric,8
314,BLKMp2,BLACK PROFESSIONALS (PERCENT),Numeric,8
315,BLKMp3,BLACK TECHNICIANS(PERCENT),Numeric,8
316,BLKMp4,BLACK SALES WORKERS(PERCENT),Numeric,8
317,BLKMp5,BLACK OFFICE AND CLERICALS(PERCENT),Numeric,8
318,BLKMp6,BLACK CRAFT WORKERS(PERCENT),Numeric,8
319,BLKMp7,BLACK OPERATIVES(PERCENT),Numeric,8
320,BLKMp8,BLACK LABORERS(PERCENT),Numeric,8
321,BLKMp9,BLACK SERVICE WORKERS(PERCENT),Numeric,8
322,BLKMp10,BLACK TOTAL(PERCENT),Numeric,8
323,HISPMp1,1-Senior OFF AND MGRS/HISPANIC/MALE (PERCENT),Numeric,8
324,HISPMp1_2,1.2-Mid OFF AND MGRS/HISPANIC/MALE(PERCENT),Numeric,8
325,HISPMp2,2-PROF/HISPANIC/MALE(PERCENT),Numeric,8
326,HISPMp3,3-TECH/HISPANIC/MALE(PERCENT),Numeric,8
327,HISPMp4,4-SALE/HISPANIC/MALE(PERCENT),Numeric,8
328,HISPMp5,5-CLERICALS/HISPANIC/MALE(PERCENT),Numeric,8
329,HISPMp6,6-CRAFT/HISPANIC/MALE(PERCENT),Numeric,8
330,HISPMp7,7-OPER/HISPANIC/MALE(PERCENT),Numeric,8
331,HISPMp8,8-LABORS/HISPANIC/MALE(PERCENT),Numeric,8
332,HISPMp9,9-Service/HISPANIC/MALE(PERCENT),Numeric,8
333,HISPMp10,10-TOTAL/HISPANIC/MALE(PERCENT),Numeric,8
334,AIANMp1,1-Senior OFF AND MGRS/AM-INDIAN-ALK/MALE (PERCENT),Numeric,8
335,AIANMp1_2,1.2-Mid OFF AND MGRS/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
336,AIANMp2,2-PROF/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
337,AIANMp3,3-TECH/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
338,AIANMp4,4-SALE/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
339,AIANMp5,5-CLERICALS/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
340,AIANMp6,6-CRAFT/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
341,AIANMp7,7-OPERT/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
342,AIANMp8,8-LABORS/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
343,AIANMp9,9-Service/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
344,AIANMp10,10-TOTAL/AM-INDIAN-ALK/MALE(PERCENT),Numeric,8
345,nhopiMp1,1-Senior OFF AND MGRS/Hawaiia/MALE (PERCENT),Numeric,8
346,nhopiMp1_2,1.2-Mid OFF AND MGRS/Hawaiia/MALE(PERCENT),Numeric,8
347,nhopiMp2,2-PROF/Hawaiia/MALE(PERCENT),Numeric,8
348,nhopiMp3,3-TECH/Hawaiia/MALE(PERCENT),Numeric,8
349,nhopiMp4,4-SALEH/Hawaiia/MALE(PERCENT),Numeric,8
350,nhopiMp5,5-CLERICALS/Hawaiia/MALE(PERCENT),Numeric,8
351,nhopiMp6,6-CRAFT/Hawaiia/MALE(PERCENT),Numeric,8
352,nhopiMp7,7-OPER/Hawaiia/MALE(PERCENT),Numeric,8
353,nhopiMp8,8-LABORS/Hawaiia/MALE(PERCENT),Numeric,8
354,nhopiMp9,9-Service/Hawaiia/MALE(PERCENT),Numeric,8
355,nhopiMp10,10-TOTAL/Hawaiia/MALE(PERCENT),Numeric,8
356,asianMp1,1-Senior OFF AND MGRS/ASIAN/MALE/male (PERCENT),Numeric,8
357,asianMp1_2,1.2-Mid OFF AND MGRS/ASIAN/MALE,Numeric,8
358,asianMp2,2-PROF/Asian/MALE(PERCENT),Numeric,8
359,asianMp3,3-TECH/ASIAN/MALE(PERCENT),Numeric,8
360,asianMp4,4-SALE/ASIAN/MALE(PERCENT),Numeric,8
361,asianMp5,5-CLERICALS/ASIAN/MALE(PERCENT),Numeric,8
362,asianMp6,6-CRAFT/ASIAN/MALE(PERCENT),Numeric,8
363,asianMp7,7-OPER/ASIAN/MALE(PERCENT),Numeric,8
364,asianMp8,8-LABORS/ASIAN/MALE(PERCENT),Numeric,8
365,asianMp9,9-Service/ASIAN/MALE(PERCENT),Numeric,8
366,asianMp10,10-TOTAL/ASIAN/MALE(PERCENT),Numeric,8
367,tomrMp1,1-Senior OFF AND MGRS/Two More Races/MALE (PERCENT),Numeric,8
368,tomrMp1_2,1.2-mid OFF AND MGRS/Two More Races/MALE(PERCENT),Numeric,8
369,tomrMp2,2-PROF/Two Races/MALE(PERCENT),Numeric,8
370,tomrMp3,3-TECH/Two Races/MALE(PERCENT),Numeric,8
371,tomrMp4,4-SALE/Two Races/MALE(PERCENT),Numeric,8
372,tomrMp5,5-CLERICALS/Two Races/MALE(PERCENT),Numeric,8
373,tomrMp6,6-CRAFT/Two Races/MALE(PERCENT),Numeric,8
374,tomrMp7,7-OPER/Two Races/MALE(PERCENT),Numeric,8
375,tomrMp8,8-LABORS/Two Races/MALE(PERCENT),Numeric,8
376,tomrMp9,9-Service/Two Races/MALE(PERCENT),Numeric,8
377,tomrMp10,10-TOTAL/Two Races/MALE(PERCENT),Numeric,8
378,MinMp1,SENIOR OFF AND MGRS (MINORITY),Numeric,8
379,MinMp1_2,PROFESSIONALS (MINORITY),Numeric,8
380,MinMp2,TECHNICIANS (MINORITY),Numeric,8
381,MinMp3,SALES WORKERS (MINORITY),Numeric,8
382,MinMp4,OFFICE AND CLERICALS (MINORITY),Numeric,8
383,MinMp5,CRAFT WORKERS (MINORITY),Numeric,8
384,MinMp6,OPERATIVES (MINORITY),Numeric,8
385,MinMp7,LABORERS (MINORITY),Numeric,8
386,MinMp8,SERVICE WORKERS (MINORITY),Numeric,8
387,MinMp9,TOTAL (MINORITY),Numeric,8
388,MinMp10,MID OFF AND MGRS (MINORITY),Numeric,8
389,WHfp1,1-Senior OFF AND MGRS/WHITE/FEMALE (PERCENT),Numeric,8
390,WHfp1_2,1.2-Mid OFF AND MGRS/WHITE/FEMALE (PERCENT),Numeric,8
391,WHfp2,2-PROF/WHITE/FEMALE (PERCENT),Numeric,8
392,WHfp3,3-TECH/WHITE/FEMALE (PERCENT),Numeric,8
393,WHfp4,4-SALE/WHITE/FEMALE (PERCENT),Numeric,8
394,WHfp5,5-CLERICALS/WHITE/FEMALE (PERCENT),Numeric,8
395,WHfp6,6-CRAFT/WHITE/FEMALE (PERCENT),Numeric,8
396,WHfp7,7-OPER/WHITE/FEMALE (PERCENT),Numeric,8
397,WHfp8,8-LABORS/WHITE/FEMALE (PERCENT),Numeric,8
398,WHfp9,9-Service/WHITE/FEMALE (PERCENT),Numeric,8
399,WHfp10,10-TOTAL/WHITE/FEMALE (PERCENT),Numeric,8
400,BLKfp1,1-Senior OFF AND MGRS/BLACK/FEMALE (PERCENT),Numeric,8
401,BLKfp1_2,1.2-MidOFF AND MGRS/BLACK/FEMALE (PERCENT),Numeric,8
