character,play,gender,numlines
BAPTISTA,The Taming of the Shrew,Male,174
FIRST LORD,All's Well That Ends Well,Male,173
YORK,Henry VI Part 3,Male,173
STEPHANO,The Tempest,Male,168
GRUMIO,The Taming of the Shrew,Male,168
GREMIO,The Taming of the Shrew,Male,167
PROVOST,Measure for Measure,Male,166
GUIDERIUS,Cymbeline,Male,164
HOLOFERNES,Love's Labour's Lost,Male,164
CARDINAL PANDULPH,King John,Male,164
LAUNCELOT,The Merchant of Venice,Male,163
CLARENCE,Richard III,Male,163
SIR ANDREW,Twelfth Night,Male,162
PISTOL,Henry V,Male,162
GONZALO,The Tempest,Male,161
BENVOLIO,Romeo and Juliet,Male,161
LORD CHIEF JUSTICE,Henry IV Part 2,Male,160
SALISBURY,King John,Male,159
ALBANY,King Lear,Male,159
ALCIBIADES,Timon of Athens,Male,159
SIMONIDES,Pericles,Male,157
NESTOR,Troilus and Cressida,Male,157
POMPEY,Measure for Measure,Male,156
DROMIO OF EPHESUS,The Comedy of Errors,Male,154
MOTE,Love's Labour's Lost,Male,154
CAESAR,Julius Caesar,Male,151
ANTONIO,The Tempest,Male,151
LORD CHAMBERLAIN,Henry VIII,Male,150
PAGE,The Merry Wives of Windsor,Male,149
OLIVER,As You Like It,Male,148
ARCHBISHOP,Henry IV Part 2,Male,148
LORD,The Taming of the Shrew,Male,146
AENEAS,Troilus and Cressida,Male,143
EGEON,The Comedy of Errors,Male,143
NORTHUMBERLAND,Richard II,Male,143
SLENDER,The Merry Wives of Windsor,Male,143
HASTINGS,Richard III,Male,140
CLIFFORD,Henry VI Part 3,Male,140
BRABANTIO,Othello,Male,139
FERDINAND,The Tempest,Male,139
ARVIRAGUS,Cymbeline,Male,138
SHEPHERD,The Winter's Tale,Male,137
LEWIS THE DAUPHIN,King John,Male,137
RICHMOND,Richard III,Male,137
POMPEY,Antony and Cleopatra,Male,136
DEMETRIUS,A Midsummer Night's Dream,Male,136
CHARLES,Henry VI Part 1,Male,135
MOWBRAY,Richard II,Male,135
ROSS,Macbeth,Male,135
CRANMER,Henry VIII,Male,135
WARWICK,Henry VI Part 2,Male,131
CASCA,Julius Caesar,Male,130
EXETER,Henry V,Male,129
SHALLOW,The Merry Wives of Windsor,Male,125
SEBASTIAN,The Tempest,Male,125
SEBASTIAN,Twelfth Night,Male,124
PIRITHOUS,The Two Noble Kinsmen,Male,124
CONSTABLE,Henry V,Male,123
BORACHIO,Much Ado About Nothing,Male,123
WARWICK,King Edward III,Male,121
QUINCE,A Midsummer Night's Dream,Male,121
HELICANUS,Pericles,Male,121
ARTHUR,King John,Male,120
RODERIGO,Othello,Male,119
SECOND LORD,All's Well That Ends Well,Male,119
GAOLER,The Two Noble Kinsmen,Male,118
DAUPHIN,Henry V,Male,115
SALERIO,The Merchant of Venice,Male,115
CLAUDIO,Measure for Measure,Male,113
FABIAN,Twelfth Night,Male,113
BANQUO,Macbeth,Male,113
ANTIGONUS,The Winter's Tale,Male,111
CLEON,Pericles,Male,111
CERIMON,Pericles,Male,110
HOST,The Merry Wives of Windsor,Male,110
DON JOHN,Much Ado About Nothing,Male,109
ALONSO,The Tempest,Male,109
DUKE,As You Like It,Male,109
WESTMORLAND,Henry IV Part 2,Male,109
CORNWALL,King Lear,Male,109
PRINCE JOHN,Henry IV Part 2,Male,108
DERBY,Richard III,Male,108
LYSIMACHUS,Pericles,Male,107
FIRST GENTLEMAN,Henry VIII,Male,107
SCHOOLMASTER,The Two Noble Kinsmen,Male,107
BIONDELLO,The Taming of the Shrew,Male,106
NORTHUMBERLAND,Henry IV Part 2,Male,106
ANTONIO,Twelfth Night,Male,106
GEORGE,Henry VI Part 3,Male,105
WOOER,The Two Noble Kinsmen,Male,105
DIOMEDES,Troilus and Cressida,Male,104
LUCIUS,Cymbeline,Male,104
POET,Timon of Athens,Male,104
MOROCCO,The Merchant of Venice,Male,103
CARDINAL,Henry VI Part 2,Male,103
TRINCULO,The Tempest,Male,102
ROSENCRANTZ,Hamlet,Male,100
CAIUS,The Merry Wives of Windsor,Male,97
PARIS,Troilus and Cressida,Male,97
AUDLEY,King Edward III,Male,97
FENTON,The Merry Wives of Windsor,Male,96
WINCHESTER,Henry VI Part 1,Male,96
FIRST PLAYER,Hamlet,Male,96
GHOST,Hamlet,Male,95
FIRST CLOWN,Hamlet,Male,94
DEMETRIUS,Titus Andronicus,Male,94
SALISBURY,Henry VI Part 2,Male,94
FRENCH KING,Henry V,Male,94
SUFFOLK,Henry VIII,Male,93
SALISBURY,King Edward III,Male,92
DUKE,The Comedy of Errors,Male,91
GARDINER,Henry VIII,Male,91
FIRST CITIZEN,Coriolanus,Male,89
DUMAINE,Love's Labour's Lost,Male,89
FIRST SENATOR,Timon of Athens,Male,89
DOCTOR,The Two Noble Kinsmen,Male,88
MORTIMER,Henry VI Part 1,Male,88
KING HENRY,Richard II,Male,88
SECOND GENTLEMAN,Henry VIII,Male,87
LORD BARDOLPH,Henry IV Part 2,Male,87
AJAX,Troilus and Cressida,Male,86
CHARLES,King Edward III,Male,85
AUMERLE,Richard II,Male,85
FRIAR,Much Ado About Nothing,Male,82
FIRST SOLDIER,All's Well That Ends Well,Male,82
GENTLEMAN,King Lear,Male,82
BOULT,Pericles,Male,82
SURREY,Henry VIII,Male,81
PISTOL,Henry IV Part 2,Male,80
MORTON,Henry IV Part 2,Male,79
POINS,Henry IV Part 1,Male,79
OSWALD,King Lear,Male,78
PEMBROKE,King John,Male,78
LODOVICO,Othello,Male,77
WARWICK,Henry IV Part 2,Male,77
GLENDOWER,Henry IV Part 1,Male,77
LUCY,Henry VI Part 1,Male,77
ANGELO,The Comedy of Errors,Male,77
BEDFORD,Henry VI Part 1,Male,76
SILVIUS,As You Like It,Male,75
PRINCE,Romeo and Juliet,Male,75
BUCKINGHAM,Henry VI Part 2,Male,74
CORNELIUS,Cymbeline,Male,73
LONGAVILLE,Love's Labour's Lost,Male,72
WARWICK,Henry VI Part 1,Male,72
CORIN,As You Like It,Male,71
DUKE,Othello,Male,71
ELBOW,Measure for Measure,Male,71
WILLIAMS,Henry V,Male,70
SOLANIO,The Merchant of Venice,Male,70
KING,Macbeth,Male,70
LENNOX,Macbeth,Male,70
PARIS,Romeo and Juliet,Male,69
PATROCLUS,Troilus and Cressida,Male,69
BOY,Henry V,Male,69
DUKE FREDERICK,As You Like It,Male,68
LOVELL,Henry VIII,Male,68
ANTIOCHUS,Pericles,Male,68
BURGUNDY,Henry V,Male,67
LEPIDUS,Antony and Cleopatra,Male,67
LEWIS,Henry VI Part 3,Male,67
MARINER,King Edward III,Male,66
ARRAGON,The Merchant of Venice,Male,66
FIRST GENTLEMAN,Cymbeline,Male,66
VERNON,Henry IV Part 1,Male,66
LUCIUS,Timon of Athens,Male,66
PAINTER,Timon of Athens,Male,65
KING EDWARD,Richard III,Male,65
FIRST MURDERER,Richard III,Male,65
ADAM,As You Like It,Male,65
LIEUTENANT,Henry VI Part 2,Male,65
SOMERSET,Henry VI Part 1,Male,64
GOWER,Henry V,Male,64
BISHOP OF CARLISLE,Richard II,Male,63
BASSIANUS,Titus Andronicus,Male,63
THIRD GENTLEMAN,The Winter's Tale,Male,63
MONTANO,Othello,Male,62
MENAS,Antony and Cleopatra,Male,62
SLY,The Taming of the Shrew,Male,61
SURVEYOR,Henry VIII,Male,61
SECOND MURDERER,Richard III,Male,61
MARCELLUS,Hamlet,Male,61
SECOND SENATOR,Timon of Athens,Male,61
POINS,Henry IV Part 2,Male,60
MORTIMER,Henry IV Part 1,Male,60
LARTIUS,Coriolanus,Male,60
LORD,The Winter's Tale,Male,60
AGRIPPA,Antony and Cleopatra,Male,60
EXETER,Henry VI Part 1,Male,59
GRIFFITH,Henry VIII,Male,59
REIGNIER,Henry VI Part 1,Male,59
LUCULLUS,Timon of Athens,Male,59
CATESBY,Richard III,Male,58
THIRD GENTLEMAN,Henry VIII,Male,57
HASTINGS,Henry IV Part 2,Male,57
FLUTE,A Midsummer Night's Dream,Male,57
DUKE,The Merchant of Venice,Male,57
ARTOIS,King Edward III,Male,57
MOWBRAY,Henry IV Part 2,Male,56
CLIFFORD,Henry VI Part 2,Male,56
THURIO,The Two Gentlemen of Verona,Male,55
ANTONIO,Much Ado About Nothing,Male,55
NATHANIEL,Love's Labour's Lost,Male,55
THIRD CITIZEN,Coriolanus,Male,53
CAMPEIUS,Henry VIII,Male,53
CHIRON,Titus Andronicus,Male,53
GUILDENSTERN,Hamlet,Male,53
GARDENER,Richard II,Male,52
THIRD SERVINGMAN,Coriolanus,Male,52
MONTJOY,Henry V,Male,52
SPEAKER,The Two Noble Kinsmen,Male,52
PEDANT,The Taming of the Shrew,Male,51
IDEN,Henry VI Part 2,Male,51
PISTOL,The Merry Wives of Windsor,Male,51
SIMPLE,The Merry Wives of Windsor,Male,49
CROMWELL,Henry VIII,Male,49
ALENÇON,Henry VI Part 1,Male,49
MESSENGER,The Two Noble Kinsmen,Male,49
OSRICK,Hamlet,Male,49
RIVERS,Richard III,Male,48
SAY,Henry VI Part 2,Male,48
VINCENTIO,The Taming of the Shrew,Male,48
SANDS,Henry VIII,Male,48
ENGLISH DOCTOR,Macbeth,Male,48
LE BEAU,As You Like It,Male,48
BARDOLPH,Henry IV Part 2,Male,47
JOHN,Henry VI Part 1,Male,47
OCTAVIUS,Julius Caesar,Male,47
DOLABELLA,Antony and Cleopatra,Male,47
EROS,Antony and Cleopatra,Male,47
LODOWICK,King Edward III,Male,46
SECOND LORD,Cymbeline,Male,46
YOUNG CLIFFORD,Henry VI Part 2,Male,46
PRINCE,Henry VI Part 3,Male,46
PERCY,Richard II,Male,46
SPEAKER,Henry VIII,Male,46
BOATSWAIN,The Tempest,Male,46
THIRD MESSENGER,Henry VI Part 1,Male,45
GADSHILL,Henry IV Part 1,Male,45
DOUGLAS,Henry IV Part 1,Male,45
SILENCE,Henry IV Part 2,Male,45
FIRST GAOLER,Cymbeline,Male,45
ORLEANS,Henry V,Male,45
DERBY,King Edward III,Male,44
YOUNG LUCIUS,Titus Andronicus,Male,44
NYM,Henry V,Male,44
DECIUS,Julius Caesar,Male,44
PANTHINO,The Two Gentlemen of Verona,Male,44
BURGUNDY,Henry VI Part 1,Male,43
PHILARIO,Cymbeline,Male,43
SOOTHSAYER,Cymbeline,Male,43
PRINCE EDWARD,Richard III,Male,43
FIRST LORD,Cymbeline,Male,42
MESSENGER TO CLEOPATRA,Antony and Cleopatra,Male,42
STEWARD,All's Well That Ends Well,Male,42
WESTMORLAND,Henry IV Part 1,Male,42
AMIENS,As You Like It,Male,42
FIRST LORD,As You Like It,Male,42
BALTHASAR,Much Ado About Nothing,Male,42
FIRST SENATOR,Coriolanus,Male,42
CHATILLON,King John,Male,41
MONTAGUE,Romeo and Juliet,Male,41
BLUNT,Henry IV Part 1,Male,41
EGEUS,A Midsummer Night's Dream,Male,41
FIRST FISHERMAN,Pericles,Male,41
SCARUS,Antony and Cleopatra,Male,40
SICILIUS,Cymbeline,Male,40
RUMOUR,Henry IV Part 2,Male,40
CHARLES,As You Like It,Male,40
MELUN,King John,Male,39
BUSHY,Richard II,Male,39
LORRAINE,King Edward III,Male,39
YORK,Richard III,Male,39
MESSALA,Julius Caesar,Male,38
GOBBO,The Merchant of Venice,Male,38
HOST,The Two Gentlemen of Verona,Male,38
MAN,Henry VIII,Male,38
MESSENGER,Coriolanus,Male,38
SECOND SERVINGMAN,Coriolanus,Male,37
SCROOP,Richard II,Male,37
TYRREL,Richard III,Male,37
SEMPRONIUS,Timon of Athens,Male,36
DICK,Henry VI Part 2,Male,36
CAPTAIN,Macbeth,Male,36
TYBALT,Romeo and Juliet,Male,36
AUSTRIA,King John,Male,36
FIRST SERVINGMAN,Coriolanus,Male,36
CONRADE,Much Ado About Nothing,Male,36
MESSENGER,Henry VI Part 3,Male,36
MAECENAS,Antony and Cleopatra,Male,36
FRIAR PETER,Measure for Measure,Male,36
OXFORD,Henry VI Part 3,Male,35
SAMPSON,Romeo and Juliet,Male,35
SHEPHERD'S SERVANT,The Winter's Tale,Male,35
ANTONIO,The Two Gentlemen of Verona,Male,35
SENATOR,Timon of Athens,Male,35
BARNARDO,Hamlet,Male,34
PORTER,Henry VIII,Male,34
ARCHBISHOP,Henry IV Part 1,Male,34
ALEXANDER,Troilus and Cressida,Male,34
SECOND MERCHANT,The Comedy of Errors,Male,34
LUCIUS,Julius Caesar,Male,33
SOMERSET,Henry VI Part 3,Male,33
KING DAVID,King Edward III,Male,33
DAVY,Henry IV Part 2,Male,33
PORTER,Macbeth,Male,33
PETER,Romeo and Juliet,Male,33
BALTHASAR,Romeo and Juliet,Male,32
TIME,The Winter's Tale,Male,32
MESSENGER,Much Ado About Nothing,Male,32
LORD CHANCELLOR,Henry VIII,Male,32
EPILOGUE,Henry IV Part 2,Male,32
MARTIUS,Titus Andronicus,Male,32
ALEXAS,Antony and Cleopatra,Male,32
FRANCE,King Lear,Male,32
BARDOLPH,Henry V,Male,32
PHILIP,King Edward III,Male,32
PROCULEIUS,Antony and Cleopatra,Male,32
RATCLIFFE,Richard III,Male,32
CAPTAIN,Twelfth Night,Male,32
BRAKENBURY,Richard III,Male,32
LUCIUS'S SERVANT,Timon of Athens,Male,32
FIRST STRANGER,Timon of Athens,Male,31
SECOND PLAYER,Hamlet,Male,31
SECOND FISHERMAN,Pericles,Male,31
THIRD FRENCHMAN,King Edward III,Male,31
VILLIERS,King Edward III,Male,31
SOOTHSAYER,Antony and Cleopatra,Male,31
THIDIAS,Antony and Cleopatra,Male,31
SECOND COUNTRYMAN,The Two Noble Kinsmen,Male,31
MARULLUS,Julius Caesar,Male,31
TITINIUS,Julius Caesar,Male,31
CALCHAS,Troilus and Cressida,Male,31
PROLOGUE,Troilus and Cressida,Male,31
PAGE,Henry IV Part 2,Male,31
GREEN,Richard II,Male,31
HUME,Henry VI Part 2,Male,31
FIRST WATCH,Coriolanus,Male,31
HYMEN,As You Like It,Male,31
SECOND CITIZEN,Coriolanus,Male,30
GRATIANO,Othello,Male,30
SEYWARD,Macbeth,Male,30
LUCILIUS,Julius Caesar,Male,30
NORTHUMBERLAND,Henry VI Part 3,Male,30
VENTIDIUS,Antony and Cleopatra,Male,30
DULL,Love's Labour's Lost,Male,30
SOLDIER,Antony and Cleopatra,Male,29
POST,Henry VI Part 3,Male,29
BASTARD,Henry VI Part 1,Male,29
VERNON,Henry VI Part 1,Male,29
BARDOLPH,Henry IV Part 1,Male,29
PRINCE HENRY,King John,Male,29
NYM,The Merry Wives of Windsor,Male,29
FLAMINIUS,Timon of Athens,Male,29
OLD ATHENIAN,Timon of Athens,Male,29
PANDAR,Pericles,Male,28
THIRD CITIZEN,Richard III,Male,28
CLOWN,Othello,Male,28
VERGES,Much Ado About Nothing,Male,28
CHORUS,Romeo and Juliet,Male,28
FIRST GENTLEMAN,The Winter's Tale,Male,28
EGLAMOUR,The Two Gentlemen of Verona,Male,28
FAIRY,A Midsummer Night's Dream,Male,28
CURTIS,The Taming of the Shrew,Male,28
FIRST GENTLEMAN,Measure for Measure,Male,28
ELY,Henry V,Male,27
WESTMORLAND,Henry V,Male,27
FIRST FRIEND,The Two Noble Kinsmen,Male,27
CLOWN,Antony and Cleopatra,Male,27
GENERAL,Henry VI Part 1,Male,27
FLAVIUS,Julius Caesar,Male,27
FITZWATER,Richard II,Male,27
DION,The Winter's Tale,Male,27
ROMAN,Coriolanus,Male,27
FORTINBRAS,Hamlet,Male,27
SERVANT,Timon of Athens,Male,27
FATHER,Henry VI Part 3,Male,27
THALIARD,Pericles,Male,26
NORTHUMBERLAND,Henry IV Part 1,Male,26
BALTHASAR,The Comedy of Errors,Male,26
CANIDIUS,Antony and Cleopatra,Male,25
PETER,Henry VI Part 2,Male,25
QUINTUS,Titus Andronicus,Male,25
SECOND PLEBEIAN,Julius Caesar,Male,25
BASSET,Henry VI Part 1,Male,25
SIMPCOX,Henry VI Part 2,Male,25
SOMERSET,Henry VI Part 2,Male,25
THIRD COUNTRYMAN,The Two Noble Kinsmen,Male,25
LORD MARSHAL,Richard II,Male,25
THIRD OUTLAW,The Two Gentlemen of Verona,Male,25
FIRST MURDERER,Macbeth,Male,25
OFFICER,The Winter's Tale,Male,25
PAGES,As You Like It,Male,25
FIRST SENATOR,Othello,Male,25
BARDOLPH,The Merry Wives of Windsor,Male,25
MESSENGER,Richard III,Male,25
LEONINE,Pericles,Male,24
SHEPHERD,Henry VI Part 1,Male,24
RUTLAND,Henry VI Part 3,Male,24
MESSENGER,Henry VI Part 1,Male,24
PHILOSTRATE,A Midsummer Night's Dream,Male,24
RICHARD,Henry VI Part 2,Male,24
BOY,The Two Noble Kinsmen,Male,24
THIRD PLEBEIAN,Julius Caesar,Male,23
BAGOT,Richard II,Male,23
FIRST CARRIER,Henry IV Part 1,Male,23
CLOWN,Titus Andronicus,Male,23
CLEOMENES,The Winter's Tale,Male,23
MAMILLIUS,The Winter's Tale,Male,22
GREGORY,Romeo and Juliet,Male,22
SERVANT,Romeo and Juliet,Male,22
ROBERT FAULCONBRIDGE,King John,Male,22
MESSENGER,King John,Male,22
ROSS,Richard II,Male,22
FOURTH PLEBEIAN,Julius Caesar,Male,22
SNOUT,A Midsummer Night's Dream,Male,22
SON,Henry VI Part 3,Male,22
SECOND FRIEND,The Two Noble Kinsmen,Male,22
FRENCHMAN,Cymbeline,Male,22
FOOL,Timon of Athens,Male,22
FIRST LORD,Timon of Athens,Male,21
VOLTEMAND,Hamlet,Male,21
JUPITER,Cymbeline,Male,21
ABHORSON,Measure for Measure,Male,21
DECRETAS,Antony and Cleopatra,Male,21
FIRST CITIZEN,King Edward III,Male,21
GENTLEMAN,All's Well That Ends Well,Male,21
FIRST PLEBEIAN,Julius Caesar,Male,21
MAYOR,Henry VI Part 1,Male,21
CLARENCE,Henry IV Part 2,Male,21
BOLINGBROKE,Henry VI Part 2,Male,21
EXTON,Richard II,Male,21
LORD,Macbeth,Male,21
ANGUS,Macbeth,Male,21
FIRST OUTLAW,The Two Gentlemen of Verona,Male,21
FIRST WATCHMAN,Much Ado About Nothing,Male,21
ARCHIDAMUS,The Winter's Tale,Male,21
SECOND OFFICER,Coriolanus,Male,20
VOLSCE,Coriolanus,Male,20
SECOND WATCHMAN,Much Ado About Nothing,Male,20
SON,Macbeth,Male,20
MESSENGER,King Lear,Male,20
SALISBURY,Richard II,Male,20
SERVANT OF ANTONY,Julius Caesar,Male,20
PRIAM,Troilus and Cressida,Male,20
SERVANT,Troilus and Cressida,Male,20
HASTINGS,Henry VI Part 3,Male,20
SECOND GOTH,Titus Andronicus,Male,20
MESSENGER,Antony and Cleopatra,Male,20
CAPHIS,Timon of Athens,Male,20
MESSENGER,Timon of Athens,Male,20
BOY,Richard III,Male,19
DIOMEDES,Antony and Cleopatra,Male,19
MARDIAN,Antony and Cleopatra,Male,19
MACMORRIS,Henry V,Male,19
ARTEMIDORUS,Julius Caesar,Male,19
DUKE,All's Well That Ends Well,Male,19
CHAMBERLAIN,Henry IV Part 1,Male,19
HORNER,Henry VI Part 2,Male,19
SECOND MESSENGER,Coriolanus,Male,19
FIRST WATCHMAN,Romeo and Juliet,Male,18
GENTLEMAN,The Winter's Tale,Male,18
HOLLAND,Henry VI Part 2,Male,18
SECOND CARRIER,Henry IV Part 1,Male,18
AEMILIUS,Titus Andronicus,Male,18
ABERGAVENNY,Henry VIII,Male,18
SOOTHSAYER,Julius Caesar,Male,18
CINNA,Julius Caesar,Male,18
MASTER GUNNER,Henry VI Part 1,Male,18
FIRST MESSENGER,Henry VI Part 1,Male,18
DOCTOR,King Lear,Male,18
WHITMORE,Henry VI Part 2,Male,18
PERCY,King Edward III,Male,18
FRENCH SOLDIER,Henry V,Male,18
GRANDPRÉ,Henry V,Male,18
BATES,Henry V,Male,18
MESSENGER TO CAESAR,Antony and Cleopatra,Male,18
FOURTH COUNTRYMAN,The Two Noble Kinsmen,Male,18
HIEMS,Love's Labour's Lost,Male,18
VER,Love's Labour's Lost,Male,18
FIRST LORD,Pericles,Male,18
THIRD FISHERMAN,Pericles,Male,18
SECOND CLOWN,Hamlet,Male,18
SERVILIUS,Timon of Athens,Male,18
FIRST KEEPER,Henry VI Part 3,Male,17
SECOND LORD,Timon of Athens,Male,17
EXETER,Henry VI Part 3,Male,17
FIRST GENTLEMAN,Pericles,Male,17
COPLAND,King Edward III,Male,17
PHILO,Antony and Cleopatra,Male,17
AMBASSADOR,Henry V,Male,17
METELLUS,Julius Caesar,Male,17
PINDARUS,Julius Caesar,Male,17
BEVIS,Henry VI Part 2,Male,17
THIRD GENTLEMAN,Othello,Male,17
JAQUES DE BOYS,As You Like It,Male,17
SECOND GENTLEMAN,The Winter's Tale,Male,16
PLEBEIANS,Coriolanus,Male,16
KNIGHT,King Lear,Male,16
FRANCIS,Henry IV Part 1,Male,16
SECOND OUTLAW,The Two Gentlemen of Verona,Male,16
COBBLER,Julius Caesar,Male,16
LIGARIUS,Julius Caesar,Male,16
PAGE,The Taming of the Shrew,Male,16
TAILOR,The Taming of the Shrew,Male,16
STAFFORD,Henry VI Part 2,Male,16
SMITH,Henry VI Part 2,Male,16
BARNARDINE,Measure for Measure,Male,16
AMBASSADOR,Antony and Cleopatra,Male,16
MESSENGER,Hamlet,Male,16
REYNALDO,Hamlet,Male,15
