thus,'DH ɤ S',s,''
of,'AH V',s,''
examples,'IH G Z AW M P L Z',s,'IH'
left,'L EH F T',s,''
by,'B AY',s,'AY'
the,'DH AH',s,''
fatal,'F EY T AH L',s,'EY'
and,'AH N D',s,''
neglected,'N AH G L EH K T AH D',s,''
english,'IH NG G L IH SH',s,'IH IH'
upon,'AH P AA N',s,'AA'
our,'OW R',s,''
fields,'F IY L D Z',s,'IY'
think,'TH IH NG K',s,'IH'
we,'W IY',s,'IY'
and,'AH N D',s,''
princes,'P R IH N S AH Z',s,'IH'
look,'L UH K',s,'UH'
you,'Y UW',s,'UW'
strongly,'S T r ɒ NG L ǝ IH',s,'IH'
arm,'AA R M',s,'AA'
to,'T UW',s,'UW'
meet,'M IY T',s,'IY'
him,'HH IH M',s,'IH'
the,'DH AH',s,''
of,'AH V',s,''
him,'HH IH M',s,'IH'
hath,'HH AE TH',s,'AE'
been,'B IH N',s,'IH'
upon,'AH P AA N',s,'AA'
us,'AH S',s,''
and,'AH N D',s,''
he,'HH IY',s,'IY'
is,'IH Z',s,'IH'
bred,'B R EH D',s,''
out,'AW T',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
bloody,'B L AH D IY',s,'IY'
that,'DH AE T',s,'AE'
us,'AH S',s,''
in,'IH N',s,'IH'
our,'OW R',s,''
witness,'W IH T N AH S',s,'IH'
our,'OW R',s,''
when,'ʍ e N',s,''
was,'W AA Z',s,'AA'
and,'AH N D',s,''
all,'AA L',s,'AA'
our,'OW R',s,''
princes,'P R IH N S AH Z',s,'IH'
by,'B AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
black,'B L AE K',s,'AE'
edward,'e D W ǝ R D',s,''
black,'B L AE K',s,'AE'
of,'AH V',s,''
that,'DH AE T',s,'AE'
his,'HH IH Z',s,'IH'
mountain,'M AW N T AH N',s,''
on,'AA N',s,'AA'
mountain,'M AW N T AH N',s,''
up,'AH P',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
air,'EH R',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
golden,'G OW L D ǝ N',s,''
sun,'S AH N',s,''
his,'HH IH Z',s,'IH'
heroical,'e r OW IH K AA L',s,'IH AA'
seed,'S IY D',s,'IY'
and,'AH N D',s,''
smiled,'S M ǝ IH L D',s,'IH'
to,'T UW',s,'UW'
see,'S IY',s,'IY'
him,'HH IH M',s,'IH'
the,'DH AH',s,''
work,'W AO R K',s,'AO'
of,'AH V',s,''
natre,'N EY CH ER',s,'EY'
and,'AH N D',s,''
the,'DH AH',s,''
patterns,'P AW T ǝ R N Z',s,''
that,'DH AE T',s,'AE'
by,'B AY',s,'AY'
god,'G AA D',s,'AA'
and,'AH N D',s,''
by,'B AY',s,'AY'
french,'F R EH N CH',s,''
had,'HH AE D',s,'AE'
years,'Y IH R Z',s,'IH'
been,'B IH N',s,'IH'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
a,'AH',s,''
stem,'S T EH M',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
stock,'S T AA K',s,'AA'
and,'AH N D',s,''
let,'L EH T',s,''
us,'AH S',s,''
fear,'F IY R',s,'IY'
the,'DH AH',s,''
and,'AH N D',s,''
of,'AH V',s,''
him,'HH IH M',s,'IH'
them,'DH EH M',s,''
present,'P r IH Z e N T',s,'IH'
go,'G OW',s,''
and,'AH N D',s,''
them,'DH EH M',s,''
you,'Y UW',s,'UW'
see,'S IY',s,'IY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
hotly,'ɒ T L ǝ IH',s,'IH'
friends,'F R EH N D Z',s,''
from,'F R AH M',s,''
our,'OW R',s,''
of,'AH V',s,''
england,'IH NG G L AH N D',s,'IH'
or,'AO R',s,'AO'
what,'W AH T',s,''
for,'F AO R',s,'AO'
us,'AH S',s,''
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
of,'AH V',s,''
this,'DH IH S',s,'IH'
shall,'SH AE L',s,'AE'
you,'Y UW',s,'UW'
bear,'B EH R',s,''
our,'OW R',s,''
full,'F UH L',s,'UH'
intent,'IH N T EH N T',s,'IH'
back,'B AE K',s,'AE'
to,'T UW',s,'UW'
our,'OW R',s,''
of,'AH V',s,''
england,'IH NG G L AH N D',s,'IH'
shall,'SH AE L',s,'AE'
you,'Y UW',s,'UW'
our,'OW R',s,''
at,'AE T',s,'AE'
full,'F UH L',s,'UH'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
soon,'S UW N',s,'UW'
with,'W IH DH',s,'IH'
fair,'F EH R',s,''
conditions,'K AH N D IH SH AH N Z',s,'IH'
a,'AH',s,''
is,'IH Z',s,'IH'
but,'B AH T',s,''
small,'S M AO L',s,'AO'
breath,'B R EH TH',s,''
and,'AH N D',s,''
to,'T UW',s,'UW'
matters,'M AW T ǝ R Z',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
certain,'S ɐ R T ǝ N',s,''
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
passed,'P AW S IH D',s,'IH'
the,'DH AH',s,''
river,'r IH V ǝ R',s,'IH'
is,'IH Z',s,'IH'
the,'DH AH',s,''
herald,'HH EH R AH L D',s,''
speed,'S P IY D',s,'IY'
him,'HH IH M',s,'IH'
let,'L EH T',s,''
him,'HH IH M',s,'IH'
greet,'G R IY T',s,'IY'
england,'IH NG G L AH N D',s,'IH'
with,'W IH DH',s,'IH'
our,'OW R',s,''
sharp,'SH AA R P',s,'AA'
up,'AH P',s,''
princes,'P R IH N S AH Z',s,'IH'
and,'AH N D',s,''
with,'W IH DH',s,'IH'
spirit,'S P IH R AH T',s,'IH'
of,'AH V',s,''
edged,'e D ZH IH D',s,'IH'
sharper,'SH AA R P ǝ R',s,'AA'
than,'DH AE N',s,'AE'
your,'Y AO R',s,'AO'
hie,'ǝ IH',s,'IH'
to,'T UW',s,'UW'
the,'DH AH',s,''
field,'F IY L D',s,'IY'
of,'AH V',s,''
you,'Y UW',s,'UW'
of,'AH V',s,''
bourbon,'B UW R B ə N',s,'UW'
and,'AH N D',s,''
of,'AH V',s,''
berri,'B EH R IY',s,'IY'
brabant,'B R AA B AH N T',s,'AA'
bar,'B AA R',s,'AA'
and,'AH N D',s,''
beaumont,'B OW M ɒ N T',s,''
and,'AH N D',s,''
and,'AH N D',s,''
great,'G r e T',s,''
princes,'P R IH N S AH Z',s,'IH'
barons,'B AE R AH N Z',s,'AE'
lords,'L AO R D Z',s,'AO'
and,'AH N D',s,''
for,'F AO R',s,'AO'
your,'Y AO R',s,'AO'
great,'G r e T',s,''
seats,'S IY T S',s,'IY'
you,'Y UW',s,'UW'
of,'AH V',s,''
great,'G r e T',s,''
bar,'B AA R',s,'AA'
england,'IH NG G L AH N D',s,'IH'
that,'DH AE T',s,'AE'
sweeps,'S W IY P S',s,'IY'
our,'OW R',s,''
land,'L AE N D',s,'AE'
with,'W IH DH',s,'IH'
painted,'P EH N T IH D',s,'IH'
in,'IH N',s,'IH'
the,'DH AH',s,''
blood,'B L AH D',s,''
of,'AH V',s,''
rush,'r ɤ SH',s,''
on,'AA N',s,'AA'
his,'HH IH Z',s,'IH'
as,'AE Z',s,'AE'
doth,'D AO TH',s,'AO'
the,'DH AH',s,''
melted,'M EH L T AH D',s,''
upon,'AH P AA N',s,'AA'
the,'DH AH',s,''
valleys,'V AW L ǝ IH Z',s,'IH'
vassal,'V AW S AA L',s,'AA'
seat,'S IY T',s,'IY'
the,'DH AH',s,''
alps,'AE L P S',s,'AE'
doth,'D AO TH',s,'AO'
spit,'S P IH T',s,'IH'
and,'AH N D',s,''
void,'V OY D',s,''
his,'HH IH Z',s,'IH'
upon,'AH P AA N',s,'AA'
go,'G OW',s,''
down,'D ǝ UH N',s,'UH'
upon,'AH P AA N',s,'AA'
and,'AH N D',s,''
in,'IH N',s,'IH'
a,'AH',s,''
into,'IH N T UW',s,'IH UW'
rouen,'r UW N',s,'UW'
him,'HH IH M',s,'IH'
our,'OW R',s,''
therefre,'DH EH R F AO R',s,'AO'
lord,'L AO R D',s,'AO'
hate,'AW S T',s,''
on,'AA N',s,'AA'
and,'AH N D',s,''
let,'L EH T',s,''
him,'HH IH M',s,'IH'
to,'T UW',s,'UW'
england,'IH NG G L AH N D',s,'IH'
that,'DH AE T',s,'AE'
we,'W IY',s,'IY'
send,'S EH N D',s,''
to,'T UW',s,'UW'
what,'W AH T',s,''
ransom,'R AE N S AH M',s,'AE'
he,'HH IY',s,'IY'
will,'W IH L',s,'IH'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
with,'W IH DH',s,'IH'
us,'AH S',s,''
in,'IH N',s,'IH'
rouen,'r UW N',s,'UW'
be,'B IY',s,'IY'
for,'F AO R',s,'AO'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
remain,'r IH M EH N',s,'IH'
with,'W IH DH',s,'IH'
us,'AH S',s,''
forth,'F AO R TH',s,'AO'
lord,'L AO R D',s,'AO'
and,'AH N D',s,''
princes,'P R IH N S AH Z',s,'IH'
all,'AA L',s,'AA'
and,'AH N D',s,''
us,'AH S',s,''
of,'AH V',s,''
fall,'F AA L',s,'AA'
we,'W IY',s,'IY'
to,'T UW',s,'UW'
behold,'B IH HH OW L D',s,'IH'
your,'Y AO R',s,'AO'
most,'M OW S T',s,''
england,'IH NG G L AH N D',s,'IH'
fairly,'F EH R L IY',s,'IY'
met,'M EH T',s,''
so,'S OW',s,''
you,'Y UW',s,'UW'
princes,'P R IH N S AH Z',s,'IH'
english,'IH NG G L IH SH',s,'IH IH'
every,'e V r ǝ IH',s,'IH'
i,'AY',s,'AY'
but,'B AH T',s,''
with,'W IH DH',s,'IH'
a,'AH',s,''
the,'DH AH',s,''
articles,'AA R T IH K ǝ L Z',s,'AA IH'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
of,'AH V',s,''
your,'Y AO R',s,'AO'
presently,'P R EH Z AH N T L IY',s,'IY'
to,'T UW',s,'UW'
sit,'S IH T',s,'IH'
with,'W IH DH',s,'IH'
us,'AH S',s,''
with,'W IH DH',s,'IH'
better,'B e T ə R',s,''
to,'T UW',s,'UW'
them,'DH EH M',s,''
we,'W IY',s,'IY'
will,'W IH L',s,'IH'
suddenly,'S AH D AH N L IY',s,'IY'
pass,'P AE S',s,'AE'
our,'OW R',s,''
and,'AH N D',s,''
yes,'Y IH S',s,'IH'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
you,'Y UW',s,'UW'
see,'S IY',s,'IY'
them,'DH EH M',s,''
the,'DH AH',s,''
cities,'S IH T IY Z',s,'IH IY'
turned,'T ɐ R N IH D',s,'IH'
into,'IH N T UW',s,'IH UW'
a,'AH',s,''
maid,'M EY D',s,'EY'
for,'F AO R',s,'AO'
all,'AA L',s,'AA'
with,'W IH DH',s,'IH'
maiden,'M EY D AH N',s,'EY'
that,'DH AE T',s,'AE'
war,'W AO R',s,'AO'
hath,'HH AE TH',s,'AE'
never,'N e V ǝ R',s,''
so,'S OW',s,''
you,'Y UW',s,'UW'
we,'W IY',s,'IY'
consented,'K AH N S EH N T IH D',s,'IH'
to,'T UW',s,'UW'
all,'AA L',s,'AA'
terms,'T ɐ R M Z',s,''
of,'AH V',s,''
reason,'r EH Z ǝ N',s,''
nor,'N AO R',s,'AO'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
not,'N AA T',s,'AA'
so,'S OW',s,''
but,'B AH T',s,''
your,'Y AO R',s,'AO'
shall,'SH AE L',s,'AE'
me,'M IY',s,'IY'
let,'L EH T',s,''
it,'IH T',s,'IH'
pass,'P AE S',s,'AE'
fair,'F EH R',s,''
son,'S AO ̃',s,'AO'
and,'AH N D',s,''
from,'F R AH M',s,''
blood,'B L AH D',s,''
up,'AH P',s,''
to,'T UW',s,'UW'
me,'M IY',s,'IY'
that,'DH AE T',s,'AE'
the,'DH AH',s,''
of,'AH V',s,''
and,'AH N D',s,''
england,'IH NG G L AH N D',s,'IH'
very,'V EH R IY',s,'IY'
look,'L UH K',s,'UH'
with,'W IH DH',s,'IH'
of,'AH V',s,''
each,'IY CH',s,'IY'
happiness,'HH AE P IY N AH S',s,'AE IY'
their,'DH EH R',s,''
and,'AH N D',s,''
this,'DH IH S',s,'IH'
dear,'D IY R',s,'IY'
plant,'P L AW N T',s,''
and,'AH N D',s,''
accord,'ǝ K AO R D',s,'AO'
in,'IH N',s,'IH'
their,'DH EH R',s,''
sweet,'S W IY T',s,'IY'
that,'DH AE T',s,'AE'
never,'N e V ǝ R',s,''
war,'W AO R',s,'AO'
his,'HH IH Z',s,'IH'
england,'IH NG G L AH N D',s,'IH'
and,'AH N D',s,''
fair,'F EH R',s,''
amen,'EY M EH N',s,'EY'
